date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,ED,76.11,77.14,75.87,76.94,2133046,0.83,1.09,76.515
2020-07-31,ED,76.56,77.11,75.85,76.83,4369318,0.27,0.35266,76.5875
2020-08-03,ED,76.55,76.65,75.24,75.91,1645800,-0.64,-0.83605,76.0875
2020-08-04,ED,75.75,76.69,75.66,75.9,2008500,0.15,0.19802,76.0
2020-08-05,ED,75.59,75.95,73.5,73.66,2158513,-1.93,-2.55,74.675
2020-08-06,ED,73.89,74.12,73.15,73.92,1580033,0.03,0.04060089,73.77
2020-08-07,ED,73.25,75.8,73.22,75.11,1634010,1.86,2.54,74.345
2020-08-10,ED,75.94,76.34,75.2,75.38,1505830,-0.56,-0.73742,75.715
2020-08-11,ED,75.0,75.41,73.12,73.26,1970822,-1.74,-2.32,74.1975
2020-08-12,ED,73.51,74.89,73.44,74.26,1370207,0.75,1.02,74.025
2020-08-13,ED,73.85,74.03,72.99,73.77,1566400,-0.08,-0.10833,73.66
2020-08-14,ED,73.35,74.09,72.79,73.53,1641648,0.18,0.2454,73.44
2020-08-17,ED,73.81,75.02,73.4,74.41,2529348,0.6,0.8129,74.16
2020-08-18,ED,73.65,73.95,73.11,73.35,1548819,-0.3,-0.40733,73.515
2020-08-19,ED,73.35,73.89,72.9,73.44,1742309,0.09,0.1227,73.395
2020-08-20,ED,73.1,73.72,72.32,72.4,2444139,-0.7,-0.95759,72.885
2020-08-21,ED,72.67,72.7,71.18,72.2,3823731,-0.47,-0.64676,72.1875
2020-08-24,ED,72.32,74.33,71.85,74.32,2326534,2.0,2.77,73.205
2020-08-25,ED,74.36,74.48,72.69,73.01,2057120,-1.35,-1.82,73.635
2020-08-26,ED,72.45,72.45,70.31,70.78,2667501,-1.67,-2.31,71.4975
2020-08-27,ED,71.0,71.79,70.55,71.07,1808717,0.07,0.09859155,71.1025
2020-08-28,ED,71.26,71.26,70.1,70.92,1480009,-0.34,-0.47713,70.885
2020-08-31,ED,70.61,71.45,70.59,71.34,2461900,0.73,1.03,70.9975
2020-09-01,ED,70.88,71.0,69.37,69.65,1867773,-1.23,-1.74,70.225
2020-09-02,ED,69.56,72.41,69.3,72.23,2391849,2.67,3.84,70.875
2020-09-03,ED,72.61,73.57,71.78,72.4,3609511,-0.21,-0.28922,72.59
2020-09-04,ED,72.86,73.51,71.9,73.04,3121300,0.18,0.24705,72.8275
2020-09-08,ED,72.99,73.44,72.08,72.8,3104473,-0.19,-0.26031,72.8275
2020-09-09,ED,73.34,74.55,72.86,72.91,1970100,-0.43,-0.58631,73.415
2020-09-10,ED,72.63,74.25,71.68,72.77,8656400,0.14,0.19276,72.8325
2020-09-11,ED,72.68,73.04,72.11,72.74,2176447,0.06,0.08255366,72.6425
2020-09-14,ED,73.44,74.48,72.82,74.22,2308923,0.78,1.06,73.74
2020-09-15,ED,74.74,75.59,73.96,74.47,2637308,-0.27,-0.36125,74.69
2020-09-16,ED,74.3,76.34,74.0,75.68,3961200,1.38,1.86,75.08
2020-09-17,ED,75.27,76.55,74.61,75.93,3690408,0.66,0.87684,75.59
2020-09-18,ED,75.38,75.92,73.64,73.88,4431900,-1.5,-1.99,74.705
2020-09-21,ED,73.33,73.72,71.73,72.84,3213100,-0.49,-0.66821,72.905
2020-09-22,ED,72.64,74.19,72.48,73.7,2868200,1.06,1.46,73.2525
2020-09-23,ED,73.74,73.96,73.21,73.32,2228616,-0.42,-0.56957,73.5575
2020-09-24,ED,73.37,74.16,72.55,73.93,1878100,0.56,0.76325,73.5025
2020-09-25,ED,73.49,75.88,73.47,75.77,1561444,2.28,3.1,74.6525
2020-09-28,ED,75.98,77.16,75.51,76.32,1657605,0.34,0.44749,76.2425
2020-09-29,ED,76.73,77.7,76.25,76.98,1608518,0.25,0.32582,76.915
2020-09-30,ED,77.45,78.06,77.16,77.8,1773126,0.35,0.4519,77.6175
2020-10-01,ED,78.05,79.08,77.74,79.04,1562378,0.99,1.27,78.4775
2020-10-02,ED,78.53,80.21,78.26,79.77,1718928,1.24,1.58,79.1925
2020-10-05,ED,79.6,80.33,79.11,79.93,1357847,0.33,0.41457,79.7425
2020-10-06,ED,80.06,81.22,79.46,80.76,1530775,0.7,0.87434,80.375
2020-10-07,ED,81.09,81.23,79.84,80.83,1336209,-0.26,-0.32063,80.7475
2020-10-08,ED,81.25,82.35,80.89,82.27,1212072,1.02,1.26,81.69
2020-10-09,ED,82.39,82.92,81.52,82.55,1170312,0.16,0.1942,82.345
2020-10-12,ED,82.45,83.13,82.4,82.89,946400,0.44,0.53366,82.7175
2020-10-13,ED,82.1,82.63,80.84,82.32,1213400,0.22,0.26797,81.9725
2020-10-14,ED,82.4,82.7,81.53,82.24,1075033,-0.16,-0.19417,82.2175
2020-10-15,ED,81.15,82.26,80.89,81.74,1286858,0.59,0.72705,81.51
2020-10-16,ED,81.7,82.71,81.31,81.7,2205257,0.0,0.0,81.855
2020-10-19,ED,81.69,82.34,80.52,80.79,2936330,-0.9,-1.1,81.335
2020-10-20,ED,80.0,81.29,79.82,80.6,1627735,0.6,0.75,80.4275
2020-10-21,ED,80.37,81.0,79.9,80.33,1487000,-0.04,-0.04976981,80.4
2020-10-22,ED,80.57,81.61,80.0,81.44,1509500,0.87,1.08,80.905
2020-10-23,ED,81.97,82.09,81.23,81.6,1473627,-0.37,-0.45138,81.7225
2020-10-26,ED,81.23,82.89,80.94,82.74,1342254,1.51,1.86,81.95
2020-10-27,ED,82.95,83.92,82.22,83.05,1553300,0.1,0.12055,83.035
2020-10-28,ED,82.05,82.94,79.96,80.16,1778800,-1.89,-2.3,81.2775
2020-10-29,ED,79.98,80.75,78.86,79.77,1599300,-0.21,-0.26257,79.84
2020-10-30,ED,79.37,79.82,77.64,78.49,2353725,-0.88,-1.11,78.83
2020-11-02,ED,79.39,80.08,78.13,79.78,2603534,0.39,0.49125,79.345
2020-11-03,ED,80.59,82.06,80.38,81.32,1722200,0.73,0.90582,81.0875
2020-11-04,ED,81.32,82.28,79.54,79.56,1437920,-1.76,-2.16,80.675
2020-11-05,ED,80.36,81.56,79.44,79.73,1659700,-0.63,-0.78397,80.2725
2020-11-06,ED,79.3,79.97,77.28,77.8,2928858,-1.5,-1.89,78.5875
2020-11-09,ED,80.28,81.66,78.85,79.28,2248858,-1.0,-1.25,80.0175
