date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,EMR,1985,Q4,USD,1.0,-2.3602922217447357,-2.3602922217447357,-2.3602922217447357,0.0,0.08362698753760206,0.08362698753760206,0.08362698753760206,1.6088219026548674,0.0,0.0,1.379208155523945,0.35725251780889217,2.6811519670866546,1.195294420159424,0.09404600811907984,0.11378246335818977,13.023756825539568,0.0,0.0,2.2810035804608044,4.3565501989686295,0.0,0.0,0.08308769344141488,0.12177121771217712,0.10855263157894737,0.049041424169804865,1.4655746557465574,0.0,,,0.0,-17.603846153846153,0.0,,,0.0,0.0,0.49075327719582734,0.009420347826086957,0.9420347826086956,1.3198516572496413,0.1103752180922992,0.30696335062462654,0.10039267010450646,2.5208202430082967,2.3429493879530807,2.5208202430082967,,,,0.0,0.0,2.2810035804608044,0.053384930543413305,0.0,-1.912077108914136,0.054167,Industrials
1985-12-31,EMR,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.08608296527236511,0.08608296527236511,0.08608296527236511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.11153903420523,0.0,0.0,0.0,5.203384359573915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133905432595574,0.008493353028064993,0.8493353028064993,1.3010762865410097,0.11200050479100751,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0575,Industrials
1986-03-31,EMR,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.08236787811458499,0.08236787811458499,0.08236787811458499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.330610404624277,0.0,0.0,0.0,5.380470909379463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49162832369942194,0.007526178010471205,0.7526178010471205,1.419950061746757,0.11695827361475432,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0575,Industrials
1986-06-30,EMR,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.08218101822752985,0.08218101822752985,0.08218101822752985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.378456022944551,0.0,0.0,0.0,5.0552686989314894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878682600382409,0.007931034482758621,0.7931034482758621,1.4341473088329413,0.11785968612816283,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0575,Industrials
1986-09-30,EMR,1986,Q4,USD,1.0,-2.3164717040784066,-2.3164717040784066,-2.3164717040784066,0.0,0.07990831489092634,0.07990831489092634,0.07990831489092634,1.5982819605861547,0.0,0.0,1.4114234716644356,0.3356858583178562,2.8047739852398523,1.4846632841328413,0.0724731182795699,0.3325645756457565,14.435459940652818,-0.14435459940652817,-0.14435459940652817,2.4590143218197134,4.614053114132153,0.0,0.0,0.1358450517378615,0.21566975568660487,0.1774081774081774,0.12148910187617955,1.5876158382476833,0.0,,,0.0,-15.954273271638542,0.0,,,0.0,0.0,0.4948071216617211,0.00856929955290611,0.856929955290611,1.4542528735632183,0.11620689655172414,0.5885057471264368,0.3314942528735632,2.7287356321839082,2.5006896551724136,2.7287356321839082,,,,0.0,0.0,2.4590143218197134,0.08770577453449133,0.0,-2.0681383922478505,0.0575,Industrials
1986-12-31,EMR,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.07746686303387335,0.07746686303387335,0.07746686303387335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.469632889733841,0.0,0.0,0.0,4.483668276877761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4975231939163498,0.008595988538681947,0.8595988538681948,1.5567610199879862,0.12059739271188229,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06,Industrials
1987-03-31,EMR,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.07526741455778764,0.07526741455778764,0.07526741455778764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.390281889081454,1.966833826689771,1.966833826689771,0.0,4.93461656665797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8148409012131717,0.02768166089965398,2.768166089965398,1.7569754170123626,0.1322429970801113,,,,,,,,,0.0,0.0,0.0,,0.0,,0.24,Industrials
1987-06-30,EMR,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.07597037793667007,0.07597037793667007,0.07597037793667007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.88772907563025,0.0,0.0,0.0,5.435750153217568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4748953830356303,0.0066371670353982315,0.6637167035398231,1.6630639277357104,0.1263435951229249,,,,,,,,,0.0,0.0,0.0,,0.0,,0.05999999,Industrials
1987-09-30,EMR,1987,Q4,USD,1.0,-2.2002195523571384,-2.2002195523571384,-2.2002195523571384,0.0,0.07531865585168018,0.07531865585168018,0.07531865585168018,1.640520260130065,0.0,0.0,1.4558288200301874,0.3368462138953942,2.0043780193236715,1.054951690821256,0.057035976539047704,0.09835446859903382,18.97312089068826,-0.1897312089068826,-0.1897312089068826,3.4681671489361707,5.716119851192292,0.0,0.0,0.188319158552118,0.339204440333025,0.25328801945181256,0.1698663799723545,1.8012210915818687,0.0,,,0.0,-9.919439098157822,0.0,,,0.0,0.0,0.4682408157697166,0.006169791707798618,0.6169791707798619,1.772181175992495,0.1334783041014046,0.990765679107349,0.14082771679686656,2.920851148453813,2.0200076952674104,2.920851148453813,,,,0.0,0.0,3.4681671489361707,0.09780510159006406,0.0,-2.8159552401807244,0.062499990000000005,Industrials
1987-12-31,EMR,1988,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.07914079330883285,0.07914079330883285,0.07914079330883285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.038056525220178,0.0,0.0,0.0,5.077058066151312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4629923939151321,0.007217090069284064,0.7217090069284064,1.7057122229379493,0.13499141847988205,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0625,Industrials
