date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,EQT,1985,Q3,USD,303448200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007909092886364131,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1985-12-31,EQT,1985,Q4,USD,280659600.0,529459600.0,4.929791433891992,0.0,0.0,-2.035600153787005,-0.9565551710880431,0.8525073746312685,0.0,3.120521927127481,-3.2409954977488744,0.0,0.0,-25000000.0,687500000.0,0.018677494199535963,0.0,0.018677494199535963,0.04163434186708043,,-0.3755956678700361,0.05736486476856663,,0.0,0.0,,0.0,0,,0.0,,,,59.91620111731844,0.0,0.0,59.91620111731844,59.91620111731844,,,386700000.0,-330800000.0,Energy
1986-03-31,EQT,1986,Q1,USD,267865200.00000003,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.11834310690601092,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1986-06-30,EQT,1986,Q2,USD,327056400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.029352735491493212,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1986-09-30,EQT,1986,Q3,USD,333663000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.004495553897195673,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1986-12-31,EQT,1986,Q4,USD,401608920.0,664408920.0,5.616305325443787,0.0,0.0,-2.877474750974448,-1.1381550454742313,0.8248222365869424,0.0,2.6755766169438213,-3.7778574489829557,0.0,0.0,-27100000.0,778200000.0,0.012025114398212196,0.0,0.012025114398212196,0.027261761158021713,,-0.294140127388535,0.02813682524780575,,0.0,0.0,,0.0,0,,0.0,,,,52.265426880811496,0.0,0.0,52.265426880811496,52.265426880811496,,,414500000.0,-397600000.0,Energy
1987-03-31,EQT,1987,Q1,USD,503407439.99999994,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.04191435867535053,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1987-06-30,EQT,1987,Q2,USD,471352320.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006788976874029176,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1987-09-30,EQT,1987,Q3,USD,434534200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0034519722498252154,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1987-12-31,EQT,1987,Q4,USD,351299480.0,606999480.0,5.3339145869947275,0.0,0.0,-2.82456714751047,-1.189855746859004,1.2169720347155255,0.0,2.448889734463007,-3.5701447665108983,0.0,0.0,22500000.0,863600000.0,0.009026566827366909,0.0,0.009026566827366909,0.019391802556192154,,-0.2466712580348944,0.025049852052157894,,0.0,0.0,,0.0,0,,0.0,,,,72.2847100175747,0.0,0.0,72.2847100175747,72.2847100175747,,,453800000.0,-394900000.0,Energy
