date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,EXC,27.13,27.45,26.78,27.43,5960970,0.29949,1.11,27.1975
2020-07-31,EXC,27.32,27.55,27.06,27.53,12909616,0.21392,0.76867,27.365
2020-08-03,EXC,27.37,27.42,26.88,27.09,6624961,-0.2781,-1.02,27.19
2020-08-04,EXC,26.78,27.76,26.63,27.63,9973736,0.84855,3.17,27.2
2020-08-05,EXC,27.59,27.75,26.75,26.9,7415759,-0.69011,-2.5,27.2475
2020-08-06,EXC,26.85,27.06,26.63,27.03,6346871,0.17827,0.67039,26.8925
2020-08-07,EXC,27.03,27.85,26.91,27.76,8781659,0.73446,2.7,27.3875
2020-08-10,EXC,27.77,28.02,27.06,27.32,10888132,-0.44923,-1.62,27.5425
2020-08-11,EXC,27.48,27.63,26.9,27.03,9084085,-0.45636,-1.64,27.26
2020-08-12,EXC,27.1,27.76,27.03,27.6,6858431,0.50628,1.85,27.3725
2020-08-13,EXC,27.22,27.29,26.9,27.05,5743324,-0.16401,-0.62454,27.115
2020-08-14,EXC,26.92,27.11,26.78,27.05,4647101,0.12835,0.48291,26.965
2020-08-17,EXC,26.8,26.9,26.49,26.63,10736247,-0.17827,-0.63433,26.705
2020-08-18,EXC,26.68,26.82,26.31,26.43,5782949,-0.24729,-0.93703,26.56
2020-08-19,EXC,26.5,26.67,26.31,26.4,6437674,-0.10696,-0.37736,26.47
2020-08-20,EXC,26.53,26.55,25.87,25.89,5095024,-0.63463,-2.41,26.21
2020-08-21,EXC,25.99,26.09,25.65,26.04,8885688,0.049915,0.19238,25.9425
2020-08-24,EXC,26.25,26.91,26.06,26.88,8038606,0.6275,2.4,26.525
2020-08-25,EXC,26.94,26.95,26.28,26.48,5351482,-0.4635,-1.71,26.6625
2020-08-26,EXC,26.39,26.6,26.06,26.58,9259367,0.18896,0.71997,26.4075
2020-08-27,EXC,26.49,26.79,26.16,26.31,7671336,-0.1854,-0.6795,26.4375
2020-08-28,EXC,26.31,26.43,26.13,26.41,5512759,0.10054,0.38008,26.32
2020-08-31,EXC,26.21,26.6,26.21,26.32,5587331,0.11409,0.41969,26.335
2020-09-01,EXC,26.17,26.21,25.76,25.91,6133849,-0.26384,-0.9935,26.0125
2020-09-02,EXC,26.22,27.26,25.85,27.12,13436121,0.89847,3.43,26.6125
2020-09-03,EXC,27.13,27.35,26.27,26.59,11794109,-0.5348,-1.99,26.835
2020-09-04,EXC,26.76,26.88,26.13,26.45,8399937,-0.3104,-1.16,26.555
2020-09-08,EXC,26.22,26.45,25.72,25.97,8513341,-0.24957,-0.95347,26.09
2020-09-09,EXC,26.24,26.46,26.06,26.15,6265784,-0.092699,-0.34299,26.2275
2020-09-10,EXC,26.15,26.15,25.47,25.56,8557324,-0.59185,-2.26,25.8325
2020-09-11,EXC,25.67,25.71,25.4,25.55,6453866,-0.12122,-0.46747,25.5825
2020-09-14,EXC,25.46,26.02,25.41,25.86,5138804,0.39611,1.57,25.6875
2020-09-15,EXC,25.97,26.28,25.66,25.79,4642967,-0.18183,-0.69311,25.925
2020-09-16,EXC,25.73,26.23,25.61,25.86,7897384,0.12479,0.50525,25.8575
2020-09-17,EXC,25.65,25.67,25.26,25.62,9936219,-0.028523,-0.11696,25.55
2020-09-18,EXC,25.64,25.68,24.84,25.01,11888156,-0.63463,-2.46,25.2925
2020-09-21,EXC,24.7,24.8,24.25,24.78,7316078,0.078438,0.32389,24.6325
2020-09-22,EXC,24.89,25.23,24.82,25.11,6239025,0.21392,0.88389,25.0125
2020-09-23,EXC,25.08,25.24,24.53,24.59,7073426,-0.49672,-1.95,24.86
2020-09-24,EXC,24.47,25.06,24.22,24.82,6443864,0.35654,1.43,24.6425
2020-09-25,EXC,24.73,25.41,24.56,25.33,7287589,0.59898,2.43,25.0075
2020-09-28,EXC,25.54,25.83,25.41,25.49,6537436,-0.057046,-0.19577,25.5675
2020-09-29,EXC,25.56,25.63,25.06,25.19,4598327,-0.3708,-1.45,25.36
2020-09-30,EXC,25.42,25.75,25.32,25.5,9899754,0.078437,0.31471,25.4975
2020-10-01,EXC,25.61,25.78,25.34,25.55,6629364,-0.057046,-0.23428,25.57
2020-10-02,EXC,25.35,25.81,25.11,25.63,7262653,0.27689,1.1,25.475
2020-10-05,EXC,25.71,26.31,25.48,26.23,7009386,0.52767,2.02,25.9325
2020-10-06,EXC,26.17,26.98,26.16,26.5,8008892,0.33514,1.26,26.4525
