date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,F,1985,Q3,USD,3078467968.4,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1985-12-31,F,1985,Q4,USD,3962409549.2,1490409549.1999998,0.10572829967509895,0.0,0.0,-0.041460036808621314,0.06876580403414922,1.0967959052702427,0.0,0.0,-8.055503438922512,0.0,0.0,1236800000.0,13658200000.0,0.0,0.0,0.0,0.0,,-1.9094719061733116,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,18.20800760467063,0.0,0.0,18.20800760467063,18.20800760467063,,,12268600000.0,-5320800000.0,Consumer Cyclical
1986-03-31,F,1986,Q1,USD,5603181954.08,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-06-30,F,1986,Q2,USD,5661830073.900001,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-09-30,F,1986,Q3,USD,4803010096.51,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-12-31,F,1986,Q4,USD,5098883408.41,-13116591.590000153,-0.0008065594002115403,0.0,0.0,0.0003093761947217875,0.12057485335012702,1.1812666393610485,0.0,0.0,-9.133892417148422,0.0,0.0,2832400000.0,16033100000.0,0.0,0.0,0.0,0.0,,-1.9005755937491595,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,19.302317001180636,0.0,0.0,19.302317001180636,19.302317001180636,,,14859500000.0,-4615500000.0,Consumer Cyclical
1987-03-31,F,1987,Q1,USD,7525890026.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-06-30,F,1987,Q2,USD,9770912933.6,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-09-30,F,1987,Q3,USD,9504869546.78,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-12-31,F,1987,Q4,USD,7034780082.33,572380082.3299999,0.030514081124752766,0.0,0.0,-0.012260654702544537,0.13842769410701242,1.2353737902817898,0.0,0.0,-9.756631862934803,0.0,0.0,4188100000.0,18221600000.0,0.0,0.0,0.0,0.0,,-1.7187167507906178,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,21.11878195320372,0.0,0.0,21.11878195320372,21.11878195320372,,,18492700000.0,-4481500000.0,Consumer Cyclical
1988-03-31,F,1988,Q1,USD,8312804886.64,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-06-30,F,1988,Q2,USD,9540501752.099998,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-09-30,F,1988,Q3,USD,9363504857.2,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-12-31,F,1988,Q4,USD,9110322985.92,72333722985.92,2.2900274480763874,0.0,0.0,-1.5256513262743163,-1.3334978496868917,2.097670110186762,0.0,0.0,-40.60691334124436,0.0,0.0,62212100000.0,78204300000.0,0.0,0.0,0.0,0.0,,-0.5469108316991579,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,272.6424663779348,0.0,0.0,272.6424663779348,272.6424663779348,,,21693100000.0,-2784800000.0,Consumer Cyclical
1989-03-31,F,1989,Q1,USD,8815808234.220001,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
