date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2001-03-31,FANG,2001,Q1,USD,3107387500000.0,,,,,,,0.0,0.0,,,0.7841796875,1.0406504065040652,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0002584164350278168,0.0004029108052986633,0.0,0.0,0.0,0.014950166112956811,0,0.0,0.0,,,,,,,,,,,,,Energy
2001-06-30,FANG,2001,Q2,USD,3167657500000.0,,,,,,,0.0,0.0,,,0.7772511848341233,1.1561643835616437,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00010354654819847158,0.000398401658007534,0.2606912712360867,0.0,0.2647233789411065,0.021415823914336704,0,0.0,0.0,,,,,,,,,,,,,Energy
2001-09-30,FANG,2001,Q3,USD,3052105000000.0,,,,,,,0.0,0.0,,,0.8141025641025641,1.028345418589321,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0004161062610886585,0.0004786860216145906,0.24103896103896105,0.0,0.1903980303652031,0.013951579811243332,0,0.0,0.0,,,,,,,,,,,,,Energy
2001-12-31,FANG,2001,Q4,USD,3108700000000.0,3114411000000.0,1534.1926108374385,2161.2845246356696,3407.451859956236,1926.0426716141,3.5318491032776747,0.48705501618122976,0.0,0.08028608530458764,-0.04331513172708849,0.7975174553917765,1.029552715654952,-634000000.0,-496000000.0,0.058346103638117944,0.0,0.058346103638117944,0.11689788492153741,0.0010586089066380526,0.0013428553988890923,0.0003306848521890179,0.00029401357480618906,0.3657182512144344,0.0,0.2596059113300493,0.017241379310344827,0,0.0,0.0,,,,0.0,44.68531468531468,20.769230769230766,20.769230769230766,-23.916083916083913,-4797000000.0,,9804000000.0,-7213000000.0,Energy
2010-12-31,FANG,2010,Q4,USD,395701810.0,436378752.0,52.50253435720666,13609.19232808358,-32.10833189976827,99.4517244797845,9.27036893965033,1.2512273194032906,-0.09391905943276578,,-2.186106109484311,-2.5920827860575644,0.9905169431618212,5027128.0,151868858.0,-0.0019790026583861773,0.0,-0.0019790026583861773,-0.003231894403799207,-0.002268446725149232,0.0008719239491688284,-0.0008627986816638519,-0.03434613048648931,424.8523623888976,0.0,1.6390264179773388,0.0,0,0.0,0.0,,,,131.97257198545404,1668.5434602208945,1048.0492711639974,1180.0218431494516,-488.52161707144296,-54267768.0,,105638043.0,-41841249.0,Energy
2011-03-31,FANG,2011,Q1,USD,395701810.0,,,,,,,0.0,1.952988483532395,,,1.0,0.851864910484237,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007204821731798497,-0.039858513662093184,3.8326843147516816,0.0,1.7673136443035304,0.0,0,0.0,0.0,,,,,,,,,,,,,Energy
2011-06-30,FANG,2011,Q2,USD,395701810.0,,,,,,,0.0,2.289773314661504,,,1.0,0.852405412411117,,,0.0,0.0,0.0,0.0,0.0,0.0,0.008775827939730677,-0.02328504385663538,2.1587679394005552,0.0,1.4985321035402805,0.0,0,0.0,0.0,,,,,,,,,,,,,Energy
2011-09-30,FANG,2011,Q3,USD,395701810.0,472483727.0,43.0666053231246,907.0874808017202,-26.87691377327436,72.75563121033045,11.823299973406709,0.999173623695731,0.2493894296763271,3.2517420066778815,-4.067218875306636,1.0,0.7442109013181333,-27015.0,190770884.0,0.009074747439222694,0.0,0.009074747439222694,0.018162150041060022,0.009343915945826274,0.014237374479089049,0.005279227810456566,-0.044426225899750114,34.74968898786669,0.0,1.6498421292498404,0.0,0,0.023624646796098808,0.0,,,,183.54174733388024,2711.0063265306126,984.301530612245,1167.8432779461252,-1543.1630485844873,-94361455.0,,115019422.0,-82515919.0,Energy
2011-12-31,FANG,2011,Q4,USD,395701810.0,473899421.0,33.44087640183351,28.995442282907756,-49.91131709691665,52.56086997607196,8.673010098930792,0.7292332637996732,-1.8246603531175438,,-4.939892462837104,1.086233981304721,-1.7415814318519593,-11485466.0,195541153.0,-0.035903096506614045,0.01974161988924151,-0.035903096506614045,-0.07799265114519645,0.06081509223740609,0.0228664802716125,-0.022636348314909148,-0.023994909196902586,1.5809392332124812,0.0,1.8233208164523385,0.0,0,0.020118462279506227,0.0,19941869.5,13240954.0,6218562.5,111.2039280622996,1027.394585644852,703.6370132794623,814.8409413417619,-212.5536443030901,-87692440.0,2493747.346891992,114847282.0,-103703764.0,Energy
2012-03-31,FANG,2012,Q1,USD,395701810.0,484148445.0,30.250756552513614,25.273388047014134,-38.25394609901732,43.026674313112906,7.8603258928896755,0.5158102892087327,14.094632526224478,2.7986891079204685,-5.558424004618528,1.0867237963080822,0.576391433418151,-25891196.0,201579124.0,0.005530989896727618,0.025550190010180947,0.005530989896727618,0.012256718656840224,0.01052977401238583,0.030897258136475682,0.0037326086529652215,-0.031984109448475864,1.6606740120769754,0.0,1.987728956599538,0.0739791609950872,0,0.01818925131527013,0.0,14232009.5,9043589.0,6595286.0,61.59900520522125,989.0777135335205,762.6503351002469,824.2493403054682,-164.82837322805233,-101102805.0,-11891347.490013838,120505336.0,-118953419.0,Energy
2012-06-30,FANG,2012,Q2,USD,395701810.0,508155981.0,31.700310729881473,161.17256409955505,-24.616824775565167,48.55865030423932,10.745957873202974,0.48765215577882637,0.23214777198828213,8.6179346033751,-6.3082512719615815,1.0,0.9207271744272487,-26543173.0,229186600.0,0.048142821064010764,0.015660903698939646,0.048142821064010764,0.10998296499171345,0.01554741545494477,0.018630152041592154,0.034429966342585085,-0.052167133124814365,7.547252359676219,0.0,1.4844353087960074,0.10311915159076732,0,0.018160386774797255,0.0,13121242.5,9709292.5,6537397.5,85.83667747972551,90.46936312070852,52.7566941984277,138.5933716781532,48.12400855744468,-133096800.0,-4686179.491485611,123873729.0,-133853816.0,Energy
2012-09-30,FANG,2012,Q3,USD,614451810.0,743584810.0,44.799663212435235,78.49783677880355,-47.89225709495839,73.5547482657007,12.773721544681267,0.4478625649220935,21.747926266223107,1.0138406923461196,-4.701297283183201,1.036697247706422,0.27560050568900124,-33168000.0,244182000.0,0.0014686434867935809,0.013684107126652184,0.0014686434867935809,0.00362760834670947,-0.024953944831722676,0.016318456165849128,0.0007356150517320472,-0.02526837865446275,2.639050684605696,4.0595777849951284,1.5061380889263767,79.16616459814435,0,0.017518917941920713,0.0,16755733.0,16392203.5,6100289.0,98.81130256657428,2190.4184549356223,609.3347639484979,708.1460665150721,-1482.2723884205502,-144659201.0,-14825920.614678899,124600000.0,-156263000.0,Energy
2012-12-31,FANG,2012,Q4,USD,707182491.84,681162491.84,25.60183762459596,38.032523274148524,-8.735988455342945,50.82164379914945,-1.9413564127434157,0.63452897819063,-0.34510665356378983,,-2.813686343991375,-1.179973386560213,0.8758741258741258,-28957000.0,525285000.0,-0.0058463724305712365,0.005312378344567552,-0.0058463724305712365,-0.007676359323735901,-83.33218346467049,0.004605009962670792,-0.005015678471862547,-0.11025725452722486,5.353545505304299,0.003649450005709283,3.6037735849056602,0.2379914305043975,0,0.09806058783732993,0.0,16517500.0,17412000.0,6252500.0,50.1044877095392,24.526171664571734,12.514589692943076,62.619077402482276,38.09290573791054,-51952000.0,-62770354670.65868,462068000.0,-94358000.0,Energy
2013-03-31,FANG,2013,Q1,USD,1015418545.4,1046704545.4,36.20687486249957,62.10053665974488,-18.376455791007565,52.914642606541626,1.581618725039179,0.4521588765457975,3.123610081541883,6.432375705649962,-4.23731614858883,0.6305211498013554,0.9463673559659405,-41820000.0,570993000.0,0.008321214934391015,0.013802180432198502,0.008321214934391015,0.011529076947401257,0.009543668394713248,0.015139995140938988,0.005314064849853983,-0.05609411041194088,4.379353307623851,0.00687409200968523,2.553322494724826,0.08547511155695459,0,0.02265730395378602,0.0,17245000.0,10313000.0,6221000.0,61.261890760662766,43.06377939434952,31.70529521231602,92.96718597297878,49.903406578629266,-88245000.0,-44511197.24234635,468034000.0,-145913000.0,Energy
2013-06-30,FANG,2013,Q2,USD,1350316204.14,1268684204.14,27.948279599506545,38.51149573930729,-40.04305792191396,33.72097398240438,-2.169736597294208,1.195400412362674,2.276484002487734,11.472649807024409,-1.7186758370999933,0.6497104117092444,0.9765433181339881,19049000.0,700221000.0,0.018119575928548442,0.026788712889623537,0.018119575928548442,0.023057349400661876,0.017957209156976694,0.02764450504312902,0.010716749125599365,-0.0234633931688456,1.961752117293507,5.927903137039076,1.4236683262105123,0.05773890822575671,0,0.006190245406881967,0.0,22023500.0,15557500.0,6259000.0,48.31497554742918,87.24352109659456,24.176054829727995,72.49103037715717,-14.75249071943739,49949000.0,-95861404.92973556,627609000.0,-54494000.0,Energy
2013-09-30,FANG,2013,Q3,USD,1892576400.0,2289706400.0,39.62046685470056,54.713527204951134,-3.524490499587474,54.249446774231764,9.409102755467103,0.8397821856355813,2.8671553850369964,11.712659568151183,-12.6908302354399,0.6159949356404305,0.9560603615235636,-17536000.0,1343585000.0,0.009957050159083592,0.0259859088068853,0.009957050159083592,0.017736451591735952,0.013360277601448029,0.02169125913693515,0.007712238195509571,-0.3432654026542865,16.523811799565102,36.17036300868292,11.965617483691233,0.03670121645238878,0,0.008478828883390147,0.0,27825500.0,23321000.0,6249500.0,48.71658216677337,82.48082134269684,21.393076600129763,70.10965876690314,-12.371162575793704,-1046786000.0,-622230181.5150876,822938000.0,-551043000.0,Energy
2013-12-31,FANG,2013,Q4,USD,2489395061.28,2938378061.28,38.709728372240086,45.81908718665212,-64.08955813296109,48.674431176782406,7.437433739729658,0.5107814045499506,3.1867421983701054,13.143570890272557,-13.34530687263355,0.6325318246110325,0.8657849620377174,-59352000.0,1386985000.0,0.01322543036538833,0.025255815043296926,0.01322543036538833,0.023800146888205302,0.017041346756663824,0.026941485145262352,0.008083891670313115,-0.0184173258447881,1.7149228130360206,1.6513957085153985,1.4488327975970912,0.05036359803973231,0,0.0042946724982874,0.0,35277500.0,13345500.0,5929500.0,46.5638667861095,7.031085967572611,14.77866557797737,61.34253236408687,54.311446396514256,-494831000.0,-21297353.041018397,845541000.0,-614105000.0,Energy
