date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1987-03-31,FAST,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.964634986666663,0.0,0.0,0.0,7.190569329777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.004391237821633775,0.00029274918810891833,,,,,,,,,0.0,0.0,0.0,,0.0,,,Industrials
1987-06-30,FAST,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22347624,0.0,0.0,0.0,7.190569329777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.004391237821633775,0.0003903322508118911,,,,,,,,,0.0,0.0,0.0,,0.0,,,Industrials
1987-09-30,FAST,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.848219008,0.0,0.0,0.0,7.088649645714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.005464651511366475,0.00048791531351486387,,,,,,,,,0.0,0.0,0.0,,0.0,,,Industrials
1987-12-31,FAST,1987,Q4,USD,1.0,-2.0,-2.0,-2.0,0.0,0.08771929824561403,0.08771929824561403,0.08771929824561403,2.111111111111111,0.0,0.0,2.85,0.4634146341463415,5.857142857142857,3.142857142857143,0.21739130434782608,1.1428571428571428,19.681438016,0.21321557850666667,0.21321557850666667,3.9362876032000003,6.90576772491228,0.0,0.0,0.07317073170731707,0.09,0.08256880733944955,0.08256880733944955,1.23,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.005562234574069448,0.00048791531351486387,0.0008782475643267549,0.0015613290032475643,0.009758306270297277,0.009758306270297277,0.009758306270297277,,,,0.0,0.0,3.9362876032000003,0.022864182974545514,0.0,-3.3914803536842104,,Industrials
1988-03-31,FAST,1988,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.573116799999998,-0.42860659999999995,-0.42860659999999995,0.0,7.481133381818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.005439082278481013,0.0004944620253164557,,,,,,,,,0.0,0.0,0.0,,0.0,,,Industrials
1988-06-30,FAST,1988,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.724368000000002,0.0,0.0,0.0,9.394321297297296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.006098364978902954,0.0006592827004219409,,,,,,,,,0.0,0.0,0.0,,0.0,,,Industrials
1988-09-30,FAST,1988,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.10975609756097561,0.10975609756097561,0.10975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.021151999999997,0.5637916266666665,0.5637916266666665,0.0,11.423920390243902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0067533733923677,0.0007412239089184061,,,,,,,,,0.0,0.0,0.0,,0.0,,,Industrials
1988-12-31,FAST,1988,Q4,USD,1.0,-2.1097560975609757,-2.1097560975609757,-2.1097560975609757,0.0,0.10975609756097561,0.10975609756097561,0.10975609756097561,2.0,0.0,0.0,3.727272727272727,0.49696969696969695,5.041666666666667,2.75,0.28125,0.9583333333333334,25.02764373333333,0.2502764373333333,0.2502764373333333,6.774399807518797,10.987746029268292,0.0,0.0,0.048484848484848485,0.06015037593984962,0.05673758865248227,0.05673758865248227,1.2406015037593985,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0067547975537747785,0.0007413802193167439,0.0006590046393926614,0.0018946383382539014,0.010955952129902994,0.010955952129902994,0.010955952129902994,,,,0.0,0.0,6.774399807518797,0.008879070862202389,0.0,-5.1213593895953755,,Industrials
1989-03-31,FAST,1989,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.07865168539325842,0.07865168539325842,0.07865168539325842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.645714285714284,-0.617814857142857,-0.617814857142857,0.0,12.787415730337079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.007331426613243357,0.0005766290594685787,,,,,,,,,0.0,0.0,0.0,,0.0,,,Industrials
1989-06-30,FAST,1989,Q2,USD,0.5339805825242718,0.13592233009708737,0.1553398058252427,0.13592233009708737,0.1553398058252427,0.0970873786407767,0.0970873786407767,0.0970873786407767,2.06,4.8,0.8888888888888888,4.12,0.5722222222222222,5.739130434782608,3.391304347826087,0.4,1.0869565217391304,29.392653165032502,1.2736816371514081,1.2736816371514081,7.838040844008668,11.414622588362137,0.0,0.0,0.044444444444444446,0.05333333333333334,0.05063291139240506,0.05063291139240506,1.2,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.008726525930130895,0.0008472355271971742,0.0006777884217577393,0.0021180888179929353,0.012708532907957612,0.012708532907957612,0.012708532907957612,,,,0.625,1.1428571428571428,7.838040844008668,0.006804421461276371,0.375,72.41913291258126,,Industrials
1989-09-30,FAST,1989,Q3,USD,0.5535714285714286,0.19642857142857142,0.20535714285714285,0.19642857142857142,0.19642857142857142,0.11607142857142858,0.11607142857142858,0.11607142857142858,2.0,3.5714285714285716,0.8771929824561403,4.3076923076923075,0.5544554455445545,4.741935483870968,2.903225806451613,0.358974358974359,1.032258064516129,24.938574310905768,0.6650286482908204,0.6650286482908204,7.955864197344172,11.578623787206249,108.06715534725832,86.45372427780666,0.039603960396039604,0.049079754601226995,0.04678362573099415,0.04678362573099415,1.2392638036809815,0.9955555555555555,0.4838709677419355,0.13392857142857142,0.8,0.0,0.0,0.0,1.875,5.0,5.0,0.0,0.0,0.0,0.00948903790460835,0.0011014061853563265,0.0006777884217577393,0.0027111536870309573,0.013809939093313938,0.013809939093313938,0.013809939093313938,0.0012708532907957613,0.00025417065815915225,0.001016682632636609,0.5909090909090909,1.0,7.955864197344172,0.006169003565647942,0.4090909090909091,55.33938539856956,0.0,Industrials
1989-12-31,FAST,1989,Q4,USD,0.5648148148148148,0.16666666666666666,0.18518518518518517,0.16666666666666666,0.19444444444444445,0.12037037037037036,0.12037037037037036,0.12037037037037036,2.0,2.9375,0.7014925373134329,4.153846153846154,0.5023255813953489,4.875,2.78125,0.375,1.0,27.265145592299998,0.0,0.0,8.101643261712,13.12766269258889,283.55751415992006,202.54108154280001,0.037209302325581395,0.045714285714285714,0.04371584699453552,0.04371584699453552,1.2285714285714286,0.9,0.21875,0.06481481481481481,0.7142857142857143,0.0,0.0,0.0,0.875,3.5,3.5,0.0,0.0,0.0,0.009150143693729481,0.0011014061853563265,0.0006777884217577393,0.0027111536870309573,0.014826621725950548,0.014826621725950548,0.014826621725950548,0.0005930648690380219,0.00016944710543943483,0.0004236177635985871,0.6190476190476191,1.1666666666666667,8.101643261712,0.005642594253727433,0.38095238095238093,69.68937853998001,0.0,Industrials
1990-03-31,FAST,1990,Q1,USD,0.5491803278688525,0.1721311475409836,0.1885245901639344,0.1721311475409836,0.1721311475409836,0.10655737704918032,0.10655737704918032,0.10655737704918032,2.0,3.235294117647059,0.8461538461538461,4.6923076923076925,0.5213675213675214,4.72972972972973,2.972972972972973,0.3333333333333333,1.2162162162162162,31.641999999999996,2.320413333333335,2.320413333333335,8.70573544973545,13.486754098360656,126.568,109.69226666666665,0.03418803418803419,0.042328042328042326,0.04060913705583756,0.04060913705583756,1.2380952380952381,0.9312977099236641,0.40540540540540543,0.12295081967213115,0.8666666666666667,0.0,0.0,0.0,1.875,7.5,7.5,0.0,0.0,0.0,0.01173076923076923,0.00125,0.0007692307692307692,0.004326923076923077,0.018173076923076924,0.018173076923076924,0.018173076923076924,0.0014423076923076924,0.0001923076923076923,0.00125,0.6190476190476191,1.0,8.70573544973545,0.004862086904941339,0.38095238095238093,69.92973913043478,0.0,Industrials
1990-06-30,FAST,1990,Q2,USD,0.549618320610687,0.19083969465648856,0.20610687022900764,0.19083969465648856,0.1984732824427481,0.12213740458015267,0.12213740458015267,0.12213740458015267,2.046875,3.4705882352941178,0.855072463768116,4.517241379310345,0.5346938775510204,5.242424242424242,3.1515151515151514,0.45,1.0909090909090908,28.750399999999996,1.197933333333333,1.197933333333333,8.975734634146342,14.045996946564886,1840.0256,306.6709333333333,0.0326530612244898,0.03902439024390244,0.03755868544600939,0.03755868544600939,1.1951219512195121,0.9424460431654677,0.18181818181818182,0.04580152671755725,0.16666666666666666,0.0,0.0,0.0,0.75,1.2,1.2,0.0,0.0,0.0,0.01279296875,0.0015625,0.00078125,0.003515625,0.02001953125,0.02001953125,0.02001953125,0.0005859375,0.00048828125,9.765625e-05,0.6153846153846154,1.04,8.975734634146342,0.004347765596304747,0.38461538461538464,67.11205925925925,0.0,Industrials
1990-09-30,FAST,1990,Q3,USD,0.5539568345323741,0.19424460431654678,0.20863309352517986,0.19424460431654678,0.2014388489208633,0.1223021582733813,0.1223021582733813,0.1223021582733813,2.0144927536231885,3.4444444444444446,0.8157894736842105,4.34375,0.5225563909774437,5.1891891891891895,3.135135135135135,0.4222222222222222,1.162162162162162,26.251199999999997,0.0,0.0,8.077292307692307,12.842313669064747,297.5136,162.28014545454542,0.03007518796992481,0.03619909502262444,0.034934497816593885,0.034934497816593885,1.2036199095022624,0.9423728813559322,0.2972972972972973,0.07913669064748201,0.5454545454545454,0.0,0.0,0.0,1.375,2.2,2.2,0.0,0.0,0.0,0.012775735294117647,0.0015625,0.0007352941176470588,0.003952205882352941,0.0203125,0.0203125,0.0203125,0.001011029411764706,0.00045955882352941176,0.0005514705882352941,0.6071428571428571,1.037037037037037,8.077292307692307,0.004481587844499657,0.39285714285714285,60.347641379310346,0.0,Industrials
