date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1987-03-31,FCX,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.11290322580645161,0.11290322580645161,0.11290322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0625,0.0,0.0,0.0,200.54435483870967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.061083743842364535,0.006896551724137931,,,,,,,,,0.0,0.0,0.0,,0.0,,,Basic Materials
1987-06-30,FCX,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.16972477064220184,0.16972477064220184,0.16972477064220184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.02364864864865,1.025985111217412,1.025985111217412,0.0,114.0711009174312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.10738916256157635,0.018226600985221674,,,,,,,,,0.0,0.0,0.0,,0.0,,,Basic Materials
1987-09-30,FCX,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.19730941704035873,0.19730941704035873,0.19730941704035873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.29261363636365,7.34721590909091,7.34721590909091,0.0,111.51345291479821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.10985221674876847,0.02167487684729064,,,,,,,,,0.0,0.0,0.0,,0.0,,,Basic Materials
1987-12-31,FCX,1987,Q4,USD,1.0,-0.4649350649350649,-0.4649350649350649,-0.4649350649350649,0.0,0.3181818181818182,0.3181818181818182,0.3181818181818182,3.989637305699482,0.0,0.0,0.7312440645773979,0.3894790085988872,2.578034682080925,1.6502890173410405,0.24329692154915591,1.0809248554913296,50.75,0.28530440414507774,0.28530440414507774,51.27319587628865,64.5909090909091,0.0,0.0,0.20232675771370764,0.41237113402061853,0.291970802919708,0.291970802919708,2.038144329896907,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.1896551724137931,0.0603448275862069,0.09852216748768473,0.09211822660098522,0.23891625615763548,0.23891625615763548,0.23891625615763548,,,,0.0,0.0,51.27319587628865,0.008042625917362019,0.0,-138.99720670391062,,Basic Materials
1988-03-31,FCX,1988,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.2513586956521739,0.2513586956521739,0.2513586956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.20945945945947,-2.75695945945946,-2.75695945945946,0.0,67.57472826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1812807881773399,0.04556650246305419,,,,,,,,,0.0,0.0,0.0,,0.0,,,Basic Materials
1988-06-30,FCX,1988,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.24041811846689895,0.24041811846689895,0.24041811846689895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.09963768115942,-3.5418478260869564,-3.5418478260869564,0.0,86.64634146341463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1413793103448276,0.03399014778325123,,,,,,,,,0.0,0.0,0.0,,0.0,,,Basic Materials
1988-09-30,FCX,1988,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.25396825396825395,0.25396825396825395,0.25396825396825395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.75911458333333,1.6554961622807018,1.6554961622807018,0.0,65.78703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.18620689655172415,0.04729064039408867,,,,,,,,,0.0,0.0,0.0,,0.0,,,Basic Materials
1988-12-31,FCX,1988,Q4,USD,1.0,-0.0514018691588785,-0.0514018691588785,-0.0514018691588785,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.798816568047337,0.0,0.0,0.8514588859416445,0.44108553761593955,2.2068403908794787,1.6074918566775245,0.28325612177365983,1.0456026058631922,29.050817757009344,0.2191552918511231,0.2191552918511231,35.525,38.73442367601246,0.0,0.0,0.13740982480247338,0.2857142857142857,0.2222222222222222,0.2222222222222222,2.079285714285714,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.316256157635468,0.10541871921182266,0.09852216748768473,0.158128078817734,0.3448275862068966,0.3448275862068966,0.3448275862068966,,,,0.0,0.0,35.525,0.008042625917362019,0.0,-749.8939393939394,,Basic Materials
1989-03-31,FCX,1989,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.29523809523809524,0.29523809523809524,0.29523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.83333337449597,-1.283333334627016,-1.283333334627016,0.0,48.222222270833335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.25403225780843525,0.07499999992439516,,,,,,,,,0.0,0.0,0.0,,0.0,,,Basic Materials
1989-06-30,FCX,1989,Q2,USD,0.6418848167539267,0.5287958115183246,0.5916230366492147,0.5287958115183246,0.4900523560209424,0.2554973821989529,0.2554973821989529,0.2554973821989529,2.5880758807588076,2.124223602484472,0.868020304568528,0.532329988851728,0.3161204899040053,3.0077720207253886,1.9870466321243523,0.21823402727925342,0.9870466321243523,40.8333332914959,0.0,0.0,28.671462800359713,41.73123904973822,0.0,0.0,0.19860973187686196,0.4316546762589928,0.3015075376884422,0.3015075376884422,2.1733812949640288,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.29354508226797654,0.07500000007684426,0.18442622969715802,0.11711065585769534,0.5004098365782887,0.5004098365782887,0.4272540987984161,,,,0.5213675213675214,0.9267326732673268,28.671462800359713,0.015055202424257797,0.47863247863247865,70.92448370353982,,Basic Materials
