date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-08-31,FDX,1986,Q1,USD,2247317647.77,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014061207605144956,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1985-11-30,FDX,1986,Q2,USD,2660155557.08,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013119533520178436,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-02-28,FDX,1986,Q3,USD,3617261532.9599996,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0072706935233623395,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-05-31,FDX,1986,Q4,USD,3121263641.1000004,3570963641.1000004,4.937726273644912,0.0,0.0,-2.137149824106769,-0.2691363935603567,1.4200046307015513,0.0,4.89492722672527,-3.5794233633089174,0.0,0.0,181400000.0,1733200000.0,0.01708838516956598,0.0,0.01708838516956598,0.03563249977099936,,-0.9058823529411765,0.012462901078837034,,0.0,0.0,,0.0,0,,0.0,,,,43.18307522123894,0.0,0.0,43.18307522123894,43.18307522123894,,,1091700000.0,-571400000.0,Industrials
1986-08-31,FDX,1987,Q1,USD,3112400005.02,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007968127477188022,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-11-30,FDX,1987,Q2,USD,3530921250.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.04670169293636895,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-02-28,FDX,1987,Q3,USD,3079422215.36,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011658031114061803,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-05-31,FDX,1987,Q4,USD,3460935490.74,4244535490.74,4.880459343152811,0.0,0.0,-2.1836276832698838,-0.40312789381623626,1.00754417311892,0.0,4.587306211542086,-5.10896563871503,0.0,0.0,3800000.0,1865200000.0,0.015483096619323865,0.0,0.015483096619323865,0.0358698674575957,,-0.9739452850987073,0.01118194780097602,,0.0,0.0,,0.0,0,,0.0,,,,41.321145222490514,0.0,0.0,41.321145222490514,41.321145222490514,,,1078900000.0,-913100000.0,Industrials
1987-08-31,FDX,1988,Q1,USD,3399712000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.015413070283600495,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-11-30,FDX,1988,Q2,USD,2304761910.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01909090904752066,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
