date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,FOXA,25.5,26.0,25.26,25.82,3669739,0.32,1.25,25.645
2020-07-31,FOXA,25.84,25.84,25.17,25.77,3924938,-0.07,-0.2709,25.655
2020-08-03,FOXA,25.77,26.42,25.43,26.36,3826146,0.59,2.29,25.995
2020-08-04,FOXA,26.31,27.2,26.18,26.67,5462522,0.36,1.37,26.59
2020-08-05,FOXA,25.36,25.71,24.22,24.73,7628214,-0.635,-2.48,25.005
2020-08-06,FOXA,24.9,25.32,24.64,24.99,5962300,0.09,0.36145,24.9625
2020-08-07,FOXA,24.87,25.1,24.27,24.67,7072617,-0.2,-0.80418,24.7275
2020-08-10,FOXA,24.61,24.86,24.18,24.4,9867539,-0.21,-0.85331,24.5125
2020-08-11,FOXA,24.78,25.5,24.59,24.66,7979000,-0.12,-0.48426,24.8825
2020-08-12,FOXA,24.95,25.14,24.6,24.92,4732661,-0.03,-0.12024,24.9025
2020-08-13,FOXA,24.84,25.61,24.73,25.57,6538900,0.73,2.94,25.1875
2020-08-14,FOXA,25.59,26.05,25.21,25.74,3036100,0.15,0.58617,25.6475
2020-08-17,FOXA,25.89,25.93,25.18,25.56,3101228,-0.33,-1.27,25.64
2020-08-18,FOXA,25.57,25.8,25.45,25.64,2673601,0.065,0.27376,25.615
2020-08-19,FOXA,25.6,26.15,25.59,25.85,3437623,0.25,0.97656,25.7975
2020-08-20,FOXA,25.71,26.02,25.51,25.89,4719000,0.18,0.70012,25.7825
2020-08-21,FOXA,25.82,26.05,25.57,26.0,3016600,0.18,0.69713,25.86
2020-08-24,FOXA,26.08,27.14,26.0,26.98,3620843,0.9,3.45,26.55
2020-08-25,FOXA,26.95,27.23,26.41,26.9,4075310,-0.05,-0.18553,26.8725
2020-08-26,FOXA,26.79,27.3,26.62,27.15,4463617,0.36,1.34,26.965
2020-08-27,FOXA,27.4,27.82,27.29,27.57,3601200,0.17,0.62044,27.52
2020-08-28,FOXA,27.6,27.83,27.41,27.82,3859700,0.215,0.7971,27.665
2020-08-31,FOXA,28.0,28.41,27.65,27.86,5925342,-0.14,-0.5,27.98
2020-09-01,FOXA,26.8,27.58,26.8,27.44,4016500,0.64,2.39,27.155
2020-09-02,FOXA,27.48,28.1,27.47,27.88,3517400,0.4,1.46,27.7325
2020-09-03,FOXA,28.07,28.62,27.21,27.35,6258212,-0.72,-2.57,27.8125
2020-09-04,FOXA,27.88,27.97,27.22,27.66,4928746,-0.22,-0.7891,27.6825
2020-09-08,FOXA,27.53,28.29,27.45,27.69,4941618,0.16,0.58118,27.74
