date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,GD,1985,Q3,USD,2945123999.9999995,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03415815429163594,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1985-12-31,GD,1985,Q4,USD,2907886800.0,3335186800.0,1.4736597737716508,0.0,0.0,-0.6373861560218629,-0.08166112448878186,1.1662382176520993,0.0,0.0,-4.850895072669267,0.0,0.0,310400000.0,1734300000.0,0.0,0.0,0.0,0.0,,-2.027432291061258,0.0,,0.0,0.0,,0.0,0,,0.05638362446887435,,,,63.193266171792146,0.0,0.0,63.193266171792146,63.193266171792146,,,1085000000.0,-934700000.0,Industrials
1986-03-31,GD,1986,Q1,USD,3610288160.0000005,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.019416732652165914,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-06-30,GD,1986,Q2,USD,3246881920.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03187673668157295,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-09-30,GD,1986,Q3,USD,3050140480.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03278537518376859,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-12-31,GD,1986,Q4,USD,2896265680.0,3133865680.0,1.4296832481751824,0.0,0.0,-0.5179258412110795,-0.03926753487142196,1.1819115676641359,0.0,,-4.21772278501743,0.0,0.0,407300000.0,1771600000.0,-0.07384953322350357,0.0,-0.07384953322350357,-0.2658968680797216,,-2.615431164901664,-0.11608051095643959,,0.0,0.0,,0.0,0,,0.0,,,,79.96122262773723,0.0,0.0,79.96122262773723,79.96122262773723,,,1264400000.0,-641800000.0,Industrials
1987-03-31,GD,1987,Q1,USD,3083875680.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.034177772043002715,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-06-30,GD,1987,Q2,USD,2864089440.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.043678803550213155,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-09-30,GD,1987,Q3,USD,2964471840.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03761209619046339,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-12-31,GD,1987,Q4,USD,2042586000.0,2292386000.0,0.9540874849128064,0.0,0.0,-0.3634784676856726,-0.03960804211327456,1.4403931063951003,0.0,5.524211747250286,-3.719290399522958,0.0,0.0,927600000.0,2423900000.0,0.018939544496999087,0.0,0.018939544496999087,0.05952529668956902,,-2.1558024269355665,0.04665654224595684,,0.0,0.0,,0.0,0,,0.0,,,,90.94019228368086,0.0,0.0,90.94019228368086,90.94019228368086,,,1601000000.0,-396900000.0,Industrials
1988-03-31,GD,1988,Q1,USD,2223702000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.047533347543870536,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-06-30,GD,1988,Q2,USD,2223702000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.029995026311978853,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-09-30,GD,1988,Q3,USD,2124955599.9999998,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0453656537576597,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-12-31,GD,1988,Q4,USD,2114466080.0,2510366080.0,0.9879441479732389,0.0,0.0,-0.38693045207231924,-0.061021285778140845,1.7772889475485163,0.0,6.545567159624912,-6.445570174386529,0.0,0.0,1590100000.0,3290100000.0,0.018012127948219218,0.0,0.018012127948219218,0.05733610822060354,,-1.5931391808270308,0.05211717560397091,,0.0,0.0,,0.0,0,,0.0,,,,19.5974025974026,0.0,0.0,19.5974025974026,19.5974025974026,,,1922000000.0,-560300000.0,Industrials
1989-03-31,GD,1989,Q1,USD,2261211360.0,,,0.0,0.0,,,0.0,0.0,,,0.6696269982238011,0.04769367614045491,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0333449589604043,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1989-06-30,GD,1989,Q2,USD,2429440002.08,3668740002.08,1.4502668308811322,0.0,0.0,18.063712467159036,6.10192023633678,1.8429523273273274,0.0,4.853041790618156,-11.411782952558404,0.6814469078179697,0.7275042444821732,1796500000.0,3543200000.0,0.009047670689575038,0.0,0.009047670689575038,0.02925705124993738,0.016962017863533116,0.02724644385335955,0.024038461517880663,,0.0,0.0,,0.0,0,,0.0,,,,15.002964778432226,34.57475547275268,19.924080111783883,34.92704489021611,0.3522894174634317,,,1996100000.0,-530900000.0,Industrials
1989-09-30,GD,1989,Q3,USD,2418065219.92,3744065219.92,1.4873337384975966,152.19777316747968,-50.18854182198392,15.407675802139918,5.45679012345679,1.805506685432794,0.3215686274509804,5.667281477444864,-11.27608822350213,0.648854961832061,0.7865243495663776,1831400000.0,3592300000.0,0.011537765444015444,0.02291155589181588,0.011537765444015444,0.03705856706874001,0.019933875510549866,0.03440598604480353,0.03163686379084968,-0.030851111618266477,4.032520325203252,1.0655209452201932,0.039407301473801296,0.0,0,0.0,0.0,523100000.0,821900000.0,466050000.0,22.32749374329639,35.308488216133355,19.693427859743245,42.02092160303964,6.712433386906284,-1400600000.0,56263358.778625965,2064300000.0,-461100000.0,Industrials
1989-12-31,GD,1989,Q4,USD,1856035715.16,2831135715.16,1.074434806512334,8.756992623445715,15.32829298949648,12.909875582124942,4.4464204286365705,1.9204408721182076,3.904589371980676,6.014835169536289,-5.229123648174701,0.6272727272727273,1.0810810810810811,1912400000.0,3759000000.0,0.012643923892129616,0.018529478716139313,0.012710108220124338,0.03895370718855853,0.016814858723572412,0.027309937596457088,0.044611210508339924,0.09951317126679207,0.4287039901020724,1.4259259259259258,0.05259962049335863,0.0,0,0.0,0.00520721986378768,1926200000.0,915750000.0,486050000.0,110.25085388994307,31.214674750796423,15.886342616380638,126.1371965063237,94.92252175552728,-790400000.0,-45810000.0,2091500000.0,-432900000.0,Industrials
1990-03-31,GD,1990,Q1,USD,1547074668.23,2561974668.23,1.0284924400762745,18.565033827753624,55.09622942430108,11.833601238937645,4.687759815242495,1.862266245410298,1.1156022635408245,7.580378444619884,-11.736484426297004,1.3504366812227073,0.7128404669260701,2019600000.0,3875100000.0,0.01784992784992785,0.01906726217856454,0.017916370957229553,0.05506343200534164,0.017764678980891038,0.028009067526919222,0.0799573559959614,0.03005672638490061,0.6630434782608695,1.0397727272727273,0.0367322360497792,0.0,0,0.0,0.0037085137085137087,1850000000.0,1016350000.0,504300000.0,17.057005218787637,44.062769939533545,21.305787503599195,38.36279272238683,-5.699977217146717,-968400000.0,-23443449.781659395,2220800000.0,-321700000.0,Industrials
1990-06-30,GD,1990,Q2,USD,1333333332.0,2173333332.0,0.8281257933241883,6.845144352755906,9.603770799823243,-8.914410713699754,-3.4454470877768664,1.6160927509436869,-1.3229166666666667,,-12.174675012174674,0.6580751302440362,1.090936284774155,1599500000.0,3457200000.0,-0.03541599031962931,-0.048779420133366405,-0.03550768593451791,-0.12045169385194479,-0.05177681659737374,-0.07996842407425127,-0.18000000018,0.169725000169725,0.287244094488189,1.0077348066298342,0.03475080018289895,0.0,0,0.0,0.002582415960806304,467100000.0,1067750000.0,499950000.0,15.847050754458161,37.51850190625701,17.04193765418255,32.888988408640714,-4.629513497616294,-613700000.0,199405483.9594187,1975000000.0,-588400000.0,Industrials
