date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2021-03-31,GEHC,2021,Q1,USD,27282600240.0,28289600240.0,6.509341978831109,54.403077384615386,60.837849978494624,32.66697487297922,1.1628175519630486,0.0,0.8896492728828058,30.769024704429164,2.214598295928409,0.8047091412742382,1.0197740112994351,1007000000.0,1007000000.0,0.0,0.0,0.0,0.03880058768532122,0.0,0.0,0.021295624129996783,0.017043829983560247,0.10576923076923077,0.34810126582278483,0.012655315232397607,0,0.044983893235158764,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-542000000.0,,0.0,1007000000.0,Healthcare
2021-06-30,GEHC,2021,Q2,USD,27282600240.0,,,,,,,0.0,0.8896492728828058,,,0.8047091412742382,1.0197740112994351,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021295624129996783,0.017043829983560247,0.10576923076923077,0.34810126582278483,0.012655315232397607,0,0.044983893235158764,0.0,0.0,,,,,,,,,,,,,Healthcare
2021-09-30,GEHC,2021,Q3,USD,27282600240.0,,,,,,,0.0,1.1245136186770428,,,0.7444608567208272,1.0367534456355283,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01847331249831046,0.018986460067707975,0.10380622837370242,0.3870967741935484,0.013937282229965157,0,0.04645760743321719,0.0,0.0,,,,,,,,,,,,,Healthcare
2021-12-31,GEHC,2021,Q4,USD,27282600240.0,27165600240.0,5.91972112442798,-2469.6000218181816,-323.40000285714285,29.689180590163936,-0.12786885245901639,1.0353498003253956,-0.019097222222222224,31.971912844313895,-11.571660956902985,0.7470198675496689,0.9921156373193167,239000000.0,17213000000.0,0.021438345750342102,0.0,0.0487509724263117,0.03386370459321525,0.02821582187495683,0.037192408042154804,0.020672516367156946,-0.003078885416385077,-6.636363636363637,0.474025974025974,0.015907605142732623,0,0.049030289823490954,0.0,0.5602478333586741,,,,74.34953148834168,83.82838283828383,64.22442244224422,138.5739539305859,54.74557109230207,33000000.0,,1937000000.0,-2632000000.0,Healthcare
2022-03-31,GEHC,2022,Q1,USD,27235568340.0,27789568340.0,6.398703278839512,59.37941952991453,75.51513135869565,41.47696767164179,0.826865671641791,0.0,1.164179104477612,26.79000644921674,1.220462873586577,0.7298311444652908,0.9888682745825603,554000000.0,554000000.0,0.0,0.03869545385434089,0.0,0.023023200757575756,0.0,0.0,0.014282793556714154,0.013511743004809276,0.21367521367521367,0.6289308176100629,0.023025558369790467,0,0.05480082892010131,0.004374856090260189,0.0,1895500000.0,1270000000.0,973000000.0,0.0,0.0,0.0,0.0,0.0,-186000000.0,150525328.3302064,0.0,554000000.0,Healthcare
2022-06-30,GEHC,2022,Q2,USD,27240000000.0,27090000000.0,6.041480820695807,-1425.7894736842106,-347.3076923076923,34.29113924050633,-0.189873417721519,1.1068280292843269,-0.03909465020576132,30.0279960435483,-10.963656387665198,0.758998435054773,0.9667170953101362,715000000.0,17396000000.0,0.01832678355501814,0.047687424425634825,0.04060616208975218,0.028477482238271387,0.02426634438781142,0.031915431692883516,0.017804698972099853,-0.0028634361233480176,-3.1052631578947367,0.37579617834394907,0.013157894736842105,0,0.057314897413024084,0.0044603033006244425,0.5486698911729141,1714000000.0,1351000000.0,1118500000.0,68.80463871543265,90.46875,74.89955357142857,143.7041922868612,53.2354422868612,72000000.0,439732394.3661971,2754000000.0,-1782000000.0,Healthcare
2022-09-30,GEHC,2022,Q3,USD,27240000000.0,26785000000.0,5.853365384615385,43.062700964630224,48.877737226277375,34.92177314211212,-0.5932203389830508,1.0969103240391862,1.2591093117408907,29.968238926723576,-10.698788546255507,0.7845659163987139,1.0247116968698518,643000000.0,17088000000.0,0.018720988222656998,0.02303401800841408,0.04170227311570672,0.028945963580283528,0.024711910732511735,0.031134211609715932,0.01791483113069016,0.02011747430249633,0.1189710610932476,0.4625,0.016171328671328672,0,0.056818181818181816,0.004152097902097902,0.5510799094640734,3536500000.0,2694500000.0,2218500000.0,71.68924825174825,86.27541919372102,70.63860149839458,142.32784975014283,56.05243055642181,1003000000.0,640086816.7202573,2513000000.0,-1911000000.0,Healthcare
2022-12-31,GEHC,2022,Q4,USD,26500207994.82,33304207994.82,6.744473064969624,31.96181189522073,34.51213263711917,35.50555223328358,7.253731343283582,1.1567236823807536,1.837742504409171,23.79190758063875,-27.889449212793625,0.7715877437325905,0.922879177377892,1127000000.0,17774000000.0,0.020116925088056938,0.02313173898444204,0.04195062850219597,0.05920701079405793,0.02392192445669386,0.030469825044230393,0.02090549629302119,0.03641480852484738,0.07389635316698656,0.49044585987261147,0.015593357634669907,0,0.05488051842851357,0.0018226002430133657,0.520461890409964,3819000000.0,2815500000.0,2177500000.0,72.7764277035237,88.1437125748503,64.52095808383234,137.29738578735603,49.15367321250574,-5839000000.0,210381615.59888577,-4971000000.0,-9859000000.0,Healthcare
2023-03-31,GEHC,2023,Q1,USD,37241620000.0,45156620000.0,9.59350329296792,96.48850427350428,138.94344615384617,53.8219547079857,9.433849821215732,1.1661000485672657,1.2219321148825066,16.48238047356673,-42.767070484581495,0.6813186813186813,0.8005865102639296,1368000000.0,18113000000.0,0.01139810644360695,0.018578835416112736,0.020418244689609746,0.05560538116591928,0.016066501992094057,0.02290889717634523,0.00998882433148719,0.008726795450896068,0.3055555555555556,0.910828025477707,0.03038028468238793,0,0.05736137667304015,0.005098789037603569,0.4417685449030242,4045000000.0,2960500000.0,2205500000.0,78.33652007648183,95.1455965909091,72.10227272727273,150.43879280375455,55.29319621284546,-7590000000.0,251399267.39926744,-7722000000.0,-16337000000.0,Healthcare
2023-06-30,GEHC,2023,Q2,USD,36964200000.0,45263200000.0,9.39655387170438,-675.5701492537313,-330.3883211678832,53.37641509433962,9.786556603773585,1.2188365650969528,-0.15473441108545036,17.962150763231495,-41.34505494505495,0.7333333333333333,0.8236994219653179,1659000000.0,18368000000.0,0.01293677075918418,0.017552503541294576,0.02327523804220725,0.05885666009574768,0.01750555892460077,0.023048928427011728,0.011308238782389447,-0.0037062887875295557,-1.044776119402985,0.44871794871794873,0.014531866306829977,0,0.06186423084907619,0.005812746522731991,0.4441830955402185,4118500000.0,2906000000.0,2260000000.0,77.35104837035499,88.6861313868613,70.8237747653806,148.1748231357356,59.4886917488743,-8436000000.0,320677192.9824562,-7029000000.0,-15748000000.0,Healthcare
2023-09-30,GEHC,2023,Q3,USD,30958200000.000004,38800200000.0,8.04649523019494,59.69261538461539,68.07052631578948,41.85566343042071,8.459546925566343,1.2515532055518837,1.6839378238341969,17.04789314103778,-40.98406593406593,0.589622641509434,0.8217054263565892,1903000000.0,18504000000.0,0.011580507689457106,0.019074706691604965,0.020677106307895897,0.05258729490954985,0.01508494011678696,0.02486198976508039,0.012113107351202588,0.018411923173827935,0.12307692307692308,0.5228758169934641,0.01659062629614268,0,0.06677727084197428,0.0060141020323517215,0.4399357667840158,4143500000.0,2804500000.0,2196000000.0,77.40149315636666,86.47731208867337,66.33875995843437,143.74025311480102,57.26294102612765,-7272000000.0,298754716.98113203,-7104000000.0,-15772000000.0,Healthcare
2023-12-31,GEHC,2023,Q4,USD,35180600000.0,42549600000.0,8.17318478678448,40.523428571428575,44.50794979079498,42.93602421796165,7.435923309788093,1.0477675091860594,2.5240384615384617,17.67536934037536,-40.51373626373626,0.6617405582922824,0.822972972972973,429000000.0,17118000000.0,0.012417575645529056,0.02125362452958233,0.02206405693950178,0.05649796719472872,0.019140549116807074,0.029352873514250415,0.011455177000960758,0.027174067525852316,0.08952380952380952,0.6527777777777778,0.018056089127929314,0,0.06050710718401844,0.006338839800230503,0.43720342638811854,4231000000.0,2860500000.0,2044000000.0,74.59661928543987,86.96065573770493,57.83606557377049,132.43268485921035,45.47202912150543,-6413000000.0,2029484400.6568146,-6879000000.0,-15734000000.0,Healthcare
