date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,GL,1985,Q3,USD,1214360526.0600002,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.034750800190218756,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1985-12-31,GL,1985,Q4,USD,1404260526.02,1568060526.02,4.228857945037756,0.0,0.0,33.22162131398305,3.4703389830508473,0.0,0.0,2.026583446229889,-0.3277725119173823,0.0,0.0,0.0,0.0,0.012620320855614974,0.0,0.012620320855614974,0.04887140194657279,0.0,0.012620320855614974,0.03361199658141481,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,3576200000.0,-163800000.0,Financial Services
1986-03-31,GL,1986,Q1,USD,2153839284.5,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021960784326106483,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1986-06-30,GL,1986,Q2,USD,2409750000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.022408963585434177,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1986-09-30,GL,1986,Q3,USD,1744875001.5,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02962962960415821,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1986-12-31,GL,1986,Q4,USD,1684183697.1000001,1835483697.1000001,4.499837453052219,0.0,0.0,52.5926560773639,4.335243553008596,0.0,0.0,1.6756154090246744,-0.2991532342152132,0.0,0.0,0.0,0.0,0.008463889023621284,0.0,0.008463889023621284,0.038158757926962605,0.0,0.008463889023621284,0.02072220510155418,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,3972100000.0,-151300000.0,Financial Services
1987-03-31,GL,1987,Q1,USD,1805605432.97,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.026971562618691537,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1987-06-30,GL,1987,Q2,USD,1626693750.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.029384756657483933,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1987-09-30,GL,1987,Q3,USD,1578475862.8799999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.032879818577210375,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1987-12-31,GL,1987,Q4,USD,1260364655.82,1560464655.82,3.894346533117045,0.0,0.0,29.951336963915544,5.760076775431862,0.0,0.0,2.582506538967838,-0.7452708195699743,0.0,0.0,0.0,0.0,0.012284259171932472,0.0,0.012284259171932472,0.0564769647696477,0.0,0.012284259171932472,0.04133724296331007,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,3941100000.0,-300100000.0,Financial Services
1988-03-31,GL,1988,Q1,USD,1471965516.6000001,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.034647550791680005,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1988-06-30,GL,1988,Q2,USD,1629180000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.026455026455026454,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1988-09-30,GL,1988,Q3,USD,1519328573.16,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.030803080272927576,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1988-12-31,GL,1988,Q4,USD,1466678573.1,1964178573.1,4.7306805710500965,0.0,0.0,50.106596252551014,12.691326530612244,0.0,0.0,2.2446196281112574,-1.3228869880460927,0.0,0.0,0.0,0.0,0.008853554973348993,0.0,0.008853554973348993,0.0485208565416512,0.0,0.008853554973348993,0.026727055756426664,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,3930100000.0,-497500000.0,Financial Services
1989-03-31,GL,1989,Q1,USD,1580458064.3799999,2078758064.3799999,5.160769772542205,15.772064221396054,15.941396199233127,0.0,0.0,0.0,2.554263565891473,2.5731400968610814,-9.801447029267997,0.2677737415672029,16.903508771929825,-1100000.0,137600000.0,0.011420982735723771,0.01971919155786085,0.011604893846707449,0.06450806350793849,0.5527455065926504,0.019526666519072814,0.03264876250939454,0.08250772541133813,0.010622154779969651,0.0,0.003475670307845084,0.0,0,0.0,0.01584772023019035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-367900000.0,9609185.262065386,775600000.0,-3670800000.0,Financial Services
1989-06-30,GL,1989,Q2,USD,1820215907.73,2319615907.73,5.615143809561849,34.111998643088235,36.70278335015823,0.0,0.0,0.0,1.2710280373831775,2.729631109225186,-10.139464182035736,0.25476190476190474,18.42105263157895,-1100000.0,138100000.0,0.011704990482858205,0.020486978335735585,0.01188862469722895,0.0649587178241865,0.5790086206896552,0.020373774509803922,0.029392117590445684,0.034721155733012474,0.07058823529411765,0.0,0.011619462599854757,0.0,0,0.0,0.015446211739996062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-436200000.0,5069142.857142858,801500000.0,-3698600000.0,Financial Services
1989-09-30,GL,1989,Q3,USD,2172586767.52,2770886767.52,6.715673212603005,24.85100239928251,27.43452245069307,0.0,0.0,0.0,2.0309653916211294,2.8237177418858757,-10.720631437236989,0.2594517958412098,17.633333333333333,-101100000.0,44100000.0,0.011441790671501813,0.01983157040847912,0.01161020175104682,0.06443661971830986,0.5611919157201852,0.019778160992953098,0.02526941654103332,0.04648836194252032,0.09417040358744394,0.0,0.025448376151236064,0.0,0,0.0,0.014505439539827435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-497300000.0,100025519.84877127,833700000.0,-3894900000.0,Financial Services
1989-12-31,GL,1989,Q4,USD,2659420591.6800003,3283620591.6800003,8.105703756307085,27.272596276411964,28.137280134361614,0.0,0.0,0.0,2.3469785575048734,2.79681775495335,-10.941380273219018,0.25727181544633904,15.106060606060606,-126000000.0,21000000.0,0.010423863128378104,0.018581011564261903,0.010571216617210683,0.05735047512576859,0.5348044132397191,0.01883054593985903,0.01928991606686513,0.04388173888895049,0.030730897009966777,0.0,0.00913354727227845,0.0,0,0.0,0.013939123013776568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-507500000.0,32692076.228686057,877700000.0,-3975100000.0,Financial Services
