date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,GL,78.88,80.11,78.47,79.74,608000,0.86,1.09,79.3
2020-07-31,GL,79.63,80.41,78.93,79.6,678300,-0.03,-0.03767424,79.6425
2020-08-03,GL,79.84,80.19,78.94,79.55,503800,-0.29,-0.36323,79.63
2020-08-04,GL,79.22,79.58,78.56,78.68,339737,-0.54,-0.68165,79.01
2020-08-05,GL,79.45,80.71,79.3,80.3,617705,0.85,1.07,79.94
2020-08-06,GL,80.05,81.1,79.92,80.33,580700,0.28,0.34978,80.35
2020-08-07,GL,79.91,82.8,79.81,82.68,431400,2.77,3.47,81.3
2020-08-10,GL,82.82,85.08,82.76,84.79,431200,1.97,2.38,83.8625
2020-08-11,GL,86.57,87.51,85.41,85.76,487936,-0.81,-0.93566,86.3125
2020-08-12,GL,87.28,87.28,84.62,85.54,330149,-1.74,-1.99,86.18
2020-08-13,GL,84.5,85.54,83.84,84.98,267258,0.48,0.56805,84.715
2020-08-14,GL,84.37,85.94,84.37,85.48,250543,1.11,1.32,85.04
2020-08-17,GL,85.17,85.41,83.28,83.41,358800,-1.76,-2.07,84.3175
2020-08-18,GL,83.37,83.86,82.26,82.66,473233,-0.71,-0.85163,83.0375
2020-08-19,GL,82.68,83.56,82.43,82.61,271020,-0.07,-0.08466376,82.82
2020-08-20,GL,81.35,82.12,81.01,81.16,283900,-0.19,-0.23356,81.41
2020-08-21,GL,81.04,81.66,80.29,80.73,317900,-0.31,-0.38253,80.93
2020-08-24,GL,81.39,84.5,80.98,84.49,398246,3.1,3.81,82.84
2020-08-25,GL,85.39,85.63,83.91,84.31,349000,-1.08,-1.26,84.81
2020-08-26,GL,84.09,84.59,83.24,84.16,346000,0.07,0.08324414,84.02
2020-08-27,GL,83.91,85.92,83.91,85.09,406400,1.18,1.41,84.7075
2020-08-28,GL,85.77,85.77,84.45,84.82,430649,-0.95,-1.11,85.2025
2020-08-31,GL,84.66,84.66,82.44,82.48,499900,-2.18,-2.58,83.56
2020-09-01,GL,81.86,83.6,81.45,82.03,494143,0.17,0.20767,82.235
2020-09-02,GL,82.0,83.57,81.61,82.98,599442,0.98,1.2,82.54
2020-09-03,GL,83.88,85.99,81.47,81.85,625400,-2.03,-2.42,83.2975
2020-09-04,GL,84.0,84.72,82.79,83.89,640900,-0.11,-0.13095,83.85
2020-09-08,GL,83.4,83.4,80.63,81.52,527825,-1.88,-2.25,82.2375
2020-09-09,GL,82.36,82.58,81.27,81.6,440600,-0.76,-0.92278,81.9525
2020-09-10,GL,82.16,82.7,80.07,80.07,480318,-2.09,-2.54,81.25
2020-09-11,GL,80.08,81.9,79.55,81.47,368700,1.39,1.74,80.75
2020-09-14,GL,82.24,83.83,82.24,83.23,346002,0.99,1.2,82.885
2020-09-15,GL,83.15,84.01,82.38,83.39,576500,0.24,0.28863,83.2325
2020-09-16,GL,83.25,85.18,83.25,83.81,591022,0.56,0.67267,83.8725
