date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,GPC,1985,Q3,USD,1696117160.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.018277039305468736,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1985-12-31,GPC,1985,Q4,USD,2026123900.0000002,1879723900.0000002,3.4376808705193858,0.0,0.0,-1.255996191367099,0.0978217292529734,4.048151750972763,0.0,4.1037793612108215,1.7100940865462373,0.0,0.0,626700000.0,768000000.0,0.03379416282642089,0.0,0.03379416282642089,0.04525507405375754,,-1.941367233104164,0.01628725666776844,,0.0,0.0,,0.0,0.0,,0.0,,,,35.53584491587417,0.0,0.0,35.53584491587417,35.53584491587417,,,729200000.0,585000000.0,Consumer Cyclical
1986-03-31,GPC,1986,Q1,USD,2348226580.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011498038660306792,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-06-30,GPC,1986,Q2,USD,2436727770.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.012763017840109402,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-09-30,GPC,1986,Q3,USD,2206251000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014413591200638549,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-12-31,GPC,1986,Q4,USD,2281600620.0,2137800620.0,3.673196941580756,0.0,0.0,-1.3603567419662743,0.09150493159401846,4.082100238663484,0.0,4.12642389084372,1.7484554330108835,0.0,0.0,645700000.0,799100000.0,0.03143845773603559,0.0,0.03143845773603559,0.04192485168094924,,-1.9594763092269327,0.01393758387039709,,0.0,0.0,,0.0,0.0,,0.0,,,,34.360824742268036,0.0,0.0,34.360824742268036,34.360824742268036,,,758500000.0,602200000.0,Consumer Cyclical
1987-03-31,GPC,1987,Q1,USD,2685076160.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011917725268545083,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-06-30,GPC,1987,Q2,USD,2947197000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.012588232140572891,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-09-30,GPC,1987,Q3,USD,3185282880.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01211823296523039,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-12-31,GPC,1987,Q4,USD,2710286250.0,2617186250.0,4.058911678039702,0.0,0.0,-1.5400648758385314,0.054784041426385786,3.881744604316547,0.0,4.7999256727572694,1.6329733621310296,0.0,0.0,640900000.0,801700000.0,0.03954031943903389,0.0,0.03954031943903389,0.05339997369459424,,-2.112630532073595,0.014979967521880761,,0.0,0.0,,0.0,0.0,,0.0,,,,35.29931761786601,0.0,0.0,35.29931761786601,35.29931761786601,,,760300000.0,596800000.0,Consumer Cyclical
