date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,GPC,90.4,92.28,87.89,90.48,1009804,0.08,0.08849558,90.2625
2020-07-31,GPC,90.69,91.7,89.37,90.15,1644819,-0.54,-0.59543,90.4775
2020-08-03,GPC,90.73,91.43,90.14,90.86,791800,0.13,0.14328,90.79
2020-08-04,GPC,90.57,91.23,90.21,91.19,687245,0.62,0.68455,90.8
2020-08-05,GPC,92.3,92.75,91.69,92.43,658808,0.13,0.14085,92.2925
2020-08-06,GPC,92.13,92.8,91.37,92.23,500600,0.1,0.10854,92.1325
2020-08-07,GPC,91.84,92.79,91.54,92.75,559000,0.91,0.99085,92.23
2020-08-10,GPC,92.77,94.25,92.34,94.07,577500,1.3,1.4,93.3575
2020-08-11,GPC,95.07,96.57,94.76,95.27,758616,0.2,0.21037,95.4175
2020-08-12,GPC,95.96,97.05,95.36,96.87,786500,0.91,0.94831,96.31
2020-08-13,GPC,95.95,96.15,93.84,94.36,487300,-1.59,-1.66,95.075
2020-08-14,GPC,94.27,95.28,94.2,94.56,406038,0.29,0.30763,94.5775
2020-08-17,GPC,95.0,95.27,93.96,94.22,463100,-0.78,-0.82105,94.6125
2020-08-18,GPC,94.12,94.67,93.48,93.56,504300,-0.56,-0.59499,93.9575
2020-08-19,GPC,93.64,93.94,92.78,93.04,459200,-0.6,-0.64075,93.35
2020-08-20,GPC,92.13,92.95,91.95,92.22,520325,0.09,0.09768805,92.3125
2020-08-21,GPC,92.21,93.52,91.72,93.28,850438,1.07,1.16,92.6825
2020-08-24,GPC,93.94,95.53,93.65,94.99,845500,1.05,1.12,94.5275
2020-08-25,GPC,95.45,95.61,93.84,94.5,567000,-0.95,-0.99529,94.85
2020-08-26,GPC,94.2,95.15,93.8,94.37,550907,0.17,0.18047,94.38
2020-08-27,GPC,94.37,94.84,93.21,93.65,410700,-0.72,-0.76295,94.0175
2020-08-28,GPC,93.94,94.89,93.4,94.88,482700,0.94,1.0,94.2775
2020-08-31,GPC,95.92,96.0,93.69,94.44,1200900,-1.48,-1.54,95.0125
2020-09-01,GPC,93.92,96.01,93.14,95.66,728900,1.74,1.85,94.6825
2020-09-02,GPC,95.23,99.45,95.23,99.29,1083730,4.06,4.26,97.3
2020-09-03,GPC,98.75,98.75,96.19,96.84,1133700,-1.91,-1.93,97.6325
2020-09-04,GPC,97.57,98.11,95.82,97.47,608200,-0.1,-0.10249,97.2425
2020-09-08,GPC,96.57,98.75,95.79,97.56,1351100,0.99,1.03,97.1675
2020-09-09,GPC,98.06,100.37,97.61,99.67,767345,1.61,1.64,98.9275
2020-09-10,GPC,99.98,100.39,98.07,98.77,1150212,-1.21,-1.21,99.3025
2020-09-11,GPC,99.11,100.79,98.88,100.56,855000,1.45,1.46,99.835
2020-09-14,GPC,104.27,104.27,102.36,103.02,1043622,-1.25,-1.2,103.48
2020-09-15,GPC,103.43,104.39,101.52,101.84,1056700,-1.59,-1.54,102.795
2020-09-16,GPC,102.34,102.42,100.46,101.36,733836,-0.98,-0.95759,101.645
2020-09-17,GPC,100.54,102.48,99.99,101.83,682400,1.29,1.28,101.21
2020-09-18,GPC,101.08,103.21,100.95,102.06,1252569,0.98,0.96953,101.825
2020-09-21,GPC,100.6,100.93,96.03,96.55,1117200,-4.05,-4.03,98.5275
2020-09-22,GPC,96.86,98.11,95.96,96.43,927261,-0.43,-0.44394,96.84
2020-09-23,GPC,97.02,97.02,94.47,94.67,1658130,-2.35,-2.42,95.795
2020-09-24,GPC,94.65,95.8,93.53,93.94,738600,-0.71,-0.75013,94.48
2020-09-25,GPC,93.34,94.94,92.82,94.1,754800,0.76,0.81423,93.8
2020-09-28,GPC,95.32,96.33,94.83,95.74,715000,0.42,0.44062,95.555
2020-09-29,GPC,95.94,95.94,94.61,94.74,534700,-1.2,-1.25,95.3075
2020-09-30,GPC,95.15,96.0,94.28,95.17,778100,0.02,0.02101944,95.15
2020-10-01,GPC,95.69,96.61,94.22,94.97,673400,-0.72,-0.75243,95.3725
2020-10-02,GPC,93.5,96.19,93.5,95.85,576900,2.35,2.51,94.76
2020-10-05,GPC,96.93,97.83,96.3,97.4,717900,0.47,0.48489,97.115
2020-10-06,GPC,97.53,99.12,96.2,96.52,522713,-1.01,-1.04,97.3425
2020-10-07,GPC,97.58,99.43,97.58,98.75,506300,1.17,1.2,98.335
2020-10-08,GPC,99.15,101.2,98.8,101.15,657300,2.0,2.02,100.075
2020-10-09,GPC,101.58,102.32,100.3,100.39,665200,-1.19,-1.17,101.1475
2020-10-12,GPC,100.28,100.99,99.8,100.23,596500,-0.05,-0.04986039,100.325
2020-10-13,GPC,99.72,100.42,99.28,99.9,485081,0.18,0.18051,99.83
2020-10-14,GPC,100.01,101.58,100.01,100.93,709012,0.92,0.91991,100.6325
2020-10-15,GPC,100.08,101.9,99.72,101.28,910614,1.2,1.2,100.745
2020-10-16,GPC,101.34,101.77,100.67,100.92,733800,-0.42,-0.41445,101.175
2020-10-19,GPC,101.08,102.54,100.49,100.61,999924,-0.47,-0.46498,101.18
2020-10-20,GPC,101.33,103.59,101.22,101.85,886637,0.52,0.51317,101.9975
2020-10-21,GPC,102.4,103.33,101.64,102.02,952328,-0.38,-0.37109,102.3475
2020-10-22,GPC,100.49,101.95,95.74,96.78,1413235,-3.71,-3.69,98.74
2020-10-23,GPC,97.63,99.18,97.1,98.78,914400,1.15,1.18,98.1725
2020-10-26,GPC,97.74,97.81,94.33,95.43,941700,-2.31,-2.36,96.3275
