date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,GPN,174.5,176.82,172.1,176.08,2051439,1.58,0.90544,174.875
2020-07-31,GPN,177.17,178.2,173.59,178.02,2800011,0.85,0.47977,176.745
2020-08-03,GPN,181.5,185.47,176.67,179.04,4521983,-2.46,-1.36,180.67
2020-08-04,GPN,179.0,180.42,172.62,174.23,2578726,-4.77,-2.66,176.5675
2020-08-05,GPN,175.4,176.99,173.59,174.34,2070124,-1.06,-0.60433,175.08
2020-08-06,GPN,174.32,177.5,173.51,176.5,1324585,2.18,1.25,175.4575
2020-08-07,GPN,174.97,175.32,172.14,174.83,1541259,-0.14,-0.08001372,174.315
2020-08-10,GPN,174.24,175.3,168.93,170.26,2160380,-3.98,-2.28,172.1825
2020-08-11,GPN,171.63,173.87,168.82,170.93,1805700,-0.7,-0.40785,171.3125
2020-08-12,GPN,172.26,174.46,172.26,173.0,1707846,0.74,0.42958,172.995
2020-08-13,GPN,172.4,174.79,172.14,173.4,1107100,1.0,0.58005,173.1825
2020-08-14,GPN,172.75,174.28,171.98,172.5,1195002,-0.25,-0.14472,172.8775
2020-08-17,GPN,173.02,174.6,171.98,172.27,1557900,-0.75,-0.43348,172.9675
2020-08-18,GPN,172.2,172.41,167.34,170.1,2387714,-2.1,-1.22,170.5125
2020-08-19,GPN,172.11,172.11,168.51,169.45,1622600,-2.66,-1.55,170.545
2020-08-20,GPN,167.87,170.1,167.02,167.76,1794354,-0.11,-0.0655269,168.1875
2020-08-21,GPN,167.96,168.65,166.35,168.18,1977940,0.22,0.13098,167.785
2020-08-24,GPN,169.33,172.4,167.52,172.32,2269141,2.99,1.77,170.3925
2020-08-25,GPN,172.84,174.57,172.31,173.89,2668642,1.05,0.6075,173.4025
2020-08-26,GPN,174.17,175.88,172.0,175.18,1874827,1.01,0.57989,174.3075
2020-08-27,GPN,175.75,176.24,173.78,174.63,1740100,-1.12,-0.63727,175.1
2020-08-28,GPN,174.66,177.86,173.6,177.27,1441000,2.61,1.49,175.8475
2020-08-31,GPN,178.21,178.21,176.33,176.62,1962900,-1.59,-0.89221,177.3425
2020-09-01,GPN,176.84,180.39,175.79,179.67,2126131,2.83,1.6,178.1725
2020-09-02,GPN,180.04,185.26,178.42,184.85,2165720,4.81,2.67,182.1425
2020-09-03,GPN,184.01,184.34,175.75,177.24,3336300,-6.77,-3.68,180.335
2020-09-04,GPN,176.89,178.89,169.58,172.56,2673439,-4.33,-2.45,174.48
2020-09-08,GPN,168.93,171.98,166.24,167.09,1990855,-1.84,-1.09,168.56
2020-09-09,GPN,169.13,170.94,165.99,169.15,1049178,0.02,0.01182522,168.8025
2020-09-10,GPN,169.95,173.96,167.81,168.19,1297800,-1.76,-1.04,169.9775
