date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,GWW,1985,Q3,USD,889179320.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02103062855757824,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1985-12-31,GWW,1985,Q4,USD,1108872520.0,1050272520.0,4.226448772635815,0.0,0.0,-1.4748947057997472,0.08229181294761971,3.4062268346923648,0.0,3.6765696575984115,0.9221382364133255,0.0,0.0,324600000.0,542800000.0,0.02159375870716077,0.0,0.02159375870716077,0.029911231184870705,,-1.221650368845428,0.013978162250787853,,0.0,0.0,,0.0,0,,0.0,,,,42.845070422535215,0.0,0.0,42.845070422535215,42.845070422535215,,,518200000.0,259900000.0,Industrials
1986-03-31,GWW,1986,Q1,USD,1200716880.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.022902984423771904,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-06-30,GWW,1986,Q2,USD,1296473400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014500875991748076,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-09-30,GWW,1986,Q3,USD,1176934400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01571880301909775,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-12-31,GWW,1986,Q4,USD,1257597440.0,1120197440.0,3.792137576167908,0.0,0.0,-1.5242855354469995,0.1869642128180705,3.265695067264574,0.0,4.569483475575223,1.480257466172959,0.0,0.0,404200000.0,632000000.0,0.02597560975609756,0.0,0.02597560975609756,0.03659165091908607,,-1.145417705735661,0.01693705737823385,,0.0,0.0,,0.0,0,,0.0,,,,39.790115098171974,0.0,0.0,39.790115098171974,39.790115098171974,,,582100000.0,344700000.0,Industrials
1987-03-31,GWW,1987,Q1,USD,1264532720.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01502531306584143,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-06-30,GWW,1987,Q2,USD,1546513920.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.015648097108624796,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-09-30,GWW,1987,Q3,USD,1957992960.0000002,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011899940641257463,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-12-31,GWW,1987,Q4,USD,1628357120.0,1612657120.0,4.775413443885105,0.0,0.0,-1.952842237829983,0.019011867280213125,2.8581383773021405,0.0,5.05396024115363,0.823875938221709,0.0,0.0,373300000.0,623800000.0,0.028842687177021993,0.0,0.028842687177021993,0.04129387474191328,,-1.3083016476552598,0.014738781625495027,,0.0,0.0,,0.0,0,,0.0,,,,40.05626295528576,0.0,0.0,40.05626295528576,40.05626295528576,,,581200000.0,323300000.0,Industrials
1988-03-31,GWW,1988,Q1,USD,1664287120.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0144806744643917,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-06-30,GWW,1988,Q2,USD,1687106560.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01724846591788488,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-09-30,GWW,1988,Q3,USD,1553121000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.019187172152073148,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-12-31,GWW,1988,Q4,USD,1464027360.0,1416827360.0,3.6838984919396776,0.0,0.0,-1.4559935875038537,0.04850477854280136,2.616554054054054,0.0,5.599088361074892,0.7411121742970705,0.0,0.0,382800000.0,691400000.0,0.027665028839991456,0.0,0.027665028839991456,0.04075531077891424,,-1.3913354303688876,0.017690926213291533,,0.0,0.0,,0.0,0,,0.0,,,,42.776911076443064,0.0,0.0,42.776911076443064,42.776911076443064,,,635500000.0,318900000.0,Industrials
1989-03-31,GWW,1989,Q1,USD,1492575480.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.018491527142064534,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1989-06-30,GWW,1989,Q2,USD,1683814290.16,1678514290.16,3.755905773461625,0.0,0.0,29.04003962214533,-0.09169550173010381,2.885430177258971,0.0,6.283575934464424,0.8545544531892951,0.6072144288577155,1.0204498977505112,436100000.0,733200000.0,0.0311600164541341,0.0,0.0311600164541341,0.04467708640519021,0.03925540133678251,0.06598299824585076,0.017994858564314015,,0.0,0.0,,0.0,0,,0.0,,,,45.17117923472812,43.223891023402025,120.86971707998603,166.04089631471416,122.81700529131214,,,678200000.0,373200000.0,Industrials
1989-09-30,GWW,1989,Q3,USD,1543466671.49,1511266671.49,3.4472323710994526,33.14181297127193,41.979629763611115,27.628275529981718,-0.5886654478976234,3.1526538280883045,1.5833333333333333,6.337904922878183,1.1118749965253907,0.6075949367088608,1.0171673819742488,458300000.0,756900000.0,0.029238578680203044,0.04761418207826709,0.029238578680203044,0.040833687792428755,0.03594962423899557,0.060354876311358635,0.018659295034986177,0.023324118793732723,0.21052631578947367,1.1851851851851851,0.021897810218978103,0.0,0,0.0,0.0,217750000.0,124150000.0,376850000.0,43.35766423357664,35.39936102236422,117.95527156549521,161.31293579907185,125.91357477670763,68200000.0,4613924.050632909,705300000.0,391500000.0,Industrials
1989-12-31,GWW,1989,Q4,USD,1753600005.48,1701600005.48,3.793134207489969,48.75644714842407,70.0246915835391,28.079208011221123,-0.858085808580858,2.8868501529051986,1.060790273556231,6.899649203133148,1.1186718715041504,0.6103896103896104,1.013157894736842,493600000.0,795900000.0,0.030886218550506946,0.051897375865769195,0.030886218550506946,0.04496378297116305,0.039114342655658,0.06620209059233449,0.01876140505085966,0.013857207985893304,0.3037249283667622,1.4324324324324325,0.023629068212215783,0.0,0,0.0,0.0,215750000.0,123000000.0,390800000.0,44.197503343736074,43.67552045944006,133.2232591529074,177.42076249664348,133.7452420372034,76300000.0,-6027272.727272727,731700000.0,421700000.0,Industrials
1990-03-31,GWW,1990,Q1,USD,1973762962.2800002,1933962962.2800002,4.322670903620922,1933.9629622800003,-879.0740737636364,35.03556091086957,-0.7210144927536232,3.0965656565656565,0.03460207612456748,6.572445037192655,1.1977162633902132,0.608421052631579,1.0237068965517242,518900000.0,815600000.0,0.02672461623820973,0.04323115624708842,0.02672461623820973,0.037971357246091186,0.032807364139576134,0.055642163328936324,0.01464208243456755,-0.0011146221922508168,3.2,0.36363636363636365,0.007152436298614216,0.0,0,0.0,0.0,214550000.0,138600000.0,429000000.0,42.00268216361198,45.351312987934705,142.31369765791342,184.3163798215254,138.9650668335907,37600000.0,8530736.84210527,761100000.0,446100000.0,Industrials
1990-06-30,GWW,1990,Q2,USD,2047758617.5,2014358617.5,4.063664751866048,179.85344799107142,387.3766572115385,33.022272418032784,-0.5475409836065573,3.5507448789571696,0.35,6.822017177439766,1.4759735225482453,0.6079545454545454,1.0114942528735633,547900000.0,845000000.0,0.02977460346906595,0.04834452419541561,0.02977460346906595,0.04065864471184294,0.03567359180837148,0.06046565504459632,0.015675675700092616,0.0025393617956536324,0.5357142857142857,0.6818181818181818,0.012104095218882388,0.0,0,0.0,0.0,223350000.0,130300000.0,434050000.0,43.1934637885818,33.40845070422535,119.01408450704226,162.20754829562406,128.79909759139872,38600000.0,5535227.272727266,789500000.0,474100000.0,Industrials
