date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,HD,263.34,267.35,261.55,266.31,2347800,2.97,1.13,264.6375
2020-07-31,HD,265.0,267.17,260.61,265.49,3640600,0.49,0.18491,264.5675
2020-08-03,HD,266.73,268.58,265.67,266.18,2364447,-0.55,-0.2062,266.79
2020-08-04,HD,266.63,267.89,263.84,267.87,2224000,1.24,0.46506,266.5575
2020-08-05,HD,268.39,268.39,265.89,267.48,1963860,-0.91,-0.33906,267.5375
2020-08-06,HD,266.6,270.44,266.53,269.37,2203428,2.77,1.04,268.235
2020-08-07,HD,270.61,274.92,269.81,271.64,2846300,1.03,0.38062,271.745
2020-08-10,HD,272.42,275.0,271.8,274.73,2393112,2.31,0.84796,273.4875
2020-08-11,HD,277.69,279.37,274.41,274.92,3321300,-2.77,-0.99752,276.5975
2020-08-12,HD,279.75,282.97,276.96,281.58,3869967,1.83,0.65416,280.315
2020-08-13,HD,281.16,282.65,279.74,281.66,2202427,0.5,0.17783,281.3025
2020-08-14,HD,281.14,282.0,279.19,280.55,2490422,-0.59,-0.20986,280.72
2020-08-17,HD,284.4,289.22,283.57,288.24,5584428,3.84,1.35,286.3575
2020-08-18,HD,288.9,290.58,283.04,285.0,6934300,-3.9,-1.35,286.88
2020-08-19,HD,287.46,287.97,281.93,282.86,4986800,-4.6,-1.6,285.055
2020-08-20,HD,280.54,281.91,279.44,280.68,3530000,0.145,0.04990376,280.6425
2020-08-21,HD,279.97,283.55,278.42,283.23,5519100,3.26,1.16,281.2925
2020-08-24,HD,284.99,286.85,281.92,286.75,4430900,1.76,0.61757,285.1275
2020-08-25,HD,287.27,287.48,283.89,286.13,2854500,-1.14,-0.39684,286.1925
2020-08-26,HD,287.73,292.12,286.27,291.93,4001938,4.2,1.46,289.5125
2020-08-27,HD,292.22,292.95,286.56,288.63,3430926,-3.59,-1.23,290.09
2020-08-28,HD,288.31,288.83,284.77,286.29,3100102,-2.02,-0.70063,287.05
2020-08-31,HD,285.0,286.69,282.87,285.04,4105437,0.04,0.01403509,284.9
2020-09-01,HD,284.03,286.68,283.5,285.94,3238088,1.91,0.67246,285.0375
2020-09-02,HD,284.85,288.04,283.6,287.2,3464637,2.35,0.825,285.9225
2020-09-03,HD,287.3,287.7,272.17,274.63,5380100,-12.67,-4.41,280.45
2020-09-04,HD,275.55,276.77,264.67,269.66,5253500,-5.89,-2.14,271.6625
2020-09-08,HD,267.11,271.04,262.81,269.26,5241200,2.15,0.80491,267.555
2020-09-09,HD,272.46,279.74,271.75,277.04,4754700,4.58,1.68,275.2475
