date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2010-03-31,HII,2010,Q1,USD,1552086000.0,,,,,,,0.0,-2.8536585365853657,,,0.5324675324675324,0.8850574712643678,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02641606199656462,-0.09599983506068607,-0.27350427350427353,0.64,0.018691588785046728,0.08995327102803738,0.0,0.0,0.0,,,,,,,,,,,,,Industrials
2010-06-30,HII,2010,Q2,USD,1829512000.0,,,,,,,0.0,-8.636363636363637,,,0.36666666666666664,1.5,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.006012532303696286,0.03662178766796829,0.29473684210526313,0.6086956521739131,0.017391304347826087,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Industrials
2010-09-30,HII,2010,Q3,USD,1829512000.0,,,,,,,0.0,4.119047619047619,,,0.6268656716417911,0.8701298701298701,,,0.0,0.0,0.0,0.0,0.0,0.0,0.022956941523204,0.0748833568733083,0.20809248554913296,0.7659574468085106,0.021621621621621623,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Industrials
2010-12-31,HII,2010,Q4,USD,1828227630.0900002,,,,,,,0.0,3.5254237288135593,,,0.6941176470588235,0.8947368421052632,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03227169255564502,0.061808495911659114,0.4567307692307692,2.375,0.054723502304147464,0.11347926267281105,0.0,0.0,0.0,,,,,,,,,,,,,Industrials
2011-03-31,HII,2011,Q1,USD,2025200000.0,3680200000.0,2.185391923990499,-10.110439560439561,-8.618735362997658,43.296470588235294,19.470588235294116,1.6298932384341638,-8.088888888888889,24.063912941864547,-68.85245901639344,0.6428571428571429,0.8235294117647058,708000000.0,4430000000.0,0.007751937984496124,0.0,0.011005135730007337,0.03303964757709251,0.01160145586897179,0.01815851313821833,0.022220027651589966,-0.21084337349397592,-0.17307692307692307,1.4,0.037410926365795724,0.08847980997624703,0.0,0.019596199524940617,0.29560723514211884,,,,47.88598574821852,15.641379310344826,23.089655172413792,70.97564092063232,55.33426161028749,-2082000000.0,,-354000000.0,-2611000000.0,Industrials
2011-06-30,HII,2011,Q2,USD,1683600000.0,3175600000.0,2.031733845169546,17.073118279569893,19.13012048192771,34.89670329670329,16.395604395604394,1.6841216216216217,4.65,23.092180292204446,-67.15163934426229,0.6557377049180327,0.6703296703296703,810000000.0,4506000000.0,0.0067374094660602995,0.015499914835632771,0.00946521533364884,0.028348688873139617,0.012478488320272058,0.01914580265095729,0.023758612497030172,0.09859824186267523,0.10752688172043011,0.43478260869565216,0.012795905310300703,0.10812539987204095,0.0,0.0,0.2881926899107293,897000000.0,253500000.0,380500000.0,51.70825335892514,17.613200306983885,26.868764389869533,78.57701774879467,60.96381744181079,-1326000000.0,-16327868.852459013,-300000000.0,-2532000000.0,Industrials
2011-09-30,HII,2011,Q3,USD,1189737000.0,2519737000.0,1.5817558066541118,10.860935344827586,12.855801020408164,-17.620538461538462,-9.3006993006993,1.7249378624689313,-0.9354838709677419,,-65.57770961145194,1.1272727272727272,1.1578947368421053,875000000.0,4260000000.0,-0.04339457567804025,-0.032612427051150014,-0.05755395683453238,-0.21471861471861473,-0.04720780652012743,-0.04214729370008873,-0.2084494304203366,0.16474229178381442,0.15517241379310345,0.7659574468085106,0.022598870056497175,0.096045197740113,0.0,0.005649717514124294,0.24601924759405075,839500000.0,271000000.0,426000000.0,44.12429378531073,19.42105263157895,31.330827067669173,75.4551208529799,56.03406822140096,-1134000000.0,-268181818.18181816,-251000000.0,-2478000000.0,Industrials
2011-12-31,HII,2011,Q4,USD,1526464000.0,2470464000.0,1.4238985590778097,5.211949367088607,6.238545454545455,14.532141176470589,5.552941176470588,1.653061224489796,6.869565217391305,23.842633602497216,-71.53176229508196,0.7263157894736842,0.7661290322580645,896000000.0,4340000000.0,0.011498083652724546,0.02116763400477979,0.015032679738562092,0.07912844036697247,0.019335156267654967,0.026787643119464247,0.04520250723240116,0.25942308498595446,0.16455696202531644,1.6956521739130435,0.044956772334293946,0.08818443804034583,0.0,0.011527377521613832,0.23512747875354106,746000000.0,333500000.0,421500000.0,36.881844380403464,23.29700272479564,23.29700272479564,60.178847105199104,36.881844380403464,-548000000.0,37063157.89473683,-539000000.0,-2861000000.0,Industrials
2012-03-31,HII,2012,Q1,USD,1971760000.0,3271760000.0,2.0865816326530613,-9.944559270516717,-9.190337078651686,40.897,16.25,1.7220447284345048,-9.969696969696969,16.848975142381946,-70.35714285714286,0.66,0.625,904000000.0,4315000000.0,0.005666208791208791,0.013530655391120507,0.0074694431869624265,0.03594771241830065,0.01147576613779613,0.017497812773403325,0.016736316793118836,-0.18054935691970625,-0.08206686930091185,0.574468085106383,0.01721938775510204,0.09566326530612244,0.0,0.00510204081632653,0.24141483516483517,832500000.0,336500000.0,382000000.0,54.75765306122449,19.708520179372197,25.829596412556054,80.58724947378055,60.878729294408345,-1656000000.0,64800000.0,-488000000.0,-2750000000.0,Industrials
2012-06-30,HII,2012,Q2,USD,1991880000.0,3166880000.0,1.8401394538059268,20.97271523178808,26.172561983471073,29.87622641509434,11.084905660377359,1.7806080525883319,3.02,21.363099069108568,-66.9090909090909,0.6493506493506493,0.7264150943396226,950000000.0,4343000000.0,0.008602890571231933,0.018219319353729804,0.011335298118340512,0.05030181086519115,0.014863132980170337,0.02306855277475517,0.02510191376990582,0.06074663132317208,0.1986754966887417,0.6666666666666666,0.017431725740848343,0.10226612434631029,0.0,0.004648460197559558,0.2410529938059188,916000000.0,303500000.0,370500000.0,45.915165601394534,19.584199584199585,22.266112266112266,68.1812778675068,48.59707828330721,-1054000000.0,37831168.83116883,-407000000.0,-2651000000.0,Industrials
