date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-10-31,HRL,1985,Q4,USD,398648799.77604,395048799.77604,0.9176511028479443,0.0,0.0,-0.398395320467971,0.003630496167809601,2.129151291512915,0.0,0.5261367482430287,-0.07550561801994697,0.0,0.0,153000000.0,417700000.0,0.024781600998395437,0.0,0.024781600998395437,0.04460847240051348,,-2.3309826046074282,0.03486778339182004,,0.0,0.0,,0.0,0,,0.0,,,,22.53658536585366,0.0,0.0,22.53658536585366,22.53658536585366,,,311600000.0,39200000.0,Consumer Defensive
1986-01-31,HRL,1986,Q1,USD,435732133.08854,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.020425392859864056,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-04-30,HRL,1986,Q2,USD,478125000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.010666666666666666,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-07-31,HRL,1986,Q3,USD,588282000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01529878527644905,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-10-31,HRL,1986,Q4,USD,562500000.0,545300000.0,0.9875045273451648,0.0,0.0,-0.40883190883190884,0.012895486579697106,2.575903614457831,0.0,0.5848285005024977,-0.023791666666666666,0.0,0.0,196200000.0,451400000.0,0.02753548828459039,0.0,0.02753548828459039,0.047366872609591056,,-2.8983050847457625,0.028622222222222223,,0.0,0.0,,0.0,0,,0.0,,,,19.183266932270914,0.0,0.0,19.183266932270914,19.183266932270914,,,339900000.0,75900000.0,Consumer Defensive
1987-01-31,HRL,1987,Q1,USD,654000000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006880733944954128,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-04-30,HRL,1987,Q2,USD,657142856.65,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01521739131576087,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-07-31,HRL,1987,Q3,USD,875750000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.012903225806451613,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-10-31,HRL,1987,Q4,USD,728850000.0,764550000.0,1.030529720986656,0.0,0.0,-0.5150912888230142,-0.024051741561678906,1.6788990825688073,0.0,0.7270318960460227,-0.13902654867256636,0.0,0.0,148000000.0,458600000.0,0.028796561604584527,0.0,0.030861354214647627,0.053872956311980705,,-3.0922916666666667,0.027577690882897715,,0.0,0.0,,0.0,0,,0.06690544412607449,,,,18.414880711686212,0.0,0.0,18.414880711686212,18.414880711686212,,,326400000.0,41100000.0,Consumer Defensive
1988-01-31,HRL,1988,Q1,USD,896700000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01360544217687075,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
