date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,HST,10.78,10.89,10.61,10.84,11190337,0.06,0.55659,10.78
2020-07-31,HST,10.76,10.86,10.25,10.78,18973400,0.02,0.18587,10.6625
2020-08-03,HST,10.67,10.67,10.3,10.31,9115273,-0.36,-3.37,10.4875
2020-08-04,HST,10.23,11.47,10.2,10.91,34284700,0.68,6.65,10.7025
2020-08-05,HST,11.06,11.1,10.76,10.89,8643483,-0.17,-1.54,10.9525
2020-08-06,HST,10.79,10.95,10.68,10.76,8427400,-0.03,-0.27804,10.795
2020-08-07,HST,10.67,11.53,10.62,11.5,13942319,0.83,7.78,11.08
2020-08-10,HST,11.6,11.95,11.53,11.88,9891227,0.28,2.41,11.74
2020-08-11,HST,12.24,12.49,11.61,11.67,9951114,-0.57,-4.66,12.0025
2020-08-12,HST,11.79,11.86,11.38,11.57,8261230,-0.22,-1.87,11.65
2020-08-13,HST,11.49,11.71,11.23,11.27,6140800,-0.22,-1.91,11.425
2020-08-14,HST,11.2,11.42,11.17,11.25,6201600,0.05,0.44643,11.26
2020-08-17,HST,11.27,11.3,10.67,10.89,10192037,-0.38,-3.37,11.0325
2020-08-18,HST,10.87,10.94,10.66,10.78,8166646,-0.09,-0.82797,10.8125
2020-08-19,HST,10.73,10.95,10.66,10.79,4909339,0.06,0.55918,10.7825
2020-08-20,HST,10.69,10.89,10.62,10.74,6061764,0.05,0.46773,10.735
2020-08-21,HST,10.77,10.84,10.54,10.6,6159648,-0.17,-1.58,10.6875
2020-08-24,HST,10.65,11.1,10.52,11.09,5954700,0.44,4.13,10.84
2020-08-25,HST,11.21,11.4,11.1,11.3,6870148,0.09,0.80285,11.2525
2020-08-26,HST,11.23,11.27,11.0,11.01,5328142,-0.22,-1.96,11.1275
2020-08-27,HST,11.04,11.42,11.0,11.33,6193000,0.29,2.63,11.1975
2020-08-28,HST,11.46,11.72,11.29,11.69,5823700,0.23,2.01,11.54
2020-08-31,HST,11.64,11.66,11.23,11.23,8119358,-0.41,-3.52,11.44
2020-09-01,HST,11.08,11.38,10.97,11.28,7919352,0.2,1.81,11.1775
2020-09-02,HST,11.26,11.42,11.15,11.42,5374305,0.16,1.42,11.3125
2020-09-03,HST,11.51,11.83,11.45,11.57,7166259,0.06,0.52129,11.59
2020-09-04,HST,11.75,12.0,11.68,11.94,7350739,0.19,1.62,11.8425
2020-09-08,HST,11.79,11.87,11.46,11.64,8658600,-0.15,-1.27,11.69
2020-09-09,HST,11.7,11.72,11.47,11.65,11963755,-0.05,-0.42735,11.635
2020-09-10,HST,11.68,11.87,11.38,11.4,10075102,-0.28,-2.4,11.5825
2020-09-11,HST,11.42,11.43,10.89,11.13,7320783,-0.29,-2.54,11.2175
2020-09-14,HST,11.26,11.93,11.21,11.92,10404530,0.66,5.86,11.58
2020-09-15,HST,11.88,12.25,11.84,12.02,14812094,0.14,1.18,11.9975
2020-09-16,HST,12.12,12.19,11.78,12.06,11202344,-0.06,-0.49505,12.0375
2020-09-17,HST,11.86,11.91,11.55,11.65,8687226,-0.21,-1.77,11.7425
2020-09-18,HST,11.59,11.6,11.13,11.15,13428000,-0.44,-3.8,11.3675
2020-09-21,HST,10.92,10.92,10.37,10.49,12074207,-0.43,-3.94,10.675
2020-09-22,HST,10.53,10.62,10.34,10.4,9711826,-0.13,-1.23,10.4725
2020-09-23,HST,10.37,10.69,10.2,10.24,9956898,-0.13,-1.25,10.375
2020-09-24,HST,10.18,10.37,10.04,10.19,8598070,0.01,0.09823183,10.195
2020-09-25,HST,10.11,10.7,10.11,10.64,7459442,0.53,5.24,10.39
2020-09-28,HST,10.89,11.13,10.84,10.93,6413400,0.04,0.36731,10.9475
