date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,HSY,145.04,145.68,144.15,145.29,774019,0.25,0.17237,145.04
2020-07-31,HSY,144.97,145.47,143.41,145.41,1757100,0.44,0.30351,144.815
2020-08-03,HSY,145.33,146.31,144.37,144.94,1060143,-0.39,-0.26835,145.2375
2020-08-04,HSY,144.32,145.7,144.14,144.3,974031,-0.02,-0.01385809,144.615
2020-08-05,HSY,144.52,144.9,141.96,142.27,709500,-2.25,-1.56,143.4125
2020-08-06,HSY,141.82,143.75,141.73,143.67,618000,1.85,1.3,142.7425
2020-08-07,HSY,143.01,144.32,142.76,143.92,671900,0.91,0.63632,143.5025
2020-08-10,HSY,144.28,144.75,143.53,143.92,561601,-0.36,-0.24951,144.12
2020-08-11,HSY,144.4,144.5,141.89,142.51,998564,-1.89,-1.31,143.325
2020-08-12,HSY,142.97,146.73,142.5,146.02,878700,3.05,2.13,144.555
2020-08-13,HSY,146.5,146.99,145.43,146.57,734900,0.07,0.04778157,146.3725
2020-08-14,HSY,146.47,146.93,145.71,146.07,514000,-0.4,-0.27309,146.295
2020-08-17,HSY,146.33,148.89,145.82,148.33,863900,2.0,1.37,147.3425
2020-08-18,HSY,148.19,150.28,147.33,149.59,1046325,1.4,0.94473,148.8475
2020-08-19,HSY,148.45,148.98,147.63,147.76,1220100,-0.69,-0.4648,148.205
2020-08-20,HSY,146.54,148.89,146.34,147.74,1241242,1.2,0.81889,147.3775
2020-08-21,HSY,148.03,148.28,146.74,147.43,707486,-0.6,-0.40532,147.62
2020-08-24,HSY,148.0,149.2,147.15,148.84,436801,0.84,0.56757,148.2975
2020-08-25,HSY,149.7,149.7,147.97,148.67,503726,-1.03,-0.68804,149.01
2020-08-26,HSY,148.38,149.48,147.29,149.15,1042531,0.77,0.51894,148.575
2020-08-27,HSY,149.91,150.67,148.57,148.7,646534,-1.21,-0.80715,149.4625
2020-08-28,HSY,148.91,149.27,147.19,149.2,407000,0.29,0.19475,148.6425
2020-08-31,HSY,148.82,149.6,148.46,148.64,682400,-0.18,-0.12095,148.88
2020-09-01,HSY,148.64,148.75,146.62,148.42,644640,-0.22,-0.14801,148.1075
2020-09-02,HSY,148.01,150.61,148.01,149.42,773493,1.41,0.95264,149.0125
2020-09-03,HSY,149.74,152.18,146.99,148.36,861882,-1.38,-0.9216,149.3175
2020-09-04,HSY,148.88,149.57,146.26,148.8,779532,-0.08,-0.05373455,148.3775
2020-09-08,HSY,148.57,149.1,145.18,145.52,924300,-3.05,-2.05,147.0925
2020-09-09,HSY,146.78,149.06,146.63,147.72,624218,0.94,0.64041,147.5475
2020-09-10,HSY,147.39,147.87,144.93,145.15,694948,-2.24,-1.52,146.335
2020-09-11,HSY,145.45,146.9,145.1,145.5,484404,0.05,0.03437607,145.7375
2020-09-14,HSY,146.15,146.8,144.48,144.5,585604,-1.65,-1.13,145.4825
2020-09-15,HSY,144.68,146.37,143.75,144.34,882319,-0.34,-0.235,144.785
2020-09-16,HSY,145.25,146.08,143.16,143.19,629200,-2.06,-1.42,144.42
2020-09-17,HSY,142.55,142.55,139.56,140.5,857724,-2.05,-1.44,141.29
2020-09-18,HSY,140.87,141.52,138.12,138.92,1567924,-1.95,-1.38,139.8575
2020-09-21,HSY,138.0,138.67,135.01,137.0,1291215,-1.0,-0.72464,137.17
2020-09-22,HSY,136.98,138.31,136.54,137.43,623009,0.45,0.32852,137.315
2020-09-23,HSY,138.06,138.49,134.0,134.34,1084134,-3.72,-2.69,136.2225
2020-09-24,HSY,134.53,137.91,134.52,137.66,963900,3.13,2.33,136.155
2020-09-25,HSY,137.16,139.56,136.5,139.52,684939,2.36,1.72,138.185
2020-09-28,HSY,140.31,141.92,139.65,140.41,589910,0.1,0.07127076,140.5725
2020-09-29,HSY,142.3,142.78,140.3,141.19,735300,-1.11,-0.78004,141.6425
2020-09-30,HSY,141.43,144.4,141.22,143.34,798517,1.91,1.35,142.5975
2020-10-01,HSY,143.49,144.52,141.71,143.93,759700,0.44,0.30664,143.4125
2020-10-02,HSY,143.5,144.05,142.09,142.92,535700,-0.58,-0.40418,143.14
2020-10-05,HSY,143.18,144.14,142.62,143.77,432715,0.59,0.41207,143.4275
2020-10-06,HSY,143.42,143.76,141.09,141.56,680343,-1.86,-1.3,142.4575
2020-10-07,HSY,142.02,144.08,141.75,143.41,615300,1.39,0.97874,142.815
2020-10-08,HSY,143.16,144.16,142.68,143.51,474316,0.35,0.24448,143.3775
2020-10-09,HSY,144.25,146.41,143.85,145.63,612700,1.38,0.95667,145.035
2020-10-12,HSY,147.02,148.97,146.53,148.08,601634,1.06,0.72099,147.65
2020-10-13,HSY,147.42,149.36,147.13,148.85,574300,1.43,0.97002,148.19
2020-10-14,HSY,148.51,150.23,148.26,149.47,577000,0.96,0.64642,149.1175
2020-10-15,HSY,148.57,150.84,148.09,150.42,579600,1.85,1.25,149.48
2020-10-16,HSY,150.93,151.65,149.81,149.92,912213,-1.01,-0.66918,150.5775
2020-10-19,HSY,150.6,150.75,147.26,147.5,614242,-3.1,-2.06,149.0275
2020-10-20,HSY,148.64,149.21,146.73,146.88,434715,-1.76,-1.18,147.865
2020-10-21,HSY,146.39,147.32,145.08,145.58,688600,-0.81,-0.55332,146.0925
2020-10-22,HSY,145.92,146.08,144.46,145.44,442573,-0.48,-0.32895,145.475
2020-10-23,HSY,146.4,146.67,145.82,146.34,383700,-0.06,-0.04098361,146.3075
2020-10-26,HSY,145.89,145.89,143.18,144.2,610600,-1.69,-1.16,144.79
2020-10-27,HSY,144.62,144.87,142.36,142.5,825133,-2.12,-1.47,143.5875
2020-10-28,HSY,140.62,141.84,138.12,138.2,858300,-2.42,-1.72,139.695
2020-10-29,HSY,137.91,139.46,136.48,137.83,710810,-0.08,-0.05800885,137.92
2020-10-30,HSY,137.13,138.21,135.83,137.46,783900,0.33,0.24065,137.1575
2020-11-02,HSY,139.66,142.0,139.18,140.78,1266214,1.12,0.80195,140.405
2020-11-03,HSY,141.82,144.56,141.76,142.72,569800,0.9,0.63461,142.715
2020-11-04,HSY,143.8,146.59,143.12,143.94,985035,0.14,0.09735744,144.3625
2020-11-05,HSY,145.58,146.28,143.85,144.6,923600,-0.98,-0.67317,145.0775
2020-11-06,HSY,148.9,150.73,146.81,149.4,1354941,0.5,0.3358,148.96
2020-11-09,HSY,152.57,154.49,149.61,149.72,1168401,-2.85,-1.87,151.5975
2020-11-10,HSY,150.18,153.56,149.46,152.26,987701,2.08,1.39,151.365
2020-11-11,HSY,152.93,153.83,151.55,153.66,697200,0.73,0.47734,152.9925
2020-11-12,HSY,153.99,154.18,151.9,153.56,584500,-0.43,-0.27924,153.4075
2020-11-13,HSY,154.07,154.32,152.24,154.0,580400,-0.07,-0.04543389,153.6575
2020-11-16,HSY,154.95,155.49,153.79,155.12,784111,0.17,0.10971,154.8375
2020-11-17,HSY,154.52,154.97,152.6,152.93,701006,-1.59,-1.03,153.755
2020-11-18,HSY,153.51,154.39,150.56,150.64,678200,-2.87,-1.87,152.275
2020-11-19,HSY,149.08,149.91,147.64,149.4,659417,0.32,0.21465,149.0075
2020-11-20,HSY,149.09,149.36,147.03,147.78,600645,-1.31,-0.87866,148.315
2020-11-23,HSY,147.48,148.35,146.31,146.83,657000,-0.65,-0.44074,147.2425
2020-11-24,HSY,147.6,148.87,147.12,148.21,2261500,0.61,0.41328,147.95
2020-11-25,HSY,148.42,149.33,147.81,148.15,1565300,-0.27,-0.18192,148.4275
2020-11-27,HSY,148.44,148.45,146.4,148.05,1252908,-0.39,-0.26273,147.835
2020-11-30,HSY,147.4,148.03,146.23,147.89,1507420,0.49,0.33243,147.3875
2020-12-01,HSY,149.0,150.13,148.09,150.04,1325500,1.04,0.69799,149.315
2020-12-02,HSY,150.04,151.79,148.45,149.25,1094700,-0.79,-0.52653,149.8825
2020-12-03,HSY,149.0,150.19,148.88,149.83,719400,0.83,0.55705,149.475
2020-12-04,HSY,150.0,151.1,149.88,150.87,1002547,0.87,0.58,150.4625
2020-12-07,HSY,151.8,152.71,148.68,149.72,879900,-2.08,-1.37,150.7275
2020-12-08,HSY,149.1,151.7,148.84,150.63,814300,1.53,1.03,150.0675
2020-12-09,HSY,150.45,152.7,149.1,152.14,1179124,1.69,1.12,151.0975
2020-12-10,HSY,152.33,152.81,149.68,149.7,899800,-2.63,-1.73,151.13
2020-12-11,HSY,148.99,150.2,148.98,149.11,613700,0.12,0.08054232,149.32
2020-12-14,HSY,149.57,151.58,149.04,149.14,579600,-0.43,-0.28749,149.8325
2020-12-15,HSY,149.51,150.82,149.22,150.23,689139,0.72,0.48157,149.945
2020-12-16,HSY,150.16,151.67,149.47,150.28,743555,0.12,0.07991476,150.395
2020-12-17,HSY,151.1,152.79,150.35,151.61,797100,0.51,0.33752,151.4625
2020-12-18,HSY,151.89,152.35,150.13,150.88,1717323,-1.01,-0.66495,151.3125
2020-12-21,HSY,149.01,150.44,146.85,149.66,846100,0.65,0.43621,148.99
2020-12-22,HSY,149.41,149.66,148.2,148.62,560000,-0.79,-0.52875,148.9725
2020-12-23,HSY,149.48,150.29,149.17,149.45,580120,-0.03,-0.02006957,149.5975
