date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,IBM,1985,Q3,USD,72613930560.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02029913528482048,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1985-12-31,IBM,1985,Q4,USD,91147912160.0,89480912160.0,5.216025191489361,0.0,0.0,-4.129062441050252,0.07692307692307693,2.2802414064549987,0.0,17.894724237701563,-1.143866464181663,0.0,0.0,14637000000.0,34317000000.0,0.050936656913781964,0.0,0.050936656913781964,0.08380743982494529,,-0.5259823790684692,0.0294137291405403,,0.0,0.0,,0.0,0.0,,0.0,,,,55.43223549985427,0.0,0.0,55.43223549985427,55.43223549985427,,,31990000000.0,5426000000.0,Technology
1986-03-31,IBM,1986,Q1,USD,89063292960.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011418845701750033,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1986-06-30,IBM,1986,Q2,USD,86134751999.99998,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.015150679251970216,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1986-09-30,IBM,1986,Q3,USD,79092288000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01361700397388934,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1986-12-31,IBM,1986,Q4,USD,69438775800.0,66350775800.0,3.915655107701387,0.0,0.0,-2.5089153671632762,0.11676624064130682,2.1775876952052107,0.0,13.528083217474801,-1.6688382847325485,0.0,0.0,15006000000.0,36274000000.0,0.02404261943473899,0.0,0.02404261943473899,0.04043754000116367,,-0.5867631070976903,0.020017634009037357,,0.0,0.0,,0.0,0.0,,0.0,,,,57.49483623487754,0.0,0.0,57.49483623487754,57.49483623487754,,,34374000000.0,4309000000.0,Technology
1987-03-31,IBM,1987,Q1,USD,86889358200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.009034478056485402,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1987-06-30,IBM,1987,Q2,USD,94039249600.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.012526684389876289,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1987-09-30,IBM,1987,Q3,USD,87252912000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013844810130806866,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1987-12-31,IBM,1987,Q4,USD,65866776639.99999,62757776639.99999,3.4844137826883568,0.0,0.0,-2.204812276559865,0.109225688589095,2.3189055842117066,0.0,17.748834657073385,-1.5696915846525932,0.0,0.0,17643000000.0,40565000000.0,0.032769124481849016,0.0,0.032769124481849016,0.05454355382484384,,-0.5657609667865874,0.031685169769376464,,0.0,0.0,,0.0,0.0,,0.0,,,,69.20270945533285,0.0,0.0,69.20270945533285,69.20270945533285,,,38263000000.0,5595000000.0,Technology
