date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,IFF,126.67,126.91,123.43,124.49,915337,-2.18,-1.72,125.375
2020-07-31,IFF,124.29,126.04,122.41,125.95,1081400,1.66,1.34,124.6725
2020-08-03,IFF,126.22,126.22,124.17,124.54,1060100,-1.68,-1.33,125.2875
2020-08-04,IFF,123.47,126.8,122.15,125.89,810900,2.42,1.96,124.5775
2020-08-05,IFF,126.97,128.8,126.33,126.42,973678,-0.55,-0.43317,127.13
2020-08-06,IFF,125.98,126.5,125.18,125.38,761433,-0.6,-0.47627,125.76
2020-08-07,IFF,125.57,126.96,124.4,126.8,664333,1.23,0.97953,125.9325
2020-08-10,IFF,126.6,130.88,126.6,130.55,1188725,3.95,3.12,128.6575
2020-08-11,IFF,131.6,132.75,125.06,125.29,2052600,-6.31,-4.79,128.675
2020-08-12,IFF,126.93,128.89,126.14,127.0,797339,0.07,0.05514851,127.24
2020-08-13,IFF,125.47,125.71,123.58,123.81,878800,-1.66,-1.32,124.6425
2020-08-14,IFF,123.21,124.24,122.55,123.17,530500,-0.04,-0.0324649,123.2925
2020-08-17,IFF,123.62,124.44,122.57,123.29,434339,-0.33,-0.26695,123.48
2020-08-18,IFF,123.31,124.6,122.2,122.62,612915,-0.69,-0.55957,123.1825
2020-08-19,IFF,123.27,123.27,121.69,121.98,417481,-1.29,-1.05,122.5525
2020-08-20,IFF,120.94,121.23,119.65,120.69,852949,-0.25,-0.20671,120.6275
2020-08-21,IFF,120.3,121.1,118.83,120.55,728900,0.25,0.20781,120.195
2020-08-24,IFF,121.52,122.96,120.9,122.89,397300,1.37,1.13,122.0675
2020-08-25,IFF,124.18,124.76,122.64,122.88,588208,-1.3,-1.05,123.615
2020-08-26,IFF,124.47,126.12,124.1,124.9,794420,0.43,0.34546,124.8975
2020-08-27,IFF,125.12,125.56,122.64,123.58,579500,-1.54,-1.23,124.225
2020-08-28,IFF,123.87,125.09,122.23,124.47,451908,0.6,0.48438,123.915
2020-08-31,IFF,124.17,125.52,123.14,123.79,683776,-0.38,-0.30603,124.155
2020-09-01,IFF,123.4,124.75,121.5,124.74,930506,1.34,1.09,123.5975
2020-09-02,IFF,125.25,126.54,124.36,125.96,1165749,0.71,0.56687,125.5275
2020-09-03,IFF,125.18,126.32,122.43,123.88,1094250,-1.3,-1.04,124.4525
2020-09-04,IFF,124.66,125.87,122.46,123.12,936000,-1.54,-1.24,124.0275
2020-09-08,IFF,121.7,123.41,120.27,121.63,849700,-0.07,-0.05751849,121.7525
2020-09-09,IFF,122.49,125.09,121.94,122.0,686959,-0.49,-0.40003,122.88
2020-09-10,IFF,121.67,122.52,120.31,120.36,900714,-1.31,-1.08,121.215
2020-09-11,IFF,121.32,121.32,119.14,121.03,941219,-0.29,-0.23904,120.7025
2020-09-14,IFF,122.0,123.99,121.68,122.98,722300,0.98,0.80328,122.6625
2020-09-15,IFF,124.14,125.17,123.8,124.24,718910,0.1,0.08055421,124.3375
2020-09-16,IFF,124.38,126.0,124.14,124.24,786328,-0.14,-0.11256,124.69
2020-09-17,IFF,122.49,124.98,121.88,124.18,1216619,1.69,1.38,123.3825
2020-09-18,IFF,123.96,125.05,122.03,122.54,821234,-1.42,-1.15,123.395
2020-09-21,IFF,120.4,120.65,118.75,120.43,867721,0.03,0.02491694,120.0575
2020-09-22,IFF,119.63,121.47,119.2,120.61,696530,0.98,0.81919,120.2275
2020-09-23,IFF,119.0,119.26,115.91,116.12,815789,-2.88,-2.42,117.5725
2020-09-24,IFF,115.34,117.19,113.54,116.55,698207,1.21,1.05,115.655
2020-09-25,IFF,116.24,119.75,115.86,118.97,887446,2.73,2.35,117.705
2020-09-28,IFF,120.8,123.18,120.56,121.4,732406,0.6,0.49669,121.485
2020-09-29,IFF,121.52,123.01,120.41,121.5,669648,-0.02,-0.0164582,121.61
2020-09-30,IFF,122.05,123.89,121.36,122.45,952514,0.4,0.32773,122.4375
