date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,INTC,1985,Q3,USD,2951027834.88,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012199139423388018,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1985-12-31,INTC,1985,Q4,USD,3352155504.6400003,3350755504.6400003,10.536966995723272,0.0,0.0,-3.0263326450867054,0.0012644508670520231,3.338441473752853,0.0,,-0.01001194707511169,0.0,0.0,717200000.0,1565400000.0,-0.006924113574050839,0.0,-0.006924113574050839,-0.010481885332395358,,-0.6000433557337957,-0.004444901192494101,,0.0,0.0,,0.0,0.0,,0.0,,,,86.34905660377358,0.0,0.0,86.34905660377358,86.34905660377358,,,1421500000.0,293500000.0,Technology
1986-03-31,INTC,1986,Q1,USD,3016538563.2,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.00987887254734367,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1986-06-30,INTC,1986,Q2,USD,2668478563.2,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.008581669088822906,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1986-09-30,INTC,1986,Q3,USD,2262390000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.05047759228072967,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1986-12-31,INTC,1986,Q4,USD,2436420000.0,2461920000.0,6.923284589426322,0.0,0.0,-2.35658083660381,-0.024408921221403274,2.7349719476355863,0.0,,-0.019545839797736022,0.0,0.0,649400000.0,1428700000.0,-0.012788461538461538,0.0,-0.012788461538461538,-0.0208594730238394,,-0.6124758163803717,-0.010917657875079008,,0.0,0.0,,0.0,0.0,,0.0,,,,75.52305961754782,0.0,0.0,75.52305961754782,75.52305961754782,,,1275200000.0,218900000.0,Technology
1987-03-31,INTC,1987,Q1,USD,4620283917.12,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.004328738311057465,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1987-06-30,INTC,1987,Q2,USD,4788038744.32,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006578894132251565,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1987-09-30,INTC,1987,Q3,USD,6267955200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00829616650738027,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1987-12-31,INTC,1987,Q4,USD,4325568116.4800005,4307368116.4800005,7.523787103021835,0.0,0.0,-3.956432549352439,0.016717185634242675,1.6227741862311444,0.0,0.27851651702004365,-0.04310975292229274,0.0,0.0,549100000.0,1440300000.0,0.027722162328661634,0.0,0.027722162328661634,0.05511328842620943,,-0.6346254736228505,0.016645212388561606,,0.0,0.0,,0.0,0.0,,0.0,,,,68.99737991266376,0.0,0.0,68.99737991266376,68.99737991266376,,,1306400000.0,140000000.0,Technology
1988-03-31,INTC,1988,Q1,USD,4944759233.28,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01894935538405297,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1988-06-30,INTC,1988,Q2,USD,6086885119.999999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021472394734468065,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1988-09-30,INTC,1988,Q3,USD,4873908357.12,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.029278351077639393,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1988-12-31,INTC,1988,Q4,USD,4209274178.56,3917674178.56,5.38585947011273,0.0,0.0,-2.522649181300708,0.18776561493882807,2.1091006423982868,0.0,0.35333356337226457,0.011341948688724384,0.0,0.0,1035900000.0,2158400000.0,0.024171056709017664,0.0,0.024171056709017664,0.041248016922263354,,-0.5937225216959131,0.02038356171641742,,0.0,0.0,,0.0,0.0,,0.0,,,,62.668408028594996,0.0,0.0,62.668408028594996,62.668408028594996,,,2080100000.0,500300000.0,Technology
1989-03-31,INTC,1989,Q1,USD,4739160556.8,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02046775981472483,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1989-06-30,INTC,1989,Q2,USD,4499531250.0,4333231250.0,5.798516325438245,0.0,0.0,22.97577545068929,-0.8817603393425238,2.3893676417040903,0.0,0.4577034488944882,0.00608761329305136,0.6709459459459459,1.1178247734138973,1144700000.0,2361800000.0,0.026672038678485093,0.0,0.026672038678485093,0.04296097603184217,0.028354051466084662,0.04566934565899762,0.02206896551724138,,0.0,0.0,,0.0,0.0,,0.0,,,,62.950622240064234,33.261424921941526,93.70422934998581,156.65485159005004,123.39342666810852,,,2311400000.0,557000000.0,Technology
1989-09-30,INTC,1989,Q3,USD,4956575000.0,4696075000.0,6.087730101114856,27.366404428904428,58.047898640296665,24.952577045696067,-1.3841657810839532,2.5733981092436973,2.3833333333333333,0.4027465485396225,0.023107488537952116,0.6697674418604651,0.8444619010212098,1198300000.0,2444200000.0,0.0192102454642476,0.034078436621603536,0.0192102454642476,0.029858173675043544,0.02719661733615222,0.042626573801232255,0.01452615969696817,0.016321754437287846,0.5285547785547785,1.4893267651888342,0.11757842883069744,0.0,0.0,0.0,0.0,538650000.0,147600000.0,362350000.0,64.705729841846,39.705882352941174,86.12566844919786,150.83139829104385,111.12551593810268,341400000.0,1861395.3488371968,2411400000.0,623300000.0,Technology
1989-12-31,INTC,1989,Q4,USD,5300100000.0,4779400000.0,5.340708459045703,14.288191330343796,21.04535446939674,20.63644214162349,-2.248272884283247,2.347915762049501,2.726161369193154,0.5405316287119134,0.04983698420784514,0.6715927750410509,1.0894454382826475,1241700000.0,2525800000.0,0.03072108162243365,0.04332213898217515,0.03072108162243365,0.04814030131826742,0.03487632253874964,0.05457563134600364,0.023150506594215203,0.04284824814626139,0.32107623318385653,1.6807511737089202,0.12001340931947703,0.0,0.0,0.0,0.0,561650000.0,165200000.0,352500000.0,57.1940998994301,35.0341256766298,73.52082843021887,130.71492832964896,95.68080265301916,747800000.0,25726108.374384224,2548800000.0,717700000.0,Technology
1990-03-31,INTC,1990,Q1,USD,6231333332.900001,5787733332.900001,6.470355878032421,48.514110082984075,3404.5490193529413,21.5960198988806,-1.655223880597015,2.582080577269994,0.8296244784422809,0.6212236400058154,0.05438803894675855,0.648331830477908,1.0947680157946693,1315500000.0,2651100000.0,0.0352502819042016,0.05018951123442416,0.0352502819042016,0.05247217661010765,0.03892027285395839,0.06237876781920625,0.023076923078527867,0.000272814806908883,0.9857502095557418,1.798165137614679,0.13147009502515372,0.0,0.0,0.0,0.0,577750000.0,166800000.0,365250000.0,59.040804918949135,40.4975922953451,92.31139646869984,151.35220138764896,110.85460909230386,445300000.0,5352028.854824156,2740500000.0,808100000.0,Technology
1990-06-30,INTC,1990,Q2,USD,8364300000.0,7467500000.0,7.711969430961479,24.049919484702095,43.59311150029188,26.489890031926215,-3.1812699538843563,2.6131343869637775,1.818980667838313,0.6130393325053409,0.09810193321616871,0.6510297482837528,1.2060717571297148,1643300000.0,3053500000.0,0.03681656421869945,0.049885840819651445,0.03681656421869945,0.053882575757575754,0.037822043044517216,0.0600917684780806,0.02040816326530612,0.020479896703848498,0.44830917874396137,2.188679245283019,0.14375710007229164,0.0,0.0,0.0,0.0,606800000.0,168200000.0,391200000.0,58.25880408964164,37.423980222496915,88.77626699629172,147.03507108593337,109.61109086343646,1068100000.0,-261866132.72311214,3168000000.0,1193500000.0,Technology
1990-09-30,INTC,1990,Q3,USD,6073800000.0,4972200000.0,4.911299881469775,14.829108261258574,33.59594594594594,16.01352657004831,-3.5478260869565217,2.4423295916707337,1.9505526468877254,0.6357942223657881,0.11193717277486911,0.6513830996589617,1.1350537634408602,1773200000.0,3290100000.0,0.03358930769681693,0.04767177215968506,0.03358930769681693,0.05009471076788576,0.03747657090166257,0.05979476892215107,0.028301886792452827,0.024366953143007672,0.5586042350134208,2.401282051282051,0.18500592651126038,0.0,0.0,0.0,0.0,664400000.0,197200000.0,405400000.0,62.40616357171079,48.77335888835649,88.79252515572591,151.19868872743672,102.42532983908023,1249600000.0,-87753429.3292914,3431500000.0,1316400000.0,Technology
1990-12-31,INTC,1990,Q4,USD,6876000000.0,5879600000.0,5.620495172545645,23.257911392405063,337.9080459770115,20.190934065934066,-3.4217032967032965,2.374181762825392,1.5424039048200122,0.6351320801569845,0.10030977312390925,0.6875,1.1584062196307094,1805400000.0,3463000000.0,0.030485649982329856,0.03922241280731847,0.030485649982329856,0.04563552833078101,0.03259254566814863,0.05065846153846154,0.02383653286794648,0.002530541012216405,0.9311708860759493,2.756440281030445,0.22502628811777076,0.0,0.0,0.0,0.0,705850000.0,217800000.0,413600000.0,61.05821623171781,41.85209860093271,83.02465023317788,144.0828664648957,102.23076786396297,1013800000.0,-40712500.0,3591500000.0,1334400000.0,Technology
1991-03-31,INTC,1991,Q1,USD,9738400000.0,8736500000.0,7.7123057909604515,46.37208067940552,949.6195652173913,23.935616438356163,-2.744931506849315,2.745610203546781,0.9544072948328267,0.6277292990998017,0.10787613981762918,0.6615281501340483,1.1084695393759287,1998200000.0,3734200000.0,0.03608445297504798,0.04963675922852823,0.03608445297504798,0.051390190565448295,0.03899095264512639,0.06223126358130288,0.02027027027027027,0.0009447137106711575,0.9511677282377919,1.870563674321503,0.15819209039548024,0.0,0.0,0.0,0.0,712500000.0,197550000.0,417550000.0,56.82997881355932,36.76418829740431,83.09062912450506,139.9206079380644,103.15641964066009,1011100000.0,-98116621.9839142,3841200000.0,1513600000.0,Technology
1991-06-30,INTC,1991,Q2,USD,8193400000.0,7090200000.0,5.659934541390596,16.51187703772706,37.8144,16.550420168067227,-2.5751633986928106,2.7597691673536686,1.8604852686308493,0.8008076512376505,0.12123050259965339,0.6598056032018296,1.0833075255497058,2134600000.0,4005600000.0,0.03964137267699495,0.05718738654174821,0.03964137267699495,0.056136595806781146,0.04481326601192015,0.07005554109172958,0.028169014084507043,0.022884272707301,0.563344201210992,2.2928909952606635,0.1931028977408797,0.0,0.0,0.0,0.0,748250000.0,220750000.0,432750000.0,56.12516963359145,47.5072224515064,82.79405695418903,138.91922658778049,91.41200413627408,1290700000.0,-59748770.726129234,4111400000.0,1636800000.0,Technology
1991-09-30,INTC,1991,Q3,USD,8874799999.56,7877799999.559999,6.632819735253009,24.017682925487804,84.16452990982906,22.980746789848308,-2.9084014002333722,2.9387586662264775,1.6261774913237481,0.6604492657023713,0.08545240456546616,0.7315923104824085,1.158403361344538,2349000000.0,4346900000.0,0.03325145485418487,0.04004004004004004,0.03325145485418487,0.04642437912859346,0.03474111013683697,0.04902869620748614,0.022727272728399514,0.010546716546247866,0.7146341463414634,2.236641221374046,0.1973562347394123,0.0,0.0,0.0,0.0,763550000.0,247100000.0,446400000.0,56.521848951755494,43.698574338085535,81.93482688391038,138.45667583566586,94.75810149758033,1090600000.0,-169881030.10518682,4344700000.0,1839400000.0,Technology
1991-12-31,INTC,1991,Q4,USD,10286699999.49,9303499999.49,7.718184834486477,23.045578398538517,83.89089269152389,25.70027624168508,-2.716022099447514,2.9353314872129013,2.1393746687864335,0.6441700165187545,0.056460089244246905,0.6970816401920946,1.0836669335468374,2376200000.0,4538900000.0,0.029989987444573353,0.04042725360090629,0.029989987444573353,0.042712601009529415,0.03324633299984443,0.04932567185988192,0.018344075360354192,0.01078091127431521,0.7252910577161258,2.609625668449198,0.242906918865107,0.0,0.0,0.0,0.0,722050000.0,203600000.0,434650000.0,52.130413140866104,32.51712328767123,81.3505993150685,133.4810124559346,100.96388916826336,1094100000.0,-33669006.28001475,4417900000.0,1729800000.0,Technology
1992-03-31,INTC,1992,Q1,USD,10616433333.91,9523533333.91,7.672225355602997,36.349363869885494,541.1098485176136,24.564181929094662,-2.818932164044364,3.1038620806219894,1.423139598044541,0.7180679195953706,0.08764937533472844,0.6619920891765552,1.0365262765560939,2489500000.0,4765500000.0,0.02830043657381787,0.04193071976119963,0.02830043657381787,0.03927299101904985,0.032522014451883206,0.050414325710742405,0.01734104046148581,0.0016578072358617614,0.932824427480916,2.046901172529313,0.19689035688391202,0.0,0.0,0.0,0.0,714650000.0,183650000.0,439200000.0,53.00813663095142,38.660463103224416,88.83142177017962,141.83955840113103,103.17909529790661,1110500000.0,-60687522.47393024,4687700000.0,1855300000.0,Technology
1992-06-30,INTC,1992,Q2,USD,9487400000.0,8224600000.0,6.232173978934607,25.368908081431215,213.07253886010363,20.212828704841485,-3.1034652248709755,3.092951200619675,1.5213514781792585,0.8909109531563937,0.08279549718574108,0.6962769431743958,1.083510261854211,2702000000.0,5123900000.0,0.030970815961882073,0.04221344227767363,0.030970815961882073,0.04535591201123261,0.03416168060922659,0.050528348441774396,0.02247191011235955,0.004068554082256467,0.8809376927822332,2.2976669348350764,0.21641282109570356,0.0,0.0,0.0,0.0,759150000.0,204800000.0,479750000.0,53.684928392816545,39.07651172357055,93.18387494858084,146.86880334139738,107.79229161782683,1301400000.0,-177032135.85891575,4700600000.0,1809700000.0,Technology
1992-09-30,INTC,1992,Q3,USD,12340999999.999998,11468799999.999998,8.041508904781937,42.087339449541275,-185.57928802588992,24.883488826209586,-1.892384465176828,2.6822610827902174,1.1316445182724253,0.8712260807166704,0.020818106312292358,0.6806105144149237,1.0786585365853658,2607000000.0,5219600000.0,0.032796709433139934,0.04611242715853256,0.032796709433139934,0.047428650213704675,0.03697316098777637,0.056624946050927924,0.019512195121951223,-0.005007697917510738,1.2267889908256882,2.5154251316779535,0.23439910251016688,0.0,0.0,0.0,0.0,876050000.0,241700000.0,525950000.0,60.889777029869585,48.251624335499116,97.19432959243946,158.08410662230904,109.83248228680992,810400000.0,116840248.72809494,5077100000.0,1891600000.0,Technology
1992-12-31,INTC,1992,Q4,USD,16374400000.000002,15092800000.000002,8.12839293408014,19.449484536082476,36.624120359136136,20.064876362669505,-1.7038021802712044,2.5468266463977414,1.810968494749125,1.2035196081458466,0.16820182724252492,0.6796193497224425,1.0315772251308901,2849100000.0,5665000000.0,0.05297579309151151,0.07921818700261814,0.05297579309151151,0.0787018330088528,0.06333318287928352,0.09784366145324731,0.02616889779167481,0.025167334375610705,0.46894329896907216,2.5808510638297872,0.1959823352003447,0.0,0.0,0.0,0.0,1513500000.0,276650000.0,541850000.0,99.95099095217579,43.33447566826594,82.53598355037697,182.48697450255275,139.1524988342868,1693700000.0,-49616653.449643135,5444600000.0,2047000000.0,Technology
1993-03-31,INTC,1993,Q1,USD,25445920000.0,23993620000.0,11.856898596560585,45.13472535741159,146.83977968176254,24.710216271884654,-1.4956745623069,2.950904533565824,0.9702500456287644,1.251067910337789,0.0778005079006772,0.6500177957053032,1.029181929181929,3580300000.0,6601200000.0,0.06038862987578393,0.09542289426914896,0.06038862987578393,0.08589659172859249,0.0707241473820347,0.11312986169639526,0.021531939108509344,0.006421461672441005,0.6926260346124906,2.4223684210526315,0.18195295512947224,0.0,0.0,0.0,0.0,1651350000.0,302450000.0,531100000.0,55.175924095671085,51.49443561208267,83.78378378378379,138.95970787945487,87.4652722673722,1615700000.0,-415035425.3173567,6378600000.0,2721200000.0,Technology
1993-06-30,INTC,1993,Q2,USD,24162560000.0,23033060000.0,10.81567430503381,33.21756561869051,93.74464794464795,22.62579567779961,-1.1095284872298625,2.8134180643817066,1.2194864579669364,1.288478886705639,-0.006217966970387244,0.6508299942759015,1.0337278106508876,3481400000.0,6778900000.0,0.060097043246614586,0.09114749144750332,0.060097043246614586,0.08878096011493894,0.07037306053762292,0.1120174007612833,0.023528136091539968,0.010168624516607511,0.6456590712431497,2.7133333333333334,0.21022727272727273,0.0,0.0,0.0,0.0,1280350000.0,329350000.0,569150000.0,55.789350112697214,50.18654230512991,91.63391072618255,147.42326083887977,97.23671853374987,1375200000.0,366151345.1631367,6403400000.0,2344900000.0,Technology
1993-09-30,INTC,1993,Q3,USD,31116800000.0,30335800000.0,13.543977140816144,43.39885550786838,143.9762695775985,29.00172084130019,-0.7466539196940727,2.7393124206367867,1.1960985626283367,1.3640061665648877,-0.06329900568181818,0.6497665110073382,1.034982738780207,3698300000.0,7298400000.0,0.05586677628434315,0.08729788206000913,0.05586677628434315,0.08333452165357137,0.06516701823854396,0.1043278979638362,0.018780851501439735,0.0067712618264088855,0.6985693848354793,2.7650056625141564,0.21801053665505848,0.0,0.0,0.0,0.0,1398600000.0,363400000.0,667100000.0,59.35306723814626,53.73952779893374,99.10281797410511,158.45588521225136,104.71635741331761,991700000.0,36047098.06537688,7012700000.0,2376700000.0,Technology
1993-12-25,INTC,1993,Q4,USD,25194133332.04,24642133332.04,10.314831867743827,28.098213605518815,99.28337361821113,22.766198569881745,-0.5099778270509978,2.384710234278668,1.4761824608651741,1.5419985635197548,-0.1330595482614507,0.6499288918061481,1.0641443538998836,3369000000.0,7365000000.0,0.0523712976022567,0.07879071388606074,0.0523712976022567,0.07921333333333333,0.059341934317759484,0.09639771069464706,0.023580886556810763,0.009851499820569654,0.7169897377423033,2.8146821844225602,0.2632063624947677,0.0,0.0,0.0,0.0,1462550000.0,409500000.0,780450000.0,54.550020929259105,53.9747191011236,105.92696629213484,160.47698722139393,106.50226812027033,800200000.0,482188918.06148124,7500000000.0,1958000000.0,Technology
1994-04-02,INTC,1994,Q1,USD,29843840000.0,29247840000.0,10.99542857142857,48.105,417.8262857142857,25.10544206008584,-0.511587982832618,2.4650571791613722,0.9854132901134521,1.5033397404414843,0.10545107466063348,0.635427394438723,1.0474649406688241,3459000000.0,5806000000.0,0.051735703504947175,0.07967339922647185,0.044471673634135796,0.07577990665684108,0.05912880893843568,0.09691583899634082,0.020674283202161654,0.0023455426647509166,0.8848684210526315,2.2605042016806722,0.20225563909774436,0.0,0.09962406015037593,0.0,-0.1633406003689418,1489500000.0,475500000.0,913500000.0,51.80075187969925,41.95729537366548,79.19039145907473,130.99114333877398,89.03384796510849,666000000.0,199041194.64469624,10090000000.0,2036000000.0,Technology
1994-07-02,INTC,1994,Q2,USD,25800480000.0,25630480000.0,9.252880866425993,34.03782204515272,170.86986666666667,21.077697368421052,-0.13980263157894737,2.1213051823416507,1.1765625,1.5662106928901374,0.02166762013729977,0.6342913776015857,1.0380658436213992,2921000000.0,5294000000.0,0.05209181181832981,0.08029076490996201,0.0439590631224672,0.07684918347742556,0.06032595098128585,0.1004028509451503,0.024805740048247163,0.005813845323807929,0.8007968127490039,2.471311475409836,0.2176895306859206,0.0,0.10072202166064982,0.0,-0.18500732541103695,1559500000.0,533500000.0,1093000000.0,51.5956678700361,42.275086505190316,93.19204152249135,144.78770939252746,102.51262288733714,320000000.0,795531219.0287414,10601000000.0,1568000000.0,Technology
1994-10-01,INTC,1994,Q3,USD,26664960000.0,26510960000.0,9.259853300733496,54.104,-530.2192,21.208768,-0.1232,2.165593705293276,0.7435508345978755,1.6683859613945469,0.02761376728110599,0.6348747591522158,1.0701030927835051,3259000000.0,5706000000.0,0.049653405666063896,0.0759057829251115,0.04189446916719644,0.07280159080866107,0.05540019039021674,0.09259259259259259,0.02471408170122888,-0.0018751200076804915,1.1020408163265305,1.9285714285714286,0.18861334264757249,0.0,0.09849807893817673,0.0,-0.18520192887281495,1748500000.0,521500000.0,1287500000.0,60.01047851903598,35.34956794972506,97.42340926944226,157.43388778847824,122.08431983875317,104000000.0,17828516.377649307,11510000000.0,1835000000.0,Technology
1994-12-31,INTC,1994,Q4,USD,27706560000.0,27435560000.0,8.499244114002478,24.279256637168142,74.15016216216216,34.166326276463266,-0.33748443337484435,2.0393518518518516,3.0376344086021505,1.268301769411223,-0.010224654377880185,0.6358974358974359,1.1293436293436294,3143000000.0,8510000000.0,0.02692530399536769,0.03824571766095688,0.02692530399536769,0.04014244091939139,0.02912679032583533,0.04799851742031134,0.013426423200859289,0.013354238129886929,0.672566371681416,2.6666666666666665,0.23543990086741015,0.0,0.08828996282527882,0.0,0.0,1943500000.0,537500000.0,1273500000.0,55.14869888475837,25.580820563519527,52.00692041522492,107.15561929998329,81.57479873646376,641000000.0,-29605128.205128193,9267000000.0,1618000000.0,Technology
1995-04-01,INTC,1995,Q1,USD,36972800000.0,36725800000.0,10.324936744447568,48.4509234828496,-1049.3085714285714,23.288395688015218,-0.1566265060240964,2.083028083028083,0.8526434195725534,2.028091839227175,0.0034403669724770644,0.6278248587570622,1.1176006314127862,3548000000.0,6942000000.0,0.05962441314553991,0.08821276892014203,0.05126874279123414,0.08883781353052864,0.06481333789987759,0.10890493381468111,0.024044703133114076,-0.0009466418556344123,1.0461741424802111,2.5580645161290323,0.22294068034860837,0.0,0.08265392184425077,0.0,-0.16297786720321933,2159000000.0,644500000.0,1246500000.0,59.207197076187796,39.937849596022374,74.05842137973897,133.26561845592676,93.32776885990438,212000000.0,-92545903.95480227,12437000000.0,1921000000.0,Technology
1995-07-01,INTC,1995,Q2,USD,56192640000.0,56087640000.0,14.403605546995378,70.10955,-2670.84,34.054426229508195,-0.06375227686703097,2.076489771716573,0.9101251422070534,2.0445789790596787,0.015273085585585586,0.6283059328091494,1.055052790346908,3631000000.0,7609000000.0,0.05680863439539843,0.0872856531613073,0.04934044344653382,0.08240367488515984,0.06608500570357198,0.10958677685950413,0.015642617965626816,-0.00037371442238698875,1.02625,2.6314102564102564,0.2108371854134566,0.0,0.08115048793014895,0.0,-0.15136043430491825,2612000000.0,725000000.0,1425500000.0,66.65639445300462,36.69806094182825,76.13850415512465,142.79489860812927,106.09683766630101,84000000.0,241133666.90493202,13009000000.0,2198000000.0,Technology
1995-09-30,INTC,1995,Q3,USD,53482240000.0,53483240000.0,12.822642052265644,80.79039274924472,-181.91578231292516,30.526963470319636,0.0005707762557077625,1.9279192695819318,0.7110633727175081,2.1465641870732908,-0.04868532058492688,0.6277815239379636,1.0676745860331174,3862000000.0,10763000000.0,0.05475826373367839,0.08554272517321017,0.05475826373367839,0.08367787165198634,0.06333903804386079,0.10817757009345795,0.017407647847210588,-0.005497151951750712,1.444108761329305,2.5698924731182795,0.22920163030448334,0.0,0.08007672021098058,0.0,0.0,3122500000.0,838500000.0,1818500000.0,72.52217693598656,42.17629482071713,94.57171314741035,167.0938900833969,124.91759526267977,-295000000.0,56988536.74983144,11126000000.0,2148000000.0,Technology
1995-12-30,INTC,1995,Q4,USD,51048000000.0,50331000000.0,10.989301310043668,27.868770764119603,60.93341404358353,30.411480362537766,-0.43323262839879156,2.2373583862945563,2.083044982698962,2.1373598881954035,0.06013888888888889,0.6470149253731343,1.0551181102362204,4478000000.0,9676000000.0,0.04953153564899451,0.07361038659943198,0.043838802649542395,0.0714168039538715,0.05774077403020733,0.09146561037090385,0.016984015044663847,0.016180849396646293,0.5426356589147286,2.5454545454545454,0.21397379912663755,0.0,0.07685589519650655,0.0,-0.12985603290676417,3238500000.0,902500000.0,2057000000.0,61.23144104803494,32.549183758894934,75.4960234407702,136.72746448880514,104.1782807299102,1543000000.0,-389291044.7761195,14413000000.0,2733000000.0,Technology
