date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,IPG,1985,Q3,USD,424421620.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007775287225000461,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1985-12-31,IPG,1985,Q4,USD,465494680.0,361494680.0,1.9906094713656388,0.0,0.0,-0.8525817924528302,0.24528301886792453,1.2537511870845204,0.0,1.3174084295688244,-0.40276400151340075,0.0,0.0,133600000.0,234100000.0,0.01771236123238119,0.0,0.01864006300866369,0.068334937439846,,-1.5406976744186047,0.030505182143005377,,0.0,0.0,,0.0,0,,0.04976924036422602,,,,265.98568281938327,0.0,0.0,265.98568281938327,265.98568281938327,,,167900000.0,66200000.0,Communication Services
1986-03-31,IPG,1986,Q1,USD,602714680.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007134387368829311,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1986-06-30,IPG,1986,Q2,USD,632163280.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.028631843342751574,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1986-09-30,IPG,1986,Q3,USD,584297840.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006845823698406963,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1986-12-31,IPG,1986,Q4,USD,606157760.0,480357760.0,1.9981603993344426,0.0,0.0,-0.9999120732722732,0.26186511240632804,1.1975958941112912,0.0,1.4215154952709697,-0.9523857287581372,0.0,0.0,146300000.0,277500000.0,0.013626251390433816,0.0,0.01441459109629339,0.06051873198847262,,-1.4196217494089836,0.024251112449669866,,0.0,0.0,,0.0,0,,0.054690396737115315,,,,249.1846921797005,0.0,0.0,249.1846921797005,249.1846921797005,,,183900000.0,50800000.0,Communication Services
1987-03-31,IPG,1987,Q1,USD,785966960.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006997749625505887,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1987-06-30,IPG,1987,Q2,USD,804936080.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.025219393818202308,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1987-09-30,IPG,1987,Q3,USD,870927960.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.005626182904955767,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1987-12-31,IPG,1987,Q4,USD,701382760.0,572482760.0,2.0931727970749545,0.0,0.0,-0.9744387404255319,0.21940425531914895,1.1937665081880613,0.0,1.727470726748565,-1.177198880679645,0.0,0.0,183400000.0,328900000.0,0.013883733016556538,0.0,0.014554794520547944,0.06678571428571428,,-1.4672827172827172,0.026661619113649157,,0.0,0.0,,0.0,0,,0.04610587274482144,,,,286.15722120658137,0.0,0.0,286.15722120658137,286.15722120658137,,,217900000.0,63000000.0,Communication Services
1988-03-31,IPG,1988,Q1,USD,742668160.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00902152584540584,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1988-06-30,IPG,1988,Q2,USD,723952680.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.033427599162972915,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1988-09-30,IPG,1988,Q3,USD,771607120.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0077759780132666476,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1988-12-31,IPG,1988,Q4,USD,821973120.0,731173120.0,1.8375800955013823,0.0,0.0,-1.1154433562166286,0.1385202135774218,1.1611747851002865,0.0,2.0736175730676116,-1.585022634316801,0.0,0.0,180000000.0,394300000.0,0.0145625,0.0,0.015556149018560556,0.0699909882847702,,-1.3565811258278146,0.028346425732267255,,0.0,0.0,,0.0,0,,0.063875,,,,231.5481276702689,0.0,0.0,231.5481276702689,231.5481276702689,,,230700000.0,29700000.0,Communication Services
1989-03-31,IPG,1989,Q1,USD,890842160.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.008980266493000287,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1989-06-30,IPG,1989,Q2,USD,1047956359.9999999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.027004941312632525,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Communication Services
1989-09-30,IPG,1989,Q3,USD,1064325000.0,1089225000.0,3.8447758559830567,0.0,0.0,36.18687707641196,0.8272425249169435,1.1430443548387097,0.0,1.3232371373790603,-2.126231884057971,0.3791208791208791,0.8625592417061612,141900000.0,374000000.0,0.004695155144256941,0.0,0.005088870860682941,0.020560190703218118,0.014634925996067598,0.04417922948073702,0.006482982171799028,,0.0,0.0,,0.0,0,,0.07736799129014697,,,,287.15495940698906,275.2962085308057,0.0,287.15495940698906,11.858750876183365,,,231900000.0,9900000.0,Communication Services
1989-12-31,IPG,1989,Q4,USD,938400000.0000001,940000000.0000001,2.473033412259932,15.284552845528458,20.93541202672606,14.307458143074584,0.0243531202435312,1.1340768277571251,2.2445255474452557,2.7597210894388193,-2.3747826086956523,0.556910569105691,0.924812030075188,162300000.0,416900000.0,0.01574079393347504,0.033143319938946515,0.01693344045485446,0.07453754080522307,0.050697539829607736,0.1003394945303659,0.02919863597612958,0.04784739982949701,0.26991869918699185,1.328,0.04367271770586688,0.0,0,0.0,0.07043143562934452,1026450000.0,877550000.0,0.0,272.05998421468036,-895.979695431472,0.0,272.05998421468036,1168.0396796461523,43300000.0,5127642.276422761,257600000.0,12300000.0,Communication Services
