date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,IT,125.11,125.78,123.23,125.6,260479,0.49,0.39166,125.01
2020-07-31,IT,125.51,126.19,123.785,124.64,580872,-0.87,-0.69317,124.84
2020-08-03,IT,125.77,126.74,123.87,125.66,901844,-0.11,-0.08746124,125.51
2020-08-04,IT,130.88,132.48,125.205,126.3,1163984,-4.58,-3.5,127.27
2020-08-05,IT,127.79,131.24,127.59,129.39,497914,1.6,1.25,129.49
2020-08-06,IT,129.4,131.66,128.815,130.66,377600,1.26,0.97372,130.29
2020-08-07,IT,129.5,131.6,128.74,131.54,459977,2.04,1.58,130.7
2020-08-10,IT,131.45,132.72,131.04,132.63,333960,1.18,0.89768,132.16
2020-08-11,IT,133.1,134.4,131.24,131.58,403724,-1.52,-1.14,132.62
2020-08-12,IT,132.19,132.63,130.46,130.79,465939,-1.4,-1.06,131.06
2020-08-13,IT,130.3,132.66,130.3,131.13,204797,0.83,0.63699,131.41
2020-08-14,IT,130.21,131.01,128.94,129.49,160408,-0.72,-0.55295,129.75
2020-08-17,IT,129.73,129.95,127.81,128.02,354792,-1.71,-1.32,128.49
2020-08-18,IT,128.09,128.41,127.18,127.64,253749,-0.45,-0.35132,127.79
2020-08-19,IT,128.08,128.22,126.62,127.62,313635,-0.46,-0.35915,127.5
2020-08-20,IT,127.51,128.935,127.07,127.76,303043,0.25,0.19606,127.96
2020-08-21,IT,127.64,128.3,126.65,128.14,292677,0.5,0.39173,127.78
2020-08-24,IT,129.01,132.395,128.725,131.65,476632,2.64,2.05,131.29
2020-08-25,IT,132.5,134.26,130.5,132.06,368607,-0.44,-0.33208,131.96
2020-08-26,IT,132.1,132.1,129.96,131.51,254636,-0.59,-0.44663,131.35
2020-08-27,IT,131.68,132.79,129.8,130.72,196816,-0.96,-0.72904,131.1
2020-08-28,IT,130.8,131.54,129.61,131.48,302321,0.68,0.51988,130.69
2020-08-31,IT,131.48,131.48,129.495,129.82,281107,-1.66,-1.26,130.04
2020-09-01,IT,129.36,130.31,128.66,130.06,268513,0.7,0.54113,129.7
2020-09-02,IT,130.45,134.33,130.12,134.0,251496,3.55,2.72,133.24
2020-09-03,IT,133.5,133.93,130.4969,131.58,497765,-1.92,-1.44,131.66
2020-09-04,IT,132.3,132.88,128.94,131.18,434830,-1.12,-0.84656,130.99
2020-09-08,IT,129.06,129.98,127.72,128.6,327014,-0.46,-0.35642,128.78
2020-09-09,IT,129.59,132.7,128.52,131.28,359974,1.69,1.3,131.33
2020-09-10,IT,131.45,132.555,127.8,127.92,330625,-3.53,-2.69,128.94
2020-09-11,IT,128.27,128.27,125.57,126.64,259580,-1.63,-1.27,126.79
2020-09-14,IT,127.84,132.65,127.84,132.56,475512,4.72,3.69,132.04
2020-09-15,IT,132.98,134.58,132.475,134.19,311874,1.21,0.90991,133.91
2020-09-16,IT,135.0,136.09,132.28,132.97,404036,-2.03,-1.5,133.79
2020-09-17,IT,131.95,133.99,130.56,132.32,327974,0.37,0.28041,132.32
2020-09-18,IT,132.24,133.47,129.9,131.13,604591,-1.11,-0.83938,131.54
2020-09-21,IT,128.83,129.56,125.125,126.41,371402,-2.42,-1.88,126.26
2020-09-22,IT,126.3,127.135,123.72,126.71,411704,0.41,0.32462,125.74
2020-09-23,IT,126.74,128.18,123.9,124.0,346868,-2.74,-2.16,125.23
2020-09-24,IT,123.42,124.59,121.8,123.06,360621,-0.36,-0.29169,123.14
2020-09-25,IT,122.51,125.74,121.16,125.65,352561,3.14,2.56,124.25
2020-09-28,IT,127.52,127.96,126.33,126.53,328001,-0.99,-0.77635,126.91
2020-09-29,IT,126.39,127.915,125.11,125.23,295766,-1.16,-0.91779,125.61
2020-09-30,IT,125.92,127.22,124.59,124.95,368792,-0.97,-0.77033,125.52
2020-10-01,IT,125.84,127.28,124.63,125.72,306489,-0.12,-0.09535919,125.57
2020-10-02,IT,123.82,126.44,123.26,125.34,299267,1.52,1.23,125.29
2020-10-05,IT,126.74,126.95,125.33,125.98,302369,-0.76,-0.59965,125.96
2020-10-06,IT,126.43,127.965,123.66,124.21,399714,-2.22,-1.76,125.84
2020-10-07,IT,124.5,125.995,123.86,125.62,484983,1.12,0.8996,125.13
2020-10-08,IT,126.97,128.6,126.45,126.83,556040,-0.14,-0.11026,127.14
2020-10-09,IT,128.12,128.569,126.0,126.4,655699,-1.72,-1.34,126.82
2020-10-12,IT,127.2,127.89,125.06,126.81,410587,-0.39,-0.3066,126.76
2020-10-13,IT,125.99,128.82,125.52,128.0,1009526,2.01,1.6,127.47
2020-10-14,IT,128.0,129.88,124.59,124.77,560504,-3.23,-2.52,126.49
2020-10-15,IT,123.22,130.37,123.22,129.59,744210,6.37,5.17,127.65
2020-10-16,IT,130.27,131.71,129.12,130.07,488524,-0.2,-0.15353,130.24
2020-10-19,IT,130.74,131.52,123.63,124.34,502116,-6.4,-4.9,125.53
2020-10-20,IT,125.18,126.87,124.33,125.44,405146,0.26,0.2077,125.75
2020-10-21,IT,125.36,128.72,125.36,127.88,373157,2.52,2.01,127.75
2020-10-22,IT,127.47,128.3,125.36,127.52,218213,0.05,0.03922492,127.11
2020-10-23,IT,128.72,128.77,126.67,128.13,205008,-0.59,-0.45836,127.9
2020-10-26,IT,126.5,126.5,122.001,124.03,349986,-2.47,-1.95,123.91
2020-10-27,IT,123.9,124.64,121.77,121.94,278843,-1.96,-1.58,122.56
2020-10-28,IT,119.3,120.23,116.56,117.45,519632,-1.85,-1.55,117.78
2020-10-29,IT,116.68,119.305,115.86,118.28,267125,1.6,1.37,118.0
2020-10-30,IT,117.68,120.35,117.13,120.1,582887,2.42,2.06,119.52
2020-11-02,IT,121.44,125.89,121.26,125.02,594048,3.58,2.95,124.38
2020-11-03,IT,137.69,143.4399,137.49,140.8,1177219,3.11,2.26,140.77
2020-11-04,IT,141.6,144.87,139.2,142.26,779027,0.66,0.4661,142.18
2020-11-05,IT,144.15,146.47,143.72,146.25,562348,2.1,1.46,145.53
2020-11-06,IT,145.4,148.995,144.37,147.98,502599,2.58,1.77,147.89
2020-11-09,IT,156.69,162.94,155.65,155.85,979879,-0.84,-0.53609,157.39
2020-11-10,IT,156.36,159.94,154.41,157.44,645287,1.08,0.69071,157.9
2020-11-11,IT,157.14,158.64,155.94,156.8,324063,-0.34,-0.21637,157.0
2020-11-12,IT,155.66,156.11,151.96,153.0,267783,-2.66,-1.71,153.64
2020-11-13,IT,154.43,159.0,154.43,157.98,442555,3.55,2.3,157.33
2020-11-16,IT,160.1,160.88,157.78,159.02,424056,-1.08,-0.67458,158.91
2020-11-17,IT,158.07,159.21,157.45,158.71,456516,0.64,0.40488,158.58
2020-11-18,IT,158.8,159.265,154.02,154.02,371644,-4.78,-3.01,155.8
2020-11-19,IT,153.18,154.16,151.19,152.27,365090,-0.91,-0.59407,152.36
2020-11-20,IT,153.3,153.575,151.65,152.56,369772,-0.74,-0.48271,152.84
2020-11-23,IT,153.0,154.03,151.93,152.61,256778,-0.39,-0.2549,152.59
2020-11-24,IT,154.35,156.29,153.43,154.68,486827,0.33,0.2138,154.81
2020-11-25,IT,154.35,154.72,153.26,153.87,203778,-0.48,-0.31098,153.98
2020-11-27,IT,154.25,154.59,152.41,152.55,153806,-1.7,-1.1,153.08
2020-11-30,IT,152.26,153.715,150.37,152.0,559730,-0.26,-0.17076,151.9
2020-12-01,IT,152.97,155.595,152.595,153.95,435472,0.98,0.64065,154.17
2020-12-02,IT,153.7,154.68,152.91,154.1,256840,0.4,0.26025,153.92
2020-12-03,IT,153.26,155.27,152.355,152.7,311347,-0.56,-0.36539,153.52
2020-12-04,IT,153.2,156.7,153.0901,154.92,292115,1.72,1.12,155.07
2020-12-07,IT,154.12,156.55,153.615,155.54,361176,1.42,0.92136,155.31
2020-12-08,IT,154.9,156.5382,153.14,153.62,296988,-1.28,-0.82634,154.06
2020-12-09,IT,154.25,156.35,153.93,154.58,376098,0.33,0.21394,155.13
2020-12-10,IT,153.47,156.32,151.76,156.01,364771,2.54,1.66,155.45
2020-12-11,IT,154.88,156.865,153.255,154.77,333725,-0.11,-0.07102273,154.94
2020-12-14,IT,155.48,156.793,154.52,154.59,321778,-0.89,-0.57242,155.23
2020-12-15,IT,155.62,157.93,154.77,157.81,308735,2.19,1.41,157.08
2020-12-16,IT,158.1,158.51,156.04,157.31,309573,-0.79,-0.49968,157.15
2020-12-17,IT,158.7,159.145,156.66,157.05,353138,-1.65,-1.04,157.43
2020-12-18,IT,157.2,158.37,154.7,157.94,1030462,0.74,0.47074,157.13
2020-12-21,IT,155.99,157.1,152.68,156.5,370904,0.51,0.32694,155.98
2020-12-22,IT,155.84,157.43,154.61,156.43,257575,0.59,0.37859,156.41
2020-12-23,IT,156.46,159.09,156.46,157.04,311682,0.58,0.3707,157.89
2020-12-24,IT,158.0,159.36,157.41,158.63,152430,0.63,0.39873,158.3
2020-12-28,IT,160.0,160.77,158.93,159.21,209182,-0.79,-0.49375,159.75
