date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1997-03-31,IVZ,1997,Q1,USD,1997024000.0000002,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.024035765218645342,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1997-06-30,IVZ,1997,Q2,USD,2143864000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.022389479929697035,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1997-09-30,IVZ,1997,Q3,USD,1753945946.22,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.027366863901049372,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1997-12-31,IVZ,1997,Q4,USD,2241729730.08,2172129730.08,9.705673503485254,0.0,0.0,-6.288736913954835,0.2015055008685582,1.3428571428571427,0.0,,-0.7115273436388239,0.0,0.0,121200000.0,198500000.0,0.07077100115074798,0.0,0.07077100115074798,-1.3859154929577464,,-1.0108282118817675,0.021947337959533693,,0.0,0.0,,0.0,0,,0.0,,,,126.31367292225202,0.0,0.0,126.31367292225202,126.31367292225202,,,-35500000.0,-256000000.0,Financial Services
1998-03-31,IVZ,1998,Q1,USD,2996000000.0,3721000000.0,13.74584410786849,0.0,0.0,40.980176211453745,7.984581497797357,1.384187926244001,0.0,0.43846831617086574,-1.2946428571428572,0.6602357984994641,0.9821052631578947,152100000.0,234100000.0,0.08015614834092388,0.12980802076928333,0.08015614834092388,1.4160919540229886,0.08161665693877565,0.2549651100375738,0.020560747663551402,,0.0,0.0,,0.0,0,,0.0,157050000.0,69350000.0,9100000.0,0.0,0.0,0.0,0.0,0.0,,,43500000.0,-177000000.0,Financial Services
1998-06-30,IVZ,1998,Q2,USD,2455000000.0,4263500000.0,13.361015355687872,0.0,0.0,40.14595103578154,17.029190207156308,1.4477486027628388,0.0,,-3.8738,-0.16722408026755853,0.2815442561205273,424600000.0,1704500000.0,-0.0017678464095039423,0.05905249110320285,-0.003011503945070168,-0.010395010395010396,-0.006279106645127718,0.056489361702127656,-0.002036659877800407,,0.0,0.0,,0.0,0,,0.4129689212601209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-687000000.0,-974400000.0,Financial Services
1998-09-30,IVZ,1998,Q3,USD,1827000000.0,2902600000.0,7.549024707412224,0.0,0.0,24.936426116838486,9.240549828178693,2.0652029274783765,0.0,1.2280065146407002,-3.077301587301587,0.6086956521739131,0.8133595284872298,640400000.0,1937400000.0,0.018325939931641336,0.03649726629022139,0.03180011357183418,0.09549071618037135,0.0259627173047741,0.047370870172173105,0.027586206896551727,,0.0,0.0,,0.0,0,,0.42371463893535016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-637500000.0,-980800000.0,Financial Services
1998-12-31,IVZ,1998,Q4,USD,2425500000.0,3365300000.0,9.740376266280753,0.0,0.0,23.353920888272032,6.521859819569743,1.2462645268400665,0.0,1.223738185802948,-2.1090079365079366,0.3433261955745896,1.6521226415094339,222500000.0,1551000000.0,0.017994089259661068,0.031272472479855436,0.03224076680742677,0.08758193736343772,0.039608752725062056,0.04792043399638336,0.019830962688105545,,0.0,0.0,,0.0,0,,0.44188395495866223,397750000.0,451750000.0,0.0,207.22141823444284,403.74875868917576,0.0,207.22141823444284,-196.52734045473292,,,-632000000.0,-997900000.0,Financial Services
1999-03-31,IVZ,1999,Q1,USD,3243885716.48,4096485716.48,10.544364778584299,0.0,0.0,32.26112756030525,6.714496097779948,1.298335001364753,0.0,1.4141692929086802,-1.9133201790890733,0.6256410256410256,0.8683725362712529,327900000.0,1603900000.0,0.02099755602216791,0.04025635509662615,0.03432365518793608,0.10429133185159857,0.03889609563563052,0.06216998892580288,0.018804608217268586,,0.0,0.0,,0.0,0,,0.3882482530721834,892800000.0,1001300000.0,71500000.0,229.36679536679534,378.2753346080306,49.216061185468455,278.5828565522638,-99.6924780557668,,,-543000000.0,-893200000.0,Financial Services
1999-06-30,IVZ,1999,Q2,USD,2962714285.05,3840714285.05,9.39279600158963,0.0,0.0,28.56059285708974,6.529046075136084,1.2673870878359657,0.0,1.4658658236930124,-1.9426961887763894,0.6311320754716981,0.8813063287771459,289500000.0,1519800000.0,0.0237782121912209,0.042064841045011014,0.03854352710721899,0.11544434857635893,0.0438583553902438,0.06949156459440721,0.022580645166353244,,0.0,0.0,,0.0,0,,0.38308157099697887,1016400000.0,1090900000.0,71500000.0,229.50110051357302,355.11297376093296,0.0,229.50110051357302,-125.61187324735994,,,-498300000.0,-861800000.0,Financial Services
