date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,JBHT,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.12534818941504178,0.12534818941504178,0.12534818941504178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.461538413333331,0.0,0.0,0.0,7.250910625069638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0338461503999998,0.017872340425531916,1.7872340425531916,0.25927777864203705,0.032500000108333336,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0336,Industrials
1985-12-31,JBHT,1985,Q4,USD,1.0,-1.158974358974359,-1.158974358974359,-1.158974358974359,0.0,0.11794871794871795,0.11794871794871795,0.11794871794871795,2.215909090909091,0.0,0.0,0.38537549407114624,0.3023255813953488,1.5771428571428572,1.5314285714285714,0.08812260536398467,0.06857142857142857,17.232441414130435,8.000776370846285,8.000776370846285,4.12860575546875,8.130177487692308,0.0,0.0,0.19534883720930232,0.328125,0.24705882352941178,0.21792260692464357,1.6796875,0.0,,,0.0,-10.68421052631579,0.0,,,0.0,0.0,1.0113712340869565,0.014672489082969432,1.467248908296943,0.28166666760555553,0.033222222332962965,0.18200000060666666,0.008666666695555556,0.5546666685155556,0.5546666685155556,0.5546666685155556,,,,0.0,0.0,4.12860575546875,0.07947598279767104,0.0,-7.545949602212389,0.0336,Industrials
1986-03-31,JBHT,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.1103448275862069,0.1103448275862069,0.1103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857140625,3.9523809482638885,3.9523809482638885,0.0,9.458128068965518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959999999,0.0112,1.1199999999999999,0.31718750033040366,0.03500000003645833,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0336,Industrials
1986-06-30,JBHT,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.1359026369168357,0.1359026369168357,0.1359026369168357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.578947432835818,0.6042105281194031,0.6042105281194031,0.0,11.73054343204868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707368423164179,0.008195121951219513,0.8195121951219513,0.3495149243298062,0.047499999858208956,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0336,Industrials
1986-09-30,JBHT,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.14446529080675422,0.14446529080675422,0.14446529080675422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.333333381818186,2.02666667127273,2.02666667127273,0.0,12.327704843527206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3809523818181818,0.004464285714285714,0.4464285714285714,0.36340909008316113,0.05249999988068182,,,,,,,,,0.0,0.0,0.0,,0.0,,0.02,Industrials
1986-12-31,JBHT,1986,Q4,USD,1.0,-1.1455805892547661,-1.1455805892547661,-1.1455805892547661,0.0,0.09532062391681109,0.09532062391681109,0.09532062391681109,2.0905797101449277,0.0,0.0,0.3930517711171662,0.30593849416755037,1.4647887323943662,1.4330985915492958,0.06138392857142857,0.045774647887323945,28.600000065,-1.001000002275,-1.001000002275,6.35555557,10.90467940086655,0.0,0.0,0.2200424178154825,0.41919191919191917,0.29537366548042704,0.2794759825327511,1.905050505050505,0.0,,,0.0,-19.548387096774192,0.0,,,0.0,0.0,0.5333333345454545,0.004662004662004662,0.4662004662004662,0.39340909001497937,0.03749999991477273,0.2829545448114669,0.008863636343491736,0.6749999984659091,0.6749999984659091,0.6749999984659091,,,,0.0,0.0,6.35555557,0.06595677035232331,0.0,-10.127080203177004,0.02,Industrials
1987-03-31,JBHT,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.09404388714733543,0.09404388714733543,0.09404388714733543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.470588315416666,2.060294123656247,2.060294123656247,0.0,10.333763629623823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15686282398692836,0.0014275524625267668,0.14275524625267666,0.4519166653485764,0.042499999876041666,,,,,,,,,0.0,0.0,0.0,,0.0,,0.00666667,Industrials
1987-06-30,JBHT,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.09010339734121123,0.09010339734121123,0.09010339734121123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2941176852459,0.0,0.0,0.0,8.395516566026588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15686282378656394,0.0016835025252525254,0.16835025252525254,0.47168032709560603,0.04249999993032787,,,,,,,,,0.0,0.0,0.0,,0.0,,0.00666667,Industrials
1987-09-30,JBHT,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.07476635514018691,0.07476635514018691,0.07476635514018691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8125,-3.878124999999999,-3.878124999999999,0.0,6.822429906542056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666675,0.0018264849315068495,0.18264849315068493,0.535,0.04,,,,,,,,,0.0,0.0,0.0,,0.0,,0.00666667,Industrials
1987-12-31,JBHT,1987,Q4,USD,1.0,-1.7752808988764044,-1.7752808988764044,-1.7752808988764044,0.0,0.0599250936329588,0.0599250936329588,0.0599250936329588,2.153225806451613,0.0,0.0,0.41119096509240244,0.32001598082301236,1.5862068965517242,1.5862068965517242,0.037209302325581395,0.04310344827586207,19.760416666666664,-1.3866959064327478,-1.3866959064327478,3.127782357790602,4.736579275905118,0.0,0.0,0.2876548142229325,0.5935696619950536,0.37247801345059495,0.3386041439476554,2.0634789777411378,0.0,,,0.0,-13.878787878787879,0.0,,,0.0,0.0,0.19444454166666666,0.002460025830258303,0.24600258302583025,0.5721428571428572,0.03428571428571429,0.5142857142857142,0.010714285714285714,0.8664285714285714,0.8664285714285714,0.8664285714285714,,,,0.0,0.0,3.127782357790602,0.18977332630469163,0.0,-3.1638537271448666,0.00666667,Industrials
