date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,K,1985,Q3,USD,3583586560.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.026119084451527805,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1985-12-31,K,1985,Q4,USD,4017363200.0,4316963200.0,6.01248356545961,0.0,0.0,-2.6104875128499727,-0.1811694986998851,1.3911771325680846,0.0,1.8514746318270325,-1.2971975623214749,0.0,0.0,173800000.0,1238000000.0,0.031400266496726725,0.0,0.03192366592060313,0.07935578330893119,,-1.2901388672179748,0.013491436372992115,,0.0,0.0,,0,0,,0.016395342100689415,,,,25.558495821727018,0.0,0.0,25.558495821727018,25.558495821727018,,,654700000.0,-425000000.0,Consumer Defensive
1986-03-31,K,1986,Q1,USD,4948802000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01545828667220875,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-06-30,K,1986,Q2,USD,6662171400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.010387003852827923,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-09-30,K,1986,Q3,USD,5373196800.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.019131999780838103,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-12-31,K,1986,Q4,USD,5995460400.0,6197060400.0,7.657309279624367,0.0,0.0,-3.2893101910828024,-0.1070063694267516,1.062937062937063,0.0,2.415508711937652,-1.40095371157818,0.0,0.0,43200000.0,1352300000.0,0.033777948373476634,0.0,0.03423791459974711,0.07836153161175423,,-1.347832307912434,0.011742217495090117,,0.0,0.0,,0,0,,0.01343441128490548,,,,24.187569504510073,0.0,0.0,24.187569504510073,24.187569504510073,,,870400000.0,-456200000.0,Consumer Defensive
1987-03-31,K,1987,Q1,USD,6838122560.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.015281972366403447,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-06-30,K,1987,Q2,USD,7581764320.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011844208842408332,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-09-30,K,1987,Q3,USD,7171622640.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01663500800148068,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-12-31,K,1987,Q4,USD,6066688120.0,6382288120.0,6.61377007253886,0.0,0.0,-2.9868439348558593,-0.1476974915761887,0.9396531520974923,0.0,3.034136920584222,-1.9883900427042227,0.0,0.0,-51500000.0,1764700000.0,0.030698645977097243,0.0,0.031611292490877664,0.06793792306422321,,-1.169247606019152,0.013565886093383023,,0.0,0.0,,0,0,,0.028870901562907978,,,,25.65699481865285,0.0,0.0,25.65699481865285,25.65699481865285,,,1134000000.0,-667600000.0,Consumer Defensive
1988-03-31,K,1988,Q1,USD,6053067280.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.020006385919437524,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-06-30,K,1988,Q2,USD,6323425920.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.017822617268836445,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-09-30,K,1988,Q3,USD,7044412320.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.020683059619656108,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
