date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,K,67.56,68.39,65.52,66.24,4404499,-1.32,-1.95,66.9275
2020-07-31,K,65.78,66.23,63.87,64.74,5905788,-1.04,-1.58,65.155
2020-08-03,K,64.74,65.35,64.52,65.07,1907714,0.32841,0.50973,64.92
2020-08-04,K,65.08,65.48,64.8,65.41,1994106,0.32842,0.50707,65.1925
2020-08-05,K,65.47,65.88,64.89,64.99,1168641,-0.47855,-0.73316,65.3075
2020-08-06,K,64.83,65.53,64.69,64.96,1650374,0.13137,0.20052,65.0025
2020-08-07,K,64.98,65.43,64.46,65.23,1402588,0.25335,0.38473,65.025
2020-08-10,K,65.29,65.5,64.33,64.76,1573958,-0.52546,-0.81176,64.97
2020-08-11,K,64.81,64.96,63.72,63.93,1477635,-0.88203,-1.36,64.355
2020-08-12,K,64.09,65.52,63.98,65.01,1285300,0.91956,1.44,64.65
2020-08-13,K,65.01,65.01,64.31,64.76,962509,-0.24397,-0.38456,64.7725
2020-08-14,K,64.62,65.06,64.38,64.84,1363202,0.21582,0.34045,64.725
2020-08-17,K,64.84,65.49,64.55,65.38,1585995,0.54423,0.83282,65.065
2020-08-18,K,65.25,66.12,64.82,65.79,1865627,0.53485,0.82759,65.495
2020-08-19,K,65.65,65.91,64.49,64.6,1762648,-1.05,-1.6,65.1625
2020-08-20,K,64.59,64.97,64.31,64.5,1143812,-0.093833,-0.13934,64.5925
2020-08-21,K,64.55,64.8,63.96,64.64,1793321,0.093833,0.13943,64.4875
2020-08-24,K,64.72,65.29,64.2,65.29,1254017,0.57238,0.88072,64.875
2020-08-25,K,65.52,65.52,64.56,65.2,1969682,-0.31903,-0.4884,65.2
2020-08-26,K,65.03,66.12,64.76,66.04,1542705,1.01,1.55,65.4875
2020-08-27,K,66.15,66.75,66.03,66.11,1112077,-0.037534,-0.06046863,66.26
2020-08-28,K,66.02,66.41,65.07,66.19,1968554,0.1689,0.2575,65.9225
2020-08-31,K,65.75,66.74,65.69,66.54,1826022,0.7882,1.2,66.18
2020-09-01,K,66.1,66.41,64.65,64.97,1828796,-1.13,-1.71,65.5325
2020-09-02,K,64.82,66.43,64.82,66.08,1734978,1.26,1.94,65.5375
2020-09-03,K,65.97,67.23,64.98,65.63,2219015,-0.34718,-0.51539,65.9525
2020-09-04,K,65.39,65.92,64.44,64.95,2731774,-0.44102,-0.67289,65.175
2020-09-08,K,64.74,65.3,61.81,62.25,3360803,-2.5,-3.85,63.525
2020-09-09,K,62.82,63.36,62.01,62.43,2502239,-0.3941,-0.62082,62.655
2020-09-10,K,62.32,63.03,61.76,61.93,2328988,-0.3941,-0.6258,62.26
2020-09-11,K,61.83,61.95,61.09,61.4,2261157,-0.42225,-0.69546,61.5675
2020-09-14,K,61.52,61.99,61.33,61.39,1775609,-0.13137,-0.21131,61.5575
2020-09-15,K,61.36,62.21,61.1,61.58,2244218,0.2252,0.35854,61.5625
2020-09-16,K,61.54,61.75,59.91,59.99,5541358,-1.56,-2.52,60.7975
2020-09-17,K,59.44,59.68,58.8,59.59,4344542,0.15013,0.25236,59.3775
2020-09-18,K,58.85,59.64,58.43,59.04,6385702,0.18767,0.32285,58.99
2020-09-21,K,58.59,59.35,58.09,58.85,2977368,0.26273,0.44376,58.72
2020-09-22,K,58.85,59.73,58.57,58.81,3161632,-0.046917,-0.06796941,58.99
2020-09-23,K,59.21,59.49,57.32,57.36,2269246,-1.85,-3.12,58.345
2020-09-24,K,57.24,58.91,57.09,58.79,2595156,1.55,2.71,58.0075
2020-09-25,K,58.75,59.41,58.67,59.19,1697435,0.44101,0.74894,59.005
2020-09-28,K,59.64,59.87,58.96,59.47,1377635,-0.1689,-0.28504,59.485
2020-09-29,K,59.84,59.93,59.19,59.53,1770678,-0.30965,-0.51805,59.6225
2020-09-30,K,59.8,60.75,59.62,60.61,2157588,0.80696,1.35,60.195
2020-10-01,K,60.73,60.8,59.73,60.41,1802315,-0.31903,-0.52692,60.4175
2020-10-02,K,59.84,61.2,59.49,60.72,1678395,0.88203,1.47,60.3125
2020-10-05,K,60.84,61.48,60.53,61.41,1932580,0.57238,0.93688,61.065
2020-10-06,K,61.45,61.79,60.86,61.14,1465241,-0.30965,-0.50448,61.31
2020-10-07,K,61.11,61.52,60.39,60.86,1444080,-0.25335,-0.4091,60.97
2020-10-08,K,61.05,61.39,60.75,61.2,925560,0.15013,0.2457,61.0975
2020-10-09,K,61.52,62.14,61.13,61.79,1364379,0.27212,0.43888,61.645
2020-10-12,K,61.93,62.59,61.83,62.22,1902157,0.29088,0.46827,62.1425
2020-10-13,K,62.0,62.8,61.93,62.7,1057828,0.69436,1.13,62.3575
2020-10-14,K,62.62,63.31,62.46,62.74,1308795,0.1126,0.19163,62.7825
2020-10-15,K,62.53,63.28,62.22,63.0,2015520,0.46916,0.75164,62.7575
2020-10-16,K,63.14,63.4,62.8,62.96,1295629,-0.17828,-0.28508,63.075
2020-10-19,K,63.01,63.68,62.49,62.58,1752449,-0.43163,-0.68243,62.94
2020-10-20,K,63.15,63.2,62.1,62.16,1428936,-0.98525,-1.57,62.6525
2020-10-21,K,61.85,62.51,61.72,61.9,1196422,0.046916,0.08084074,61.995
2020-10-22,K,61.96,62.43,61.55,62.27,1596431,0.30965,0.50032,62.0525
2020-10-23,K,62.68,63.13,62.31,62.64,1051213,-0.037533,-0.06381621,62.69
2020-10-26,K,62.48,62.68,61.38,61.65,1505937,-0.83511,-1.33,62.0475
2020-10-27,K,61.43,61.89,60.89,60.93,1628552,-0.5067,-0.81393,61.285
2020-10-28,K,60.52,60.77,59.57,59.57,2725653,-0.94771,-1.57,60.1075
2020-10-29,K,59.85,60.71,58.79,59.19,3697933,-0.65683,-1.1,59.635
2020-10-30,K,58.93,59.67,58.7,59.01,2698905,0.08445,0.13575,59.0775
2020-11-02,K,59.83,60.61,59.38,60.0,2058507,0.1689,0.28414,59.955
2020-11-03,K,60.44,61.45,60.13,60.41,1676032,-0.02815,-0.049636,60.6075
2020-11-04,K,60.6,61.18,59.57,59.66,1979319,-0.93833,-1.55,60.2525
2020-11-05,K,60.12,61.19,60.05,60.33,2250088,0.21582,0.3493,60.4225
2020-11-06,K,60.35,61.11,60.1,60.38,1427379,0.02815,0.04971002,60.485
2020-11-09,K,60.59,61.04,58.98,59.08,3113093,-1.51,-2.49,59.9225
2020-11-10,K,59.05,60.3,58.27,60.23,3477327,1.18,2.0,59.4625
2020-11-11,K,60.45,61.62,60.17,61.55,1762570,1.11,1.82,60.9475
2020-11-12,K,61.55,61.62,60.58,61.09,2130680,-0.46916,-0.74736,61.21
2020-11-13,K,61.62,61.72,61.08,61.7,1118589,0.08445,0.12983,61.53
2020-11-16,K,61.42,62.52,61.0,62.47,1822685,1.05,1.71,61.8525
2020-11-17,K,62.13,62.89,61.82,62.23,1332722,0.10322,0.16095,62.2675
2020-11-18,K,62.31,62.51,60.99,61.01,1288103,-1.29,-2.09,61.705
2020-11-19,K,60.97,61.37,60.42,61.19,1215517,0.21582,0.36083,60.9875
2020-11-20,K,61.19,61.36,60.51,61.0,1903361,-0.18767,-0.31051,61.015
2020-11-23,K,59.21,60.33,59.21,59.74,2765652,0.53485,0.89512,59.6225
2020-11-24,K,60.1,60.29,58.57,58.62,3689817,-1.48,-2.46,59.395
2020-11-25,K,59.05,60.2,58.96,59.36,2361649,0.30965,0.52498,59.3925
2020-11-27,K,59.76,59.84,59.11,59.57,878483,-0.19705,-0.31794,59.57
2020-11-30,K,59.0,59.98,58.64,59.97,3480302,0.96648,1.64,59.3975
2020-12-01,K,59.78,60.02,59.39,59.75,2932378,-0.02815,-0.05018401,59.735
2020-12-02,K,59.61,59.88,58.65,58.85,2249251,-0.76005,-1.27,59.2475
2020-12-03,K,58.74,59.18,58.6,59.11,1850349,0.37533,0.62989,58.9075
