date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
2006-03-31,KDP,2006,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.08629088378566457,0.08629088378566457,0.08629088378566457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270833330403226,0.0,0.0,0.0,0.7838088600417538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.562580652338814,0.4800000006193548,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Defensive
2006-06-30,KDP,2006,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.08629088378566457,0.08629088378566457,0.08629088378566457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270833330403226,0.0,0.0,0.0,0.7838088600417538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.562580652338814,0.4800000006193548,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Defensive
2006-09-30,KDP,2006,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.08629088378566457,0.08629088378566457,0.08629088378566457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270833330403226,0.0,0.0,0.0,0.7838088600417538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.562580652338814,0.4800000006193548,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Defensive
2006-12-31,KDP,2006,Q4,USD,1.0,-7.702830188679245,-7.702830188679245,-7.702830188679245,0.0,0.32547169811320753,0.32547169811320753,0.32547169811320753,0.3642611683848797,0.0,0.0,0.56158940397351,0.04536700192595763,0.9651094027202839,0.7876995860437611,0.022637795275590553,0.02069781194559432,2.0126796842753625,0.19321724969043463,0.19321724969043463,0.3418459032984616,2.6202810983962266,0.0,0.0,0.40573507382837576,1.1667692307692308,0.5384833854018745,0.4868961161982949,2.8756923076923075,0.0,,,0.0,-4.418079096045198,0.0,,,0.0,0.0,,,,1.663943613785784,0.5415665535434863,14.881307036499274,0.13735383604363782,12.754284775480654,-14.053259624921916,12.754284775480654,,,,0.0,0.0,0.3418459032984616,3.4131438157108427,0.0,-1.4905080176729946,,Consumer Defensive
2007-03-31,KDP,2007,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.0732574679943101,0.0732574679943101,0.0732574679943101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6585365833009713,-0.11741869909579288,-0.11741869909579288,0.0,0.7790306346514937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.596699033473164,0.4100000003184466,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Defensive
2007-06-30,KDP,2007,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.0732574679943101,0.0732574679943101,0.0732574679943101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6585365833009713,0.0,0.0,0.0,0.7790306346514937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.596699033473164,0.4100000003184466,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Defensive
2007-09-30,KDP,2007,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.0996742671009772,0.0996742671009772,0.0996742671009772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8030339725490196,0.038907575197110425,0.038907575197110425,0.0,0.7188643590879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.06512194530232,0.6045365847760619,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Defensive
2007-12-31,KDP,2007,Q4,USD,1.0,-2.3861527480371163,-2.3861527480371163,-2.3861527480371163,0.0,0.09850107066381156,0.09850107066381156,0.09850107066381156,0.6397260273972603,0.0,0.0,1.6140552995391706,0.13307370820668693,2.413215859030837,2.1268722466960353,0.032685672780098055,0.059030837004405284,1.9746376811594202,-0.23695652173913065,-0.23695652173913065,0.21708822943636727,0.7780157030692363,-5.190476190476191,-10.582524271844662,0.28856382978723405,0.6050587532364071,0.3769698473756049,0.36707424681709316,2.0967934674367656,0.0,-0.0907488986784141,-0.07351891506067094,2.0388349514563107,1.4285714285714286,0.0,-0.8174603174603174,-0.03390388413429888,-0.9626168224299065,-0.9626168224299065,0.0,0.0,0.0,5.604,0.552,12.152,0.268,20.084,-7.116,20.084,-0.412,0.428,-0.84,0.0,0.0,0.21708822943636727,2.7871559633027525,0.0,-1.2147771462758001,0.0,Consumer Defensive
2008-03-31,KDP,2008,Q1,USD,0.558530986993114,0.15531752104055088,0.17674062739097168,0.1423106350420811,0.11859219586840092,0.07268553940321347,0.07268553940321347,0.07268553940321347,0.6093240093240093,0.5875763747454175,1.6027777777777779,1.4920091324200913,0.12336007550731477,1.7291280148423005,1.5064935064935066,0.025765765765765766,0.061224489795918366,2.9108736842105265,-0.09417532507739935,-0.09417532507739935,0.21925312190287416,0.8463136954858455,19.752357142857143,11.06132,0.28683341198678625,0.6023785926660059,0.3759277585353785,0.0037519747235387046,2.1000991080277505,0.9392741645706073,0.06184291898577613,0.07651109410864575,0.56,0.2590909090909091,3.875,0.16339869281045752,0.03290556103981573,2.272727272727273,2.272727272727273,0.0,0.0,0.0,5.151754040204967,0.3744580212849823,12.16791486007095,0.390224674812771,19.885691761923532,-6.901852581789515,19.885691761923532,0.3941663381947182,0.173433188805676,0.22073314938904218,0.6129032258064516,0.8333333333333334,0.21925312190287416,0.5704563289010715,0.3870967741935484,17.515722943722945,0.0,Consumer Defensive
2008-06-30,KDP,2008,Q2,USD,0.5465639049454079,0.1798330122029544,0.19781631342324985,0.17276814386640976,0.12074502247912652,0.06936416184971098,0.06936416184971098,0.06936416184971098,2.3807339449541285,0.8050171037628279,2.028735632183908,1.6741935483870967,0.15559108623963225,1.3726201269265639,1.057116953762466,0.0235207100591716,0.271985494106981,1.9873148148148148,0.18879490740740762,0.18879490740740762,0.2644040652910379,0.5513937058445729,10.7315,4.82314606741573,0.3860297791545918,1.1897135817677857,0.5433192686357243,0.5287373004354137,3.0819217739451803,1.9584905660377359,0.1613780598368087,0.11432241490044959,0.449438202247191,0.7307692307692307,2.9239130434782608,0.8090909090909091,0.04607817758219001,1.816326530612245,1.816326530612245,0.0,0.0,0.0,6.1299212598425195,0.4251968503937008,15.570866141732283,1.1811023622047243,12.783464566929133,-13.9251968503937,12.783464566929133,0.7007874015748031,0.3858267716535433,0.31496062992125984,0.574468085106383,0.6988847583643123,0.2644040652910379,4.49960396962214,0.425531914893617,14.355584415584415,0.0,Consumer Defensive
