date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,KLAC,1986,Q1,USD,292863200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1985-12-31,KLAC,1986,Q2,USD,387619000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1986-03-31,KLAC,1986,Q3,USD,367765760.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1986-06-30,KLAC,1986,Q4,USD,304218000.0,278718000.0,11.911025641025642,0.0,0.0,-6.235302013422819,0.5704697986577181,3.575609756097561,0.0,0.0,0.4696467664635229,0.0,0.0,52800000.0,61800000.0,0.0,0.0,0.0,0.0,,-0.5752895752895753,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,80.76923076923077,0.0,0.0,80.76923076923077,80.76923076923077,,,75600000.0,50700000.0,Technology
1986-09-30,KLAC,1987,Q1,USD,232793880.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1986-12-31,KLAC,1987,Q2,USD,233612280.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1987-03-31,KLAC,1987,Q3,USD,365158080.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1987-06-30,KLAC,1987,Q4,USD,352779840.0,326879840.0,14.463709734513275,0.0,0.0,-5.87913381294964,0.4658273381294964,3.2096774193548385,0.0,0.0,0.42752442996742673,0.0,0.0,54800000.0,63200000.0,0.0,0.0,0.0,0.0,,-0.6130099228224918,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,92.38938053097344,0.0,0.0,92.38938053097344,92.38938053097344,,,87000000.0,51100000.0,Technology
1987-09-30,KLAC,1988,Q1,USD,342776720.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1987-12-31,KLAC,1988,Q2,USD,247707520.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
