date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1997-05-31,KMX,1998,Q1,USD,316970000.0,178470000.0,1.0048986486486486,18.211224489795917,-5.3116071428571425,-297.45,230.83333333333334,3.295415959252971,-8.166666666666666,,4.5871454711802375,0.6,1.3333333333333333,270400000,392400000,-0.002346958732642284,0.0,-0.002346958732642284,-0.0030721966205837174,-0.0019296740994854203,-0.0038119440914866584,-0.0037858472410638227,-0.10600372274978705,4.428571428571429,48.22222222222222,0.24436936936936937,0.0,0.0,0.0,0.0,,,,48.04054054054054,21.76875,43.59375,91.63429054054055,69.86554054054055,104900000,,390600000,267500000,Consumer Cyclical
1997-08-31,KMX,1998,Q2,USD,302170000.0,296070000.0,1.4344476744186045,-5.72669245647969,-2.428794093519278,-185.04375,3.8125,2.227470141150923,28.72222222222222,,2.617059519475792,0.6071428571428571,1.0769230769230769,226100000,388900000,-0.002950876583926402,-0.004782048924038992,-0.002950876583926402,-0.004372427983539095,-0.003060433169002382,-0.006634345496300076,-0.005625972134890955,-0.40341529602541615,-1.3578336557059962,70.2,0.34011627906976744,0.0,0.0,0.0,0.0,119350000.0,46100000.0,103150000.0,62.74709302325581,25.803858520900324,62.12218649517685,124.86927951843265,99.06542099753233,-115800000,-26478571.428571425,388800000,223000000,Consumer Cyclical
1997-11-30,KMX,1998,Q3,USD,265920000.0,378320000.0,1.6658740642888594,-13.757090909090909,-4.7527638190954775,-28.8793893129771,-8.580152671755725,2.0005955926146517,3.021978021978022,,1.0271886281588447,0.610738255033557,1.0205479452054795,168000000,381400000,-0.016515426497277677,-0.025907195457368467,-0.016515426497277677,-0.023959978936282253,-0.017594274908227965,-0.03811015400678674,-0.034220818291215406,-0.299338146811071,-1.8945454545454545,34.733333333333334,0.2294143549097314,0.0,0.0,0.0,0.0,166500000.0,44800000.0,128000000.0,74.94055482166446,15.456707897240724,54.46241674595623,129.40297156762068,113.94626367037996,-192000000,-1416778.5234899372,379800000,164700000,Consumer Cyclical
1998-02-28,KMX,1998,Q4,USD,204980000.0,206380000.0,0.7844165716457621,-12.35808383233533,-2.4194607268464243,-5.999418604651162,-0.040697674418604654,4.183453237410072,0.755656108597285,,1.2562048736462095,0.6088154269972452,1.0196629213483146,177000000,391100000,-0.04929734552754852,-0.07265085559891925,-0.04929734552754852,-0.061405946096137816,-0.05621979140167896,-0.09243697478991597,-0.10781539662406088,-0.4161381598204703,-4.107784431137724,57.166666666666664,0.26073736221968835,0.0,0.0,0.0,0.0,125000000.0,43650000.0,135600000.0,20.832383124287343,19.256163811115755,54.15796071876306,74.9903438430504,55.73418003193464,-86700000,-98073829.20110193,359900000,144200000,Consumer Cyclical
1998-05-31,KMX,1999,Q1,USD,210537000.0,247937000.0,0.7157534642032333,-5.37824295010846,-2.4694920318725098,-85.4955172413793,-12.89655172413793,3.846979865771812,14.40625,,0.7254069355980184,0.6037735849056604,1.06,212100000,415200000,-0.006510681586978637,-0.010640561821664184,-0.006510681586978637,-0.008941044984632579,-0.007225629307152469,-0.011990407673860911,-0.015199228639146564,-0.47687579855322343,-1.177874186550976,25.857142857142858,0.15675519630484988,0.0,0.0,0.0,0.0,65750000.0,58500000.0,169950000.0,18.342956120092378,19.454664914586072,57.920499342969784,76.26345546306216,56.80879054847608,-137800000,-90318867.9245283,357900000,153000000,Consumer Cyclical
1998-08-31,KMX,1999,Q2,USD,129601062.5,224001062.5,0.56000265625,-12.375749309392265,-3.8821674610051993,-172.30850961538462,-72.61538461538461,4.43202416918429,6.033333333333333,,-0.11300302804230482,0.6122448979591837,1.4,227200000,467600000,-0.005588673621460507,-0.0068073519400953025,-0.005588673621460507,-0.008441193021947102,-0.004498020870816841,-0.007437314067148321,-0.023147958374183854,-0.4452123993968028,-2.1878453038674035,18.0,0.099,0.0,0.0,0.0,0.0,80000000.0,59600000.0,188350000.0,20.115000000000002,13.668941979522184,46.27986348122867,66.39486348122867,52.72592150170648,-152100000,-54642857.14285714,355400000,112000000,Consumer Cyclical
1998-11-30,KMX,1999,Q3,USD,122980000.0,245380000.0,0.7093957791269153,-408.96666666666664,-6.340568475452196,-31.060759493670886,-15.49367088607595,2.133786848072562,0.0821917808219178,,-0.7583041958041958,0.6083333333333333,1.1650485436893203,150000000,403500000,-0.013260672116257947,-0.01894601305987308,-0.013260672116257947,-0.020928899082568807,-0.012916580773723632,-0.02462936394069823,-0.05935924540575704,-0.3146853146853147,-63.5,15.875,0.11014744145706852,0.0,0.0,0.0,0.0,94200000.0,52800000.0,177550000.0,25.758889852558543,15.464121132323898,51.63594470046083,77.39483455301938,61.93071342069548,-161100000,35234166.66666667,348800000,80600000,Consumer Cyclical
1999-02-28,KMX,1999,Q4,USD,101530000.0,229430000.0,0.6134491978609625,-13.338953488372093,-3.524270353302611,-23.174747474747473,-12.919191919191919,4.164835164835165,1.72,,-0.5965909090909091,0.6097560975609756,1.2424242424242424,259200000,463100000,-0.01750700280112045,-0.023535704733886064,-0.01750700280112045,-0.02937720329024677,-0.01625359549233618,-0.0269773145309626,-0.09849305623953512,-0.6411897961193735,-2.7848837209302326,14.515151515151516,0.12807486631016043,0.0,0.0,0.0,0.0,98200000.0,56000000.0,199900000.0,23.43850267379679,16.600863664404688,62.60024676125849,86.03874943505528,69.4378857706506,-193000000,-161848780.4878049,340400000,110300000,Consumer Cyclical
1999-05-31,KMX,2000,Q1,USD,114065250.0,301565250.0,0.6203769800452582,-17.844097633136094,-4.848315916398714,34.41347141389935,21.39678192399863,2.0952874158467116,-6.2592592592592595,3.0900808444310393,-1.5775921018890504,0.6136363636363636,0.7139380171994159,211500000,426100000,0.004097738655334649,0.01002032355093082,0.004097738655334649,0.007844276583381755,0.0068006490003433,0.013231000429368828,0.023670662186774678,-0.5453019214879203,-2.6804733727810652,17.423076923076923,0.09319070150174862,0.0,0.0,0.0,0.0,112550000.0,68100000.0,243650000.0,23.643283275046286,16.31703844328429,55.91362126245848,79.55690453750476,63.239866094220474,-249700000,8781840.909090906,344200000,89900000,Consumer Cyclical
1999-08-31,KMX,2000,Q2,USD,82362500.0,295562500.0,0.5517313795034534,-31.111842105263158,-10.8264652014652,24.426652892561982,17.619834710743802,2.0064543889845097,-2.878787878787879,3.3079744942294425,-2.0242070116861437,0.6153846153846154,0.6582278481012658,233900000,459400000,0.004369197160021846,0.011356285488392152,0.004369197160021846,0.009169054441260744,0.007980201020253548,0.0158,0.03885263317650629,-0.33146152678706936,-1.8736842105263158,4.238095238095238,0.033227552734739596,0.0,0.0,0.0,0.0,135650000.0,88400000.0,273900000.0,24.125443345155873,19.320076972418217,55.03527902501603,79.1607223701719,59.840645397753676,-240500000,-31138461.538461536,349000000,82900000,Consumer Cyclical
