date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,KO,47.67,48.23,47.2,47.69,17276500,0.02,0.04195511,47.6975
2020-07-31,KO,47.44,47.77,46.73,47.24,14850566,-0.2,-0.42159,47.295
2020-08-03,KO,47.14,47.36,46.23,46.3,14141813,-0.84,-1.78,46.7575
2020-08-04,KO,46.29,46.86,46.22,46.69,11717200,0.4,0.86412,46.515
2020-08-05,KO,46.9,47.27,46.81,47.22,10561639,0.32,0.6823,47.05
2020-08-06,KO,46.66,47.53,46.6,47.48,10745032,0.82,1.76,47.0675
2020-08-07,KO,47.47,48.08,47.21,47.8,11669705,0.33,0.69518,47.64
2020-08-10,KO,48.06,48.28,47.66,47.72,11888000,-0.34,-0.70745,47.93
2020-08-11,KO,48.46,48.65,47.7,47.93,16531600,-0.53,-1.09,48.185
2020-08-12,KO,48.3,48.69,48.12,48.43,9564025,0.13,0.26915,48.385
2020-08-13,KO,48.26,48.73,48.06,48.38,9882909,0.12,0.24865,48.3575
2020-08-14,KO,48.34,48.69,48.03,48.45,10075809,0.11,0.22755,48.3775
2020-08-17,KO,48.32,48.75,48.2,48.21,9102400,-0.11,-0.22765,48.37
2020-08-18,KO,48.2,48.5,47.96,48.42,9829000,0.22,0.45643,48.27
2020-08-19,KO,48.12,48.38,47.22,47.37,17371036,-0.75,-1.56,47.7725
2020-08-20,KO,47.27,47.6,47.09,47.35,11308737,0.08,0.16924,47.3275
2020-08-21,KO,47.34,47.5,46.97,47.28,14734120,-0.06,-0.12674,47.2725
2020-08-24,KO,47.43,47.98,47.18,47.97,9257725,0.54,1.14,47.64
2020-08-25,KO,48.0,48.05,47.65,47.91,7827833,-0.09,-0.1875,47.9025
2020-08-26,KO,47.76,48.18,47.47,48.16,10124200,0.4,0.83752,47.8925
2020-08-27,KO,48.25,48.82,48.2,48.23,10931635,-0.02,-0.04145078,48.375
2020-08-28,KO,48.75,49.85,48.53,49.83,16420300,1.08,2.22,49.24
2020-08-31,KO,49.8,50.07,49.35,49.53,18510800,-0.27,-0.54217,49.6875
2020-09-01,KO,49.31,49.35,48.83,49.12,12590434,-0.19,-0.38532,49.1525
2020-09-02,KO,49.36,51.36,49.36,51.19,26332630,1.83,3.71,50.3175
2020-09-03,KO,51.4,52.14,50.1,50.48,22289400,-0.92,-1.79,51.03
2020-09-04,KO,50.94,51.47,50.28,51.04,21019545,0.1,0.19631,50.9325
2020-09-08,KO,50.93,51.04,49.36,49.81,17776745,-1.12,-2.2,50.285
2020-09-09,KO,49.6,50.76,49.55,50.19,15252300,0.59,1.19,50.025
2020-09-10,KO,50.35,50.68,49.95,50.0,15439505,-0.35,-0.69513,50.245
2020-09-11,KO,50.4,51.2,50.1,51.06,18272338,0.66,1.31,50.69
2020-09-14,KO,50.97,51.23,50.57,50.71,10911700,-0.26,-0.5101,50.87
2020-09-15,KO,51.0,51.38,50.84,51.05,12838400,0.05,0.09803922,51.0675
2020-09-16,KO,50.95,51.45,50.74,50.79,15354678,-0.16,-0.31403,50.9825
2020-09-17,KO,50.22,50.63,49.94,50.55,13287136,0.33,0.65711,50.335
2020-09-18,KO,50.75,51.16,50.21,50.45,23816602,-0.3,-0.59113,50.6425
2020-09-21,KO,49.75,50.02,48.61,49.09,17514800,-0.66,-1.33,49.3675
2020-09-22,KO,49.11,50.04,49.07,49.66,13034616,0.55,1.12,49.47
2020-09-23,KO,49.73,49.92,48.17,48.21,17121210,-1.52,-3.06,49.0075
2020-09-24,KO,48.21,49.1,47.56,48.7,16788103,0.49,1.02,48.3925
2020-09-25,KO,48.2,48.76,47.98,48.72,12603400,0.52,1.08,48.415
2020-09-28,KO,49.31,49.71,49.14,49.28,11215708,-0.03,-0.06083959,49.36
2020-09-29,KO,49.39,49.56,48.91,48.92,12427767,-0.47,-0.95161,49.195
2020-09-30,KO,49.27,49.62,48.89,49.37,15755901,0.1,0.20296,49.2875
2020-10-01,KO,49.44,49.66,48.59,49.18,17577300,-0.26,-0.52589,49.2175
2020-10-02,KO,48.76,49.58,48.55,49.36,13610100,0.6,1.23,49.0625
2020-10-05,KO,49.43,49.55,49.12,49.38,10628736,-0.05,-0.10115,49.37
2020-10-06,KO,49.55,49.73,48.83,48.94,10077431,-0.61,-1.23,49.2625
2020-10-07,KO,49.02,49.76,48.95,49.56,10135646,0.54,1.1,49.3225
2020-10-08,KO,49.71,50.54,49.54,50.46,12143920,0.75,1.51,50.0625
2020-10-09,KO,50.67,51.23,50.6,50.81,11407809,0.14,0.2763,50.8275
2020-10-12,KO,50.84,51.53,50.83,51.09,11386512,0.25,0.49174,51.0725
2020-10-13,KO,50.99,50.99,49.9,50.22,14365300,-0.77,-1.51,50.525
2020-10-14,KO,50.05,50.49,49.65,50.12,10582935,0.07,0.13986,50.0775
2020-10-15,KO,49.4,50.13,49.3,49.99,9963190,0.59,1.19,49.705
2020-10-16,KO,49.99,50.35,49.87,50.03,13570725,0.04,0.080016,50.06
2020-10-19,KO,50.03,50.48,49.46,49.62,9930443,-0.41,-0.81951,49.8975
2020-10-20,KO,49.89,50.62,49.79,50.25,10972732,0.36,0.72159,50.1375
2020-10-21,KO,49.96,50.43,49.77,49.99,12517411,0.03,0.06004804,50.0375
2020-10-22,KO,51.17,51.2,50.38,50.68,20189227,-0.49,-0.95759,50.8575
2020-10-23,KO,51.0,51.18,50.47,50.52,13491300,-0.48,-0.94118,50.7925
2020-10-26,KO,50.34,50.51,49.2,49.8,14696400,-0.54,-1.07,49.9625
2020-10-27,KO,49.81,50.29,49.55,49.9,13892109,0.09,0.18069,49.8875
2020-10-28,KO,49.0,49.15,47.78,47.96,19886200,-1.04,-2.12,48.4725
2020-10-29,KO,47.73,48.48,47.3,48.02,15369900,0.29,0.60758,47.8825
2020-10-30,KO,47.81,48.12,47.37,48.06,15805004,0.25,0.5229,47.84
2020-11-02,KO,48.75,48.95,48.24,48.62,15156149,-0.13,-0.26667,48.64
2020-11-03,KO,49.22,49.96,49.0,49.35,15285100,0.13,0.26412,49.3825
2020-11-04,KO,49.43,50.21,49.08,49.17,12930818,-0.26,-0.526,49.4725
2020-11-05,KO,49.76,50.21,49.34,49.44,12452432,-0.32,-0.64309,49.6875
2020-11-06,KO,49.65,49.99,49.25,49.45,9294903,-0.2,-0.40282,49.585
2020-11-09,KO,52.5,53.26,52.07,52.57,33442000,0.07,0.13333,52.6
2020-11-10,KO,52.57,54.28,52.45,53.98,29706700,1.41,2.68,53.32
2020-11-11,KO,53.93,54.3,53.33,53.58,17399922,-0.35,-0.64899,53.785
2020-11-12,KO,53.05,53.21,52.61,53.01,15026961,-0.04,-0.07540057,52.97
2020-11-13,KO,53.25,53.5,52.89,53.45,12449444,0.2,0.37559,53.2725
2020-11-16,KO,54.5,54.62,53.28,53.85,14908200,-0.65,-1.19,54.0625
2020-11-17,KO,53.66,53.75,53.03,53.68,14248400,0.02,0.03727171,53.53
2020-11-18,KO,53.75,54.02,52.56,52.61,15278206,-1.14,-2.12,53.235
2020-11-19,KO,52.49,53.23,51.95,53.13,17189549,0.64,1.22,52.7
2020-11-20,KO,53.19,53.25,52.59,52.67,15647921,-0.52,-0.97763,52.925
2020-11-23,KO,52.95,53.17,52.2,52.68,13194015,-0.27,-0.50992,52.75
2020-11-24,KO,53.14,53.59,53.02,53.22,13836367,0.08,0.15055,53.2425
2020-11-25,KO,53.07,53.28,52.79,52.93,10194800,-0.14,-0.2638,53.0175
2020-11-27,KO,53.11,53.19,52.61,52.7,8499300,-0.41,-0.77198,52.9025
2020-11-30,KO,52.09,52.19,51.08,51.6,43203600,-0.49,-0.94068,51.74
2020-12-01,KO,52.14,52.33,51.79,52.04,18969341,-0.1,-0.19179,52.075
2020-12-02,KO,51.9,52.13,51.64,52.11,14913100,0.21,0.40462,51.945
2020-12-03,KO,51.9,52.94,51.9,52.78,17318900,0.88,1.7,52.38
2020-12-04,KO,52.78,53.87,52.76,53.85,18122400,1.07,2.03,53.315
2020-12-07,KO,53.76,53.78,52.7,52.99,16210900,-0.77,-1.43,53.3075
2020-12-08,KO,52.94,53.48,52.79,53.18,12485802,0.24,0.45334,53.0975
2020-12-09,KO,53.37,53.6,53.0,53.33,11508587,-0.04,-0.07494847,53.325
2020-12-10,KO,53.4,53.51,52.98,53.05,12097340,-0.35,-0.65543,53.235
2020-12-11,KO,52.8,53.54,52.78,53.35,10638103,0.55,1.04,53.1175
2020-12-14,KO,53.65,53.84,53.18,53.27,22292031,-0.38,-0.70829,53.485
2020-12-15,KO,53.79,54.22,53.6,53.84,16194487,0.05,0.09295408,53.8625
2020-12-16,KO,53.6,53.8,52.94,53.06,15679648,-0.54,-1.01,53.35
2020-12-17,KO,53.3,53.71,53.15,53.27,12677329,-0.03,-0.05628518,53.3575
2020-12-18,KO,53.08,53.84,52.62,53.74,35480123,0.66,1.24,53.32
2020-12-21,KO,52.68,53.0,51.98,52.81,14926602,0.13,0.24677,52.6175
2020-12-22,KO,52.81,53.18,52.39,52.76,9691586,-0.05,-0.09467904,52.785
