date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,L,1985,Q3,USD,1.0,0.0,0.1285731159933853,0.1285731159933853,-0.04246397354122372,0.08610914245216159,0.1285731159933853,0.1285731159933853,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.045090399632522,0.0,0.0,0.0,2.0803595086227262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.955225062011943,0.5534626038781164,55.34626038781164,1.7352769966138937,0.22310997056629142,,,,,,,,,-3.0278164116828927,-0.33027101515847496,0.0,,3.0278164116828927,,1.998,Financial Services
1985-12-31,L,1985,Q4,USD,1.0,0.0,0.07986400222037192,0.07986400222037192,-0.0006938662225922842,0.07917013599777963,0.07986400222037192,0.07986400222037192,0.0,0.0,0,0.0,0.08940557575156019,0.0,0.0,0.008415219044276773,0.0,9.497889052997394,-0.20895355916594263,-0.20895355916594263,1.7905282614036524,3.0341577296697197,0.0,0.0,0.04906388416729736,0.32384735074932436,0.24462590083820482,0.24462590083820482,6.600524117598886,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0886987732406603,0.054977973568281935,5.497797356828193,1.4962966346822706,0.11950023775459988,0.821135864814188,0.0,2.5355645581605892,2.5355645581605892,2.5355645581605892,,,,-115.1,-0.008688097306689836,1.7905282614036524,0.18086693057581235,115.1,44.86297237185057,0.2496,Financial Services
1986-03-31,L,1986,Q1,USD,1.0,0.0,0.0558,0.0558,0.0,0.0558,0.0558,0.0558,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.053721281362007,0.0,0.0,0.0,2.69039059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0820822365591396,0.043183391003460206,4.31833910034602,2.1483869373777433,0.11987999110567808,,,,,,,,,0.0,0.0,0.0,,0.0,,0.2496,Financial Services
1986-06-30,L,1986,Q2,USD,1.0,0.0,0.07981818181818182,0.07981818181818182,0.0,0.07981818181818182,0.07981818181818182,0.07981818181818182,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.966298917995445,0.15932597835990892,0.15932597835990892,0.0,2.543421981818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.388054596810934,0.043560209424083764,4.356020942408376,2.252870361647135,0.17982001613874404,,,,,,,,,0.0,0.0,0.0,,0.0,,0.2496,Financial Services
1986-09-30,L,1986,Q3,USD,1.0,0.0,0.07485072844518749,0.07485072844518749,0.0,0.07485072844518749,0.07485072844518749,0.07485072844518749,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.03928637523931,-0.7235357737715383,-0.7235357737715383,0.0,2.4069857654645332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5615609955328653,0.04856031128404669,4.856031128404669,2.1354509335903833,0.15984005793819586,,,,,,,,,0.0,0.0,0.0,,0.0,,0.2496,Financial Services
1986-12-31,L,1986,Q4,USD,1.0,0.0,0.043558413719185424,0.043558413719185424,0.0,0.043558413719185424,0.043558413719185424,0.043558413719185424,0.0,0.0,0,0.0,0.1226063508249975,0.0,0.0,0.00630754235551941,0.0,11.710625738188977,-0.31228335301837273,-0.31228335301837273,1.6317624288555166,2.0403851232583063,0.0,0.0,0.06701429224728374,0.4371185627100048,0.3041631874030777,0.3041631874030777,6.5227662346567925,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.410698708661417,0.0514639175257732,5.146391752577319,2.3770022358597664,0.10353844680100847,1.299224073096513,0.0,2.9722463970454855,2.9722463970454855,2.9722463970454855,,,,0.0,0.0,1.6317624288555166,0.26788125218484804,0.0,59.3907312992126,0.2496,Financial Services
1987-03-31,L,1987,Q1,USD,1.0,0.0,0.04128353398426391,0.04128353398426391,0.0,0.04128353398426391,0.04128353398426391,0.04128353398426391,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.68235671641791,-1.5527085857839502,-1.5527085857839502,0.0,2.589692425822353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23171304893880598,0.003693849290780142,0.36938492907801423,2.177864808871666,0.08990995585018585,,,,,,,,,0.0,0.0,0.0,,0.0,,0.02083331,Financial Services
1987-06-30,L,1987,Q2,USD,1.0,0.0,0.07988362427265171,0.07988362427265171,0.0,0.07988362427265171,0.07988362427265171,0.07988362427265171,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.611450650364204,0.04948954316967044,0.04948954316967044,0.0,2.1125865586034913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10090725344229969,0.0038156245421245424,0.38156245421245427,2.5845094856654254,0.20645998468200114,,,,,,,,,0.0,0.0,0.0,,0.0,,0.02083331,Financial Services
1987-09-30,L,1987,Q3,USD,1.0,0.0,0.05623318385650224,0.05623318385650224,0.0,0.05623318385650224,0.05623318385650224,0.05623318385650224,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.53892196969697,-0.43616765909090915,-0.43616765909090915,0.0,3.2702794887892375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15259136950151517,0.002623842569269521,0.26238425692695216,2.427927040248062,0.13653006764444262,,,,,,,,,0.0,0.0,0.0,,0.0,,0.02083331,Financial Services
1987-12-31,L,1987,Q4,USD,1.0,0.0,0.11282269613345203,0.11282269613345203,-0.015404265201068235,0.0974184309323838,0.11282269613345203,0.11282269613345203,0.0,0.0,0,0.0,0.11633467211786107,0.0,0.0,0.015376986743613144,0.0,4.317490651801029,0.033580482847341345,0.033580482847341345,1.547887372013652,1.948443743468669,0.0,0.0,0.06541883543756641,0.4467300064569689,0.30878602397347615,0.30878602397347615,6.828767333886788,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.06482711435753002,0.0037537495495495498,0.37537495495495504,2.848427119645625,0.32136722737806234,1.6017648187224247,0.0,3.585532190743301,3.585532190743301,3.585532190743301,,,,-7.324120603015075,-0.13653516295025728,1.547887372013652,0.28860627364368013,7.324120603015075,22.25418216123499,0.02083331,Financial Services
