date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,LHX,171.76,174.17,171.05,173.23,1255600,1.47,0.85585,172.5525
2020-07-31,LHX,172.8,174.65,166.84,168.33,2305667,-4.47,-2.59,170.655
2020-08-03,LHX,170.0,170.62,167.8,167.88,1982100,-2.12,-1.25,169.075
2020-08-04,LHX,168.78,169.63,166.43,167.29,1494247,-1.49,-0.88281,168.0325
2020-08-05,LHX,168.33,173.05,168.26,172.14,1907700,3.81,2.26,170.445
2020-08-06,LHX,171.11,173.67,171.11,173.67,1501590,2.56,1.5,172.39
2020-08-07,LHX,173.84,176.99,173.4,175.64,1492500,1.8,1.04,174.9675
2020-08-10,LHX,175.53,180.0,175.4,179.18,1461842,3.65,2.08,177.5275
2020-08-11,LHX,182.32,185.75,180.58,180.64,1920813,-1.68,-0.92146,182.3225
2020-08-12,LHX,183.34,185.45,181.31,183.07,2013956,-0.27,-0.14727,183.2925
2020-08-13,LHX,181.13,184.58,180.16,180.97,1518748,-0.16,-0.08833435,181.71
2020-08-14,LHX,178.46,183.24,178.16,182.58,1178438,4.12,2.31,180.61
2020-08-17,LHX,182.88,185.16,180.95,181.55,1401115,-1.33,-0.72725,182.635
2020-08-18,LHX,181.55,182.64,179.72,180.98,993942,-0.57,-0.31396,181.2225
2020-08-19,LHX,180.1,182.2,179.99,181.18,1117300,1.08,0.59967,180.8675
2020-08-20,LHX,180.26,181.66,178.69,178.96,973347,-1.3,-0.72118,179.8925
2020-08-21,LHX,178.28,180.3,178.0,178.59,1645900,0.31,0.17388,178.7925
2020-08-24,LHX,179.33,182.96,178.12,182.53,921128,3.2,1.78,180.735
2020-08-25,LHX,183.6,185.18,181.0,181.02,1156162,-2.58,-1.41,182.7
2020-08-26,LHX,180.14,180.3,178.5,179.3,1657231,-0.84,-0.4663,179.56
2020-08-27,LHX,180.04,182.72,179.68,181.17,1294645,1.13,0.62764,180.9025
2020-08-28,LHX,181.72,181.75,179.25,179.89,1096774,-1.83,-1.01,180.6525
