date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1991-03-31,LIN,1991,Q1,USD,1948909087.3000002,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013853904307771248,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1991-06-30,LIN,1991,Q2,USD,1933217392.3400002,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014483627196271139,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1991-09-30,LIN,1991,Q3,USD,2029111114.64,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011335012574745371,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1991-12-31,LIN,1991,Q4,USD,2029111114.64,2515111114.6400003,4.076355129076176,0.0,0.0,-1.7040048202168023,-0.32926829268292684,0.44253490870032225,0.0,2.548364866631083,-7.4034782479939505,0.0,0.0,-1038000000.0,1300000000.0,0.008403361344537815,0.0,0.008403361344537815,0.04461538461538461,,-0.9288860918816866,0.01429197237685286,,0.0,0.0,,0.0,0.0,,0.0,,,,69.14100486223663,0.0,0.0,69.14100486223663,69.14100486223663,,,1032000000.0,-1595000000.0,Basic Materials
1992-03-31,LIN,1992,Q1,USD,2015538462.76,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.016372795959850393,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1992-06-30,LIN,1992,Q2,USD,2108000003.72,3582000003.7200003,5.410876138549849,0.0,0.0,19.15508023379679,7.882352941176471,0.5958395245170877,0.0,2.8631700295521423,-7.1557352814898785,0.6415094339622641,0.43089430894308944,-544000000.0,1838000000.0,0.00963718820861678,0.0,0.00963718820861678,0.04638472032742155,0.02585375503845298,0.056370302474793764,0.016129032229601516,,0.0,0.0,,0.0,0.0,,0.0,,,,70.15105740181268,58.58725761772853,47.61772853185596,117.76878593366864,59.181528315940106,,,1156000000.0,-1570000000.0,Basic Materials
1992-09-30,LIN,1992,Q3,USD,2092307696.0,3596307696.0,5.515809349693251,85.62637371428572,-73.3940346122449,21.154751152941177,8.847058823529412,0.6058917197452229,1.2352941176470589,2.9077432070927824,-7.138529399167301,0.7906976744186046,0.40186915887850466,-495000000.0,1896000000.0,0.009659090909090909,0.03036322360953462,0.009659090909090909,0.04497354497354497,0.02744231305961424,0.04726148409893993,0.01624999997132353,-0.02341911760573097,2.1666666666666665,1.4444444444444444,0.13957055214723926,0.0,0.0,0.0,0.0,522000000.0,204000000.0,169500000.0,72.88343558282209,42.42506811989101,36.294277929155314,109.1777135119774,66.7526453920864,-1553000000.0,7604651.162790716,1176000000.0,-1583000000.0,Basic Materials
1992-12-31,LIN,1992,Q4,USD,2149178996.1200004,3577178996.1200004,5.615665614003141,30.31507623830509,89.42947490300001,25.921586928405798,10.347826086956522,0.5710743801652892,-6.9411764705882355,,-7.538057569540585,5.03125,-0.4507042253521127,-519000000.0,1796000000.0,-0.04814593301435407,0.020687645687645688,-0.04814593301435407,-0.2959558823529412,0.012930665066849503,0.03327085285848173,-0.07491232712150073,0.01861175829105608,0.6610169491525424,1.164179104477612,0.12244897959183673,0.0,0.0,0.0,0.0,509500000.0,177000000.0,147500000.0,69.37205651491365,43.90835579514825,35.66037735849057,105.03243387340422,61.12407807825596,-1388000000.0,50718750.0,945000000.0,-1708000000.0,Basic Materials
1993-03-31,LIN,1993,Q1,USD,2325840000.0,3737840000.0,6.292659932659933,55.78865671641791,339.8036363636364,25.60164383561644,9.67123287671233,0.7933701657458564,2.0303030303030303,2.494311710490673,-7.168560606060606,0.7674418604651163,0.5375,-187000000.0,2109000000.0,0.009871373018247084,0.023927022581127562,0.009871373018247084,0.05650684931506849,0.021047428466647002,0.03281378178835111,0.014188422247446084,0.004729474082482028,0.835820895522388,0.8484848484848485,0.09427609427609428,0.0,0.0,0.0,0.0,487500000.0,173000000.0,147000000.0,73.33333333333333,44.06528189910979,39.25816023738872,112.59149357072205,68.52621167161226,-1401000000.0,-260604651.1627907,986000000.0,-1639000000.0,Basic Materials
1993-06-30,LIN,1993,Q2,USD,2103571425.25,3443571425.25,5.527401966693419,26.69435213372093,47.17221130479452,22.074175802884614,8.58974358974359,0.8348729792147807,3.3947368421052633,2.6541278716534293,-6.738421063271191,0.76,0.5494505494505495,-143000000.0,2124000000.0,0.011449231696294065,0.02731912338637046,0.011449231696294065,0.06260296540362438,0.02393907926618207,0.0370974317162658,0.01806451615755518,0.03470288630267179,0.43410852713178294,0.8615384615384616,0.0898876404494382,0.0,0.0,0.0,0.0,482000000.0,166000000.0,146500000.0,69.34189406099519,42.82051282051282,37.43589743589744,106.77779149689263,63.957278676379815,-1267000000.0,34160000.0,1013000000.0,-1583000000.0,Basic Materials
