date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,LLY,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.15496890468333546,0.15496890468333546,0.15496890468333546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.384602129402131,0.0,0.0,0.0,7.676912907729407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45784111384111387,0.009242144177449169,0.9242144177449167,0.7047103523283437,0.10920819141933083,,,,,,,,,0.0,0.0,0.0,,0.0,,0.05,Healthcare
1985-12-31,LLY,1985,Q4,USD,1.0,-2.0675642594859243,-2.0675642594859243,-2.0675642594859243,0.0,0.15238678090575275,0.15238678090575275,0.0,1.1900946831755281,0.0,0.0,0.5946142649199417,0.20664187975820117,1.8552304455918913,1.1914323962516733,0.07950191570881227,0.3883151654235992,15.61940610441767,1.7181346714859453,1.7181346714859453,3.2577225949658666,9.52076406364749,0.0,0.0,0.06034853428434125,0.09992880177576748,0.09085024559265888,0.09085024559265888,1.6558612891066717,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.4481895582329317,0.0071736011477761845,0.7173601147776184,0.7320841009612972,0.11155993949777418,0.21380081577645718,0.3638914974300891,2.139531466175385,2.055032652563818,2.139531466175385,,,,0.0,0.0,3.2577225949658666,0.03067443554898955,0.0,-4.50566199384324,0.05,Healthcare
1986-03-31,LLY,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.17464332692502277,0.17464332692502277,0.17464332692502277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.049080996523756,0.45147242989571246,0.45147242989571246,0.0,10.512886289588181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363699594438007,0.0060418904403866805,0.604189044038668,0.8855798249449817,0.15466060688607086,,,,,,,,,0.0,0.0,0.0,,0.0,,0.05625,Healthcare
1986-06-30,LLY,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.14295462299556466,0.14295462299556466,0.14295462299556466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.43969594272076,-0.8975878377088304,-0.8975878377088304,0.0,12.831433094506995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49939976133651554,0.00556379821958457,0.556379821958457,0.7879088738987376,0.11263521602305393,,,,,,,,,0.0,0.0,0.0,,0.0,,0.05625,Healthcare
1986-09-30,LLY,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.15349784921892687,0.15349784921892687,0.15349784921892687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.809835250737464,2.017180230088492,2.017180230088492,0.0,10.321094226850803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4629391592920354,0.0068849449204406365,0.6884944920440637,0.7915827353601101,0.12150624735661188,,,,,,,,,0.0,0.0,0.0,,0.0,,0.05625,Healthcare
1986-12-31,LLY,1986,Q4,USD,1.0,-1.950381679389313,-1.950381679389313,-1.950381679389313,0.0,0.12822364349081905,0.12822364349081905,0.12822364349081905,1.244256193043255,0.0,0.0,0.6345902068604347,0.2109317202663301,1.7825376344086021,1.185032258064516,0.06696476672772331,0.4180645161290323,20.763309412711184,-2.6992302236524517,-2.6992302236524517,3.7682572054314494,10.649388735300185,0.0,0.0,0.13625484137690935,0.22857351438166157,0.18604789351714301,0.12609652620498263,1.6775441670316835,0.0,,,0.0,-7.6500649631875275,0.0,,,0.0,0.0,0.5034207562349156,0.006061422413793104,0.6061422413793104,0.8714115176619491,0.11173555977447934,0.5629027154527673,0.4368743527787366,2.462676907145323,2.032274767000345,2.462676907145323,,,,0.0,0.0,3.7682572054314494,0.06065762019965164,0.0,-5.53430868990321,0.05625,Healthcare
1987-03-31,LLY,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.19376770538243626,0.19376770538243626,0.19376770538243626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.504879532163741,0.3100975906432748,0.3100975906432748,0.0,12.017379716713881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33883040935672515,0.005463286713286714,0.5463286713286714,0.9519546082153952,0.18445806006213325,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0625,Healthcare
1987-06-30,LLY,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.1477004716981132,0.1477004716981132,0.1477004716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.704948502994014,-0.7813781461077848,-0.7813781461077848,0.0,12.823324528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4625948103792415,0.005328218243819267,0.5328218243819267,0.9147393855712806,0.1351074387297204,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0625,Healthcare
1987-09-30,LLY,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.15662524798997599,0.15662524798997599,0.15662524798997599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.354787599999998,0.0,0.0,0.0,14.00529660645296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46456333333333333,0.005195344970906068,0.5195344970906068,0.8589607444984179,0.1345349396207191,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0625,Healthcare
1987-12-31,LLY,1987,Q4,USD,1.0,-4.002132895816243,-4.002132895816243,-4.002132895816243,0.0,-0.15586546349466776,-0.15586546349466776,0.22674323215750616,0.654320987654321,0.0,0.0,0.3710806697108067,0.11598698357723268,1.8810247203424941,1.4560143626570916,-0.042941734846087785,0.7118491921005387,-28.60732105263158,3.718951736842102,3.718951736842102,3.5728593965687243,17.835573420836752,0.0,0.0,0.11492131153780281,0.1984815618221258,0.16561085972850678,0.10729689287914797,1.7271083941365937,0.0,,,0.0,-10.63937867338371,0.0,,,0.0,0.0,-0.733521052631579,0.00641025641025641,0.6410256410256411,0.5466603046588553,-0.08520546175978876,0.5416376669130151,0.9246137950333287,2.728906715266666,2.374003544547209,2.728906715266666,,,,0.0,0.0,3.5728593965687243,0.055552581221847704,0.0,-4.28146681424999,0.0625,Healthcare
