date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,LOW,147.87,149.9,146.9,149.2,2575043,1.33,0.89944,148.4675
2020-07-31,LOW,149.47,149.92,146.61,148.91,3928596,-0.56,-0.37466,148.7275
2020-08-03,LOW,149.9,151.35,149.5,150.27,3137355,0.37,0.24683,150.255
2020-08-04,LOW,149.75,150.74,148.78,149.67,2381645,-0.08,-0.05342237,149.735
2020-08-05,LOW,149.94,150.46,148.71,150.26,3050364,0.32,0.21342,149.8425
2020-08-06,LOW,150.25,152.24,149.64,151.19,2450175,0.94,0.62562,150.83
2020-08-07,LOW,151.95,154.12,151.7,152.78,2904970,0.83,0.54623,152.6375
2020-08-10,LOW,153.23,154.71,153.02,153.72,3065394,0.49,0.31978,153.67
2020-08-11,LOW,155.06,155.42,152.87,153.87,3723000,-1.19,-0.76744,154.305
2020-08-12,LOW,156.13,157.98,154.56,156.63,3792902,0.5,0.32025,156.325
2020-08-13,LOW,156.36,157.15,155.14,155.7,2272323,-0.66,-0.4221,156.0875
2020-08-14,LOW,155.57,156.08,153.91,154.34,3404900,-1.23,-0.79064,154.975
2020-08-17,LOW,157.26,158.72,155.85,158.41,5159600,1.15,0.73127,157.56
2020-08-18,LOW,159.8,160.6,157.0,157.91,5741440,-1.89,-1.18,158.8275
2020-08-19,LOW,161.0,162.89,156.26,158.28,9727137,-2.72,-1.69,159.6075
2020-08-20,LOW,156.58,159.16,156.5,158.58,4288539,2.0,1.28,157.705
2020-08-21,LOW,159.09,162.08,158.47,161.72,4568809,2.63,1.65,160.34
2020-08-24,LOW,163.69,165.65,163.01,165.63,4872703,1.94,1.19,164.495
2020-08-25,LOW,166.39,167.43,164.37,165.92,3490900,-0.47,-0.28247,166.0275
2020-08-26,LOW,167.66,170.5,167.03,170.39,5319007,2.73,1.63,168.895
2020-08-27,LOW,170.7,171.32,165.34,166.31,4425020,-4.39,-2.57,168.4175
2020-08-28,LOW,166.08,166.89,164.09,165.51,3291400,-0.57,-0.34321,165.6425
2020-08-31,LOW,165.77,166.37,163.68,164.69,3421317,-1.08,-0.65151,165.1275
2020-09-01,LOW,164.41,167.64,164.11,167.59,4285439,3.18,1.93,165.9375
2020-09-02,LOW,167.86,170.83,166.6,170.49,4262700,2.63,1.57,168.945
2020-09-03,LOW,169.7,170.48,160.36,161.52,5734405,-8.18,-4.82,165.515
2020-09-04,LOW,162.93,163.17,153.44,156.39,6303827,-6.54,-4.01,158.9825
2020-09-08,LOW,153.94,156.86,151.89,153.74,4892810,-0.2,-0.12992,154.1075
2020-09-09,LOW,155.89,161.19,155.1,159.53,4382600,3.64,2.33,157.9275
2020-09-10,LOW,160.09,162.93,157.06,158.33,4129200,-1.76,-1.1,159.6025
2020-09-11,LOW,160.35,162.59,159.44,161.89,4870800,1.54,0.9604,161.0675
2020-09-14,LOW,163.17,165.8,163.0,165.19,3583326,2.02,1.24,164.29
2020-09-15,LOW,167.44,169.88,166.62,169.03,3998100,1.59,0.94959,168.2425
2020-09-16,LOW,170.37,171.72,166.11,166.71,3815603,-3.66,-2.15,168.7275
2020-09-17,LOW,163.11,165.92,161.92,163.78,3717813,0.67,0.41077,163.6825
2020-09-18,LOW,161.36,163.85,158.51,160.1,5485112,-1.26,-0.78086,160.955
2020-09-21,LOW,157.95,159.62,155.2,159.6,3929500,1.65,1.04,158.0925
2020-09-22,LOW,160.03,161.79,159.64,161.55,3526300,1.52,0.94982,160.7525
2020-09-23,LOW,162.44,162.91,157.76,158.61,3245543,-3.83,-2.36,160.43
2020-09-24,LOW,158.77,160.85,156.81,158.52,3889008,-0.25,-0.15746,158.7375
2020-09-25,LOW,157.9,160.2,156.6,159.55,2828842,1.65,1.04,158.5625
