date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,LUV,1985,Q3,USD,856800000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1985-12-31,LUV,1985,Q4,USD,991200000.0,1315700000.0,7.362618914381645,0.0,0.0,-3.1148200757575757,-0.7682291666666666,1.639777468706537,0.0,0.2985936423725497,-0.5462797619047619,0.0,0.0,46000000.0,947500000.0,0.005868544600938967,0.0,0.005985634477254589,0.012875536480686695,,-0.4443976854287217,0.006053268765133172,,0.0,0.0,,0.0,0,,0.019561815336463225,,,,16.066032456631227,0.0,0.0,16.066032456631227,16.066032456631227,,,446000000.0,-438500000.0,Industrials
1986-03-31,LUV,1986,Q1,USD,691413196.21316,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0039050455137214367,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-06-30,LUV,1986,Q2,USD,783479250.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021825721612920828,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-09-30,LUV,1986,Q3,USD,727866667.01,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02912621357849423,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-12-31,LUV,1986,Q4,USD,639801866.96846,915501866.96846,5.055228420587852,0.0,0.0,-1.8357767534960097,-0.5528373771806697,1.5458937198067633,0.0,0.45560708825466667,-0.6518985845981611,0.0,0.0,45200000.0,987200000.0,0.008347245409015025,0.0,0.008479366873940079,0.01758155889822231,,-0.5010046212577858,0.01406685485718295,,0.0,0.0,,0.0,0,,0.015581524763494713,,,,16.648260629486472,0.0,0.0,16.648260629486472,16.648260629486472,,,495100000.0,-438300000.0,Industrials
1987-03-31,LUV,1987,Q1,USD,679354728.53532,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.014425453431565382,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-06-30,LUV,1987,Q2,USD,651215861.9796801,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0009213534789770245,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-09-30,LUV,1987,Q3,USD,593266000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03438592469482492,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-12-31,LUV,1987,Q4,USD,399241600.0,517341600.0,2.8629861649142225,0.0,0.0,-0.9120973201692525,-0.2082157968970381,1.7907390917186108,0.0,0.47458265675947936,-0.5127573529411765,0.0,0.0,88800000.0,913200000.0,0.008632265490120852,0.0,0.008632265490120852,0.0174995139023916,,-0.6096957970547136,0.022542741037006164,,0.0,0.0,,0.0,0,,0.0,,,,21.96458218040952,0.0,0.0,21.96458218040952,21.96458218040952,,,514300000.0,-327200000.0,Industrials
1988-03-31,LUV,1988,Q1,USD,550718863.43496,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00036316170242027687,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-06-30,LUV,1988,Q2,USD,629700200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.023979665243873197,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-09-30,LUV,1988,Q3,USD,496256250.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05360134003350084,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
