date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,LUV,31.33,31.65,30.77,30.96,12316532,-0.37,-1.18,31.1775
2020-07-31,LUV,30.8,31.02,30.24,30.89,11131689,0.09,0.29221,30.7375
2020-08-03,LUV,30.75,32.15,30.3,31.58,13471909,0.83,2.7,31.195
2020-08-04,LUV,31.7,32.27,31.38,31.4,12116700,-0.3,-0.94637,31.6875
2020-08-05,LUV,31.9,33.2,31.79,32.72,15269880,0.82,2.57,32.4025
2020-08-06,LUV,33.26,33.35,32.32,33.02,15007900,-0.24,-0.72159,32.9875
2020-08-07,LUV,32.84,33.3,32.69,33.28,9381200,0.44,1.34,33.0275
2020-08-10,LUV,33.65,35.15,33.55,34.99,15958000,1.34,3.98,34.335
2020-08-11,LUV,36.61,37.44,35.07,35.29,21870300,-1.32,-3.61,36.1025
2020-08-12,LUV,35.83,36.08,34.36,35.25,13028989,-0.58,-1.62,35.38
2020-08-13,LUV,34.71,35.7,34.62,34.71,8576839,0.0,0.0,34.935
2020-08-14,LUV,34.3,35.13,34.2,34.9,7373448,0.6,1.75,34.6325
2020-08-17,LUV,35.06,35.18,33.79,33.81,8113529,-1.25,-3.57,34.46
2020-08-18,LUV,33.82,34.25,33.54,34.16,7256144,0.34,1.01,33.9425
2020-08-19,LUV,34.91,35.78,34.15,34.27,14959400,-0.64,-1.83,34.7775
2020-08-20,LUV,33.65,34.58,33.48,34.46,9149336,0.81,2.41,34.0425
2020-08-21,LUV,34.3,35.19,34.28,34.69,11435502,0.39,1.14,34.615
2020-08-24,LUV,35.29,36.94,34.96,36.91,15211942,1.62,4.59,36.025
2020-08-25,LUV,37.43,37.5,36.34,37.06,11774024,-0.37,-0.98851,37.0825
2020-08-26,LUV,36.91,37.07,36.33,36.38,7938202,-0.53,-1.44,36.6725
2020-08-27,LUV,37.54,38.88,37.31,37.65,14342548,0.11,0.29302,37.845
2020-08-28,LUV,38.11,39.06,37.59,38.81,14082625,0.7,1.84,38.3925
2020-08-31,LUV,38.75,38.81,37.58,37.58,9824300,-1.17,-3.02,38.18
2020-09-01,LUV,36.84,38.67,36.56,37.91,10884673,1.07,2.9,37.495
2020-09-02,LUV,38.57,39.34,37.68,39.17,11157420,0.6,1.56,38.69
2020-09-03,LUV,39.28,40.66,37.85,38.74,16721400,-0.54,-1.37,39.1325
2020-09-04,LUV,39.19,40.07,38.06,39.39,15543428,0.2,0.51033,39.1775
2020-09-08,LUV,39.18,40.8,39.18,40.5,15808632,1.32,3.37,39.915
2020-09-09,LUV,40.09,40.44,38.81,39.22,12211514,-0.87,-2.17,39.64
2020-09-10,LUV,39.52,39.95,38.87,38.94,9024800,-0.58,-1.47,39.32
2020-09-11,LUV,39.05,39.41,38.68,38.95,8044900,-0.1,-0.25608,39.0225
2020-09-14,LUV,39.35,40.25,39.06,40.06,9680749,0.71,1.8,39.68
2020-09-15,LUV,40.26,40.98,40.1,40.61,10131200,0.35,0.86935,40.4875
2020-09-16,LUV,40.52,42.88,40.28,42.1,19858499,1.58,3.9,41.445
2020-09-17,LUV,41.31,42.0,40.09,40.4,15234636,-0.91,-2.2,40.95
2020-09-18,LUV,39.77,40.51,39.31,39.83,21206300,0.06,0.15087,39.855
2020-09-21,LUV,38.05,38.47,36.75,37.52,14266936,-0.53,-1.39,37.6975
2020-09-22,LUV,37.35,38.2,37.11,38.12,10740037,0.77,2.06,37.695
2020-09-23,LUV,38.39,39.28,37.48,37.55,6797506,-0.84,-2.19,38.175
2020-09-24,LUV,37.03,37.42,35.82,36.86,10798800,-0.17,-0.45909,36.7825
2020-09-25,LUV,36.41,37.28,36.31,37.1,9297300,0.69,1.9,36.775
2020-09-28,LUV,38.07,39.11,37.57,38.24,9235200,0.17,0.44655,38.2475
2020-09-29,LUV,38.05,38.05,37.19,37.61,5263511,-0.44,-1.16,37.725
2020-09-30,LUV,38.33,39.08,37.4,37.5,10144900,-0.83,-2.17,38.0775
2020-10-01,LUV,37.96,38.26,37.39,37.93,8186800,-0.03,-0.07903056,37.885
2020-10-02,LUV,36.14,39.32,36.05,38.76,11937404,2.62,7.25,37.5675
2020-10-05,LUV,39.16,39.24,38.17,38.49,9304308,-0.67,-1.71,38.765
2020-10-06,LUV,38.97,39.34,37.53,37.58,10136038,-1.39,-3.57,38.355
2020-10-07,LUV,38.0,38.74,37.71,38.59,8679318,0.59,1.55,38.26
2020-10-08,LUV,39.0,39.6,38.03,38.99,9138834,-0.01,-0.02564103,38.905
2020-10-09,LUV,38.94,39.8,38.6,39.73,10501831,0.79,2.03,39.2675
2020-10-12,LUV,39.49,39.89,39.05,39.19,7378500,-0.3,-0.75969,39.405
2020-10-13,LUV,38.7,39.44,38.58,39.13,8839400,0.43,1.11,38.9625
2020-10-14,LUV,39.25,39.99,39.16,39.25,6908648,0.0,0.0,39.4125
2020-10-15,LUV,38.65,38.9,38.14,38.8,4496037,0.15,0.3881,38.6225
2020-10-16,LUV,39.03,39.89,39.01,39.68,7334812,0.65,1.67,39.4025
2020-10-19,LUV,40.0,40.75,39.57,39.85,8592233,-0.15,-0.375,40.0425
2020-10-20,LUV,40.5,40.9,40.08,40.16,7203938,-0.34,-0.83951,40.41
2020-10-21,LUV,40.0,40.17,39.53,39.84,6532600,-0.16,-0.4,39.885
2020-10-22,LUV,40.13,42.55,40.08,41.93,13663910,1.8,4.49,41.1725
2020-10-23,LUV,42.04,43.39,41.53,42.79,12518730,0.75,1.78,42.4375
2020-10-26,LUV,42.08,42.48,40.4,41.1,9712900,-0.98,-2.33,41.515
2020-10-27,LUV,40.7,41.02,39.78,39.93,6525138,-0.77,-1.89,40.3575
2020-10-28,LUV,38.87,39.38,37.48,38.14,12101011,-0.73,-1.88,38.4675
2020-10-29,LUV,38.09,39.87,37.95,39.57,8383606,1.48,3.89,38.87
2020-10-30,LUV,39.39,40.2,38.98,39.53,11258515,0.14,0.35542,39.525
2020-11-02,LUV,39.93,39.94,37.95,38.4,11362007,-1.53,-3.83,39.055
2020-11-03,LUV,39.23,39.4,38.67,38.85,7275300,-0.38,-0.96865,39.0375
2020-11-04,LUV,38.85,39.65,38.05,38.93,8999900,0.08,0.20592,38.87
2020-11-05,LUV,39.44,41.25,39.38,41.05,8070248,1.61,4.08,40.28
2020-11-06,LUV,40.74,40.93,39.77,40.01,5993329,-0.73,-1.79,40.3625
2020-11-09,LUV,46.85,49.47,43.79,43.89,30140200,-2.96,-6.32,46.0
2020-11-10,LUV,43.88,45.12,43.33,44.81,16842600,0.93,2.12,44.285
2020-11-11,LUV,44.9,44.91,42.66,43.22,10332749,-1.68,-3.74,43.9225
2020-11-12,LUV,41.78,43.28,41.4,41.92,11057496,0.14,0.33509,42.095
2020-11-13,LUV,42.17,44.15,42.11,43.88,7857464,1.71,4.06,43.0775
