date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2009-09-30,LYB,2009,Q3,USD,12408000000.0,,,0.0,0.0,,,0.0,0.0,,,0.6612410986775178,1.8271375464684014,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.052385557704706646,,0.0,0.0,,0,0.004412447747329308,,0.0,,,,,,,,,,,,,Basic Materials
2009-12-31,LYB,2009,Q4,USD,12408000000.0,18834000000.0,2.136100714528751,-214.02272727272728,-51.040650406504064,-34.057866184448464,-11.620253164556962,0.797337706183081,0.10426540284360189,,-56.62278368794326,0.6035587188612099,1.4206268958543984,-2101000000.0,14912000000.0,-0.030546450055833722,0.0,-0.03274131274131274,0.0944741532976827,-0.0012491660523085695,-0.0028745544440611707,-0.06834300451321727,-0.029738878143133463,-3.1931818181818183,0.6444954128440367,0.031870250652149254,0,0.0045366904842917095,0.0,0.06703649003998415,,,,33.55222864920041,17.29624379872431,34.836995038979445,68.38922368817985,51.09297988945555,-6795000000.0,,-10708000000.0,-28342000000.0,Basic Materials
2010-03-31,LYB,2010,Q1,USD,12408000000.0,,,,,,,0.0,-46.625,,,0.5,0.04640371229698376,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0008059316569954868,-0.041263700838168924,-0.3726541554959786,0.3278301886792453,0.01424910302409021,0,0.004202972834443875,0.0,0.0,,,,,,,,,,,,,Basic Materials
2010-06-30,LYB,2010,Q2,USD,9108600000.0,12657600000.0,1.2073254483021747,22.888969258589512,35.85722379603399,1.3921689397272328,0.3903431588209415,2.6799746514575413,0.062162769784172664,78.79961808199783,-10.34086879432624,1.0893950526573597,0.9495348837209302,7953000000.0,17280000000.0,0.36625633002593766,0.0,0.40805467639099124,0.9014997973246859,0.040113565113006164,0.038097673229353105,0.9766594207671871,0.038754583580352636,0.3616636528028933,0.7407407407407407,0.01907668828691339,0,0.0035291873330789776,0.0,0.10243320021408868,,,,30.329072872949254,23.975954439991565,41.49757435140266,71.82664722435192,47.85069278436035,-3196000000.0,,7380000000.0,-1734000000.0,Basic Materials
2010-09-30,LYB,2010,Q3,USD,13479600000.0,15972600000.0,1.550436808386721,14.350943396226414,16.638125,17.688372093023254,2.7607973421926912,2.7626312660986723,2.348101265822785,19.100981620541553,-9.21808510638298,0.6574202496532594,0.7984496124031008,8896000000.0,18628000000.0,0.018209757971571264,0.039269460839841806,0.02015820362337331,0.04355816945414446,0.02975214903750576,0.047085736072058335,0.035164248197275885,0.07121873052612837,0.13746630727762804,0.6891891891891891,0.01485148514851485,0,0.00339739856338575,0.0,0.09665770265078755,3666500000.0,2544000000.0,4392000000.0,33.1974373907979,25.408264462809917,43.75537190082645,76.95280929162435,51.54454482881443,-1533000000.0,-511116504.8543689,8427000000.0,-1144000000.0,Basic Materials
2010-12-31,LYB,2010,Q4,USD,19401600000.0,21261600000.0,2.0039208294062205,29.205494505494507,40.268181818181816,35.436,3.1,2.897182506307822,0.9503916449086162,25.081190310699753,-7.896719858156028,4.7592592592592595,0.4122137404580153,9023000000.0,18360000000.0,0.030242409978818545,0.03276143156587222,0.03302351479847518,0.06684005201560468,0.17647002917723986,0.04069823512392709,0.039738990598713504,0.027214250371103414,0.27472527472527475,0.966183574879227,0.01885014137606032,0,0.003864278982092366,0.0,0.08421589393582804,3773500000.0,2265000000.0,4618000000.0,31.784165881244107,18.81253319171535,46.11364843335104,77.89781431459514,59.08528112287979,-1332000000.0,1587851851.8518517,9449000000.0,-119000000.0,Basic Materials
2011-03-31,LYB,2011,Q1,USD,22385300000.0,24111300000.0,1.9679480901077375,109.10090497737556,0.0,18.532897770945425,1.3266717909300538,2.5114779874213835,0.33484848484848484,24.290532609761907,-7.8021201413427566,0.7183098591549296,0.8499079189686924,9613000000.0,19204000000.0,0.023722627737226276,0.039856292803413046,0.025700662867775323,0.052324204877278825,0.03478615300285317,0.04933296275708727,0.029617650869097137,0.0,1.0,1.027906976744186,0.01803787136793993,0,0.0026934378060724778,0.0,0.07696436238729068,4255500000.0,3033500000.0,5275000000.0,34.995102840352594,33.71196198483048,47.09311888878735,82.08822172913995,48.376259744309465,-1726000000.0,180554712.89274108,10562000000.0,738000000.0,Basic Materials
2011-06-30,LYB,2011,Q2,USD,21859754090.4,23037754090.4,1.7313808875995793,22.453951355165692,30.11471122928105,14.055981751311776,0.7187309334960341,2.76183308245526,1.277708592777086,27.618124558540593,-6.515962138044053,0.648910411622276,0.8756183745583039,10534000000.0,20034000000.0,0.02823529411764706,0.04643496446484589,0.030289330922242313,0.05920907283305103,0.03990446781419261,0.058232574679943104,0.03677991969512078,0.03499581911289477,0.2543859649122807,1.1651785714285714,0.019615211182924995,0,0.004208627686757853,0.0,0.06781387181738367,4832500000.0,3543500000.0,5651500000.0,33.14970689914324,22.97676008202324,42.88533834586466,76.0350452450079,53.05828516298465,-413000000.0,13884584.342211246,11695000000.0,1664000000.0,Basic Materials
2011-09-30,LYB,2011,Q3,USD,13925100000.0,14149100000.0,1.1304809843400447,9.241737426518615,11.301198083067092,7.812865819988956,0.1236885698509111,3.2286597141753575,1.7106145251396647,29.48352161956595,-4.7482456140350875,0.6311706629055007,0.9008894536213469,11540000000.0,20738000000.0,0.03166236247214066,0.052624158471678825,0.03386047215496368,0.06381461675579322,0.04149684327811457,0.06466282645415566,0.06427242892331114,0.08990958772288889,0.1822338340953625,1.1772151898734178,0.022291466922339406,0,0.004234579737935442,0.0,0.06491668730321576,4469500000.0,2714000000.0,5629500000.0,29.036433365292428,20.458356623812186,47.6411403018446,76.67757366713703,56.21921704332484,1028000000.0,-35667136.812411785,12247000000.0,2533000000.0,Basic Materials
2011-12-31,LYB,2011,Q4,USD,18551790000.0,21518790000.0,1.8803556448794128,236.4702197802198,-108.68075757575758,43.560303643724694,6.006072874493927,2.278796333200478,-0.41743119266055045,,-8.712346760070053,0.6935483870967742,-1.297071129707113,6417000000.0,15512000000.0,-0.009413722141950173,0.007866003991703518,-0.010200692698201832,-0.020296422165581043,0.007908486941015733,0.01127882834857752,-0.011589178187118332,-0.010672824563020603,3.1758241758241756,1.1333333333333333,0.025253407899335896,0,0.004718629849702901,0.0,0.07714873680984281,4287500000.0,2501000000.0,5590500000.0,35.68070604683677,21.04216097828071,45.16426355174302,80.84496959857978,59.802808620299075,-3165000000.0,5257070967.741936,8885000000.0,-757000000.0,Basic Materials
2012-03-31,LYB,2012,Q1,USD,24967800000.0,27323800000.0,2.328600647690472,29.66753528773073,39.428282828282825,22.19642567018684,1.9138911454102356,2.446016983420946,1.5375626043405677,21.602407685264655,-8.41826923076923,0.6703910614525139,0.9004024144869215,7152000000.0,16322000000.0,0.02541403701978059,0.0404753703065794,0.02744111593871484,0.05305039787798409,0.033352896112681614,0.05036703638214649,0.024030951866003413,0.02775574940523394,0.247557003257329,0.9620253164556962,0.019430714163967956,0,0.003323674791205045,0.0,0.07387013427082892,4373000000.0,2600000000.0,5353500000.0,32.283108914266236,22.54272692745917,44.50436764147361,76.78747655573984,54.24474962828067,-1663000000.0,-66294972.06703913,9619000000.0,-148000000.0,Basic Materials
2012-06-30,LYB,2012,Q2,USD,23147025335.74,25550025335.74,2.2715171884548364,50.1965134297446,92.57255556427536,14.777342588629267,1.3898207056101792,2.913760603204524,0.6627604166666666,24.548268958527785,-7.405239010791454,0.7169459962756052,0.7232323232323232,8122000000.0,17038000000.0,0.032703334041197706,0.06145820078890444,0.03521448824659289,0.06700313261399234,0.053550903125794906,0.07507383037148334,0.03326561356508678,0.011923778368784353,0.4577603143418468,0.9549180327868853,0.02071479374110953,0,0.003289473684210526,0.0,0.07131025695476746,4048500000.0,2403500000.0,5483500000.0,31.109530583214795,20.417320363978664,54.21085660495764,85.32038718817243,64.90306682419377,-2127000000.0,102899441.34078217,9864000000.0,364000000.0,Basic Materials
2012-09-30,LYB,2012,Q3,USD,29910600000.0,30735600000.0,2.726479198083917,15.014948705422569,17.25749578888265,19.29416195856874,0.5178907721280602,2.776165803108808,2.425355450236967,26.716903512715486,-6.1723385689354275,0.6578538102643857,0.9476787030213707,8570000000.0,17640000000.0,0.03369980879541109,0.0545951612571687,0.03608291392988143,0.06871345029239766,0.04323492851895135,0.0654864638295774,0.028284287175783834,0.059544108108830984,0.12994626282364435,1.1271186440677967,0.02359620331766167,0,0.003459593719506786,0.0,0.06604525175270873,3985500000.0,2733000000.0,5496500000.0,32.59735651556817,30.68562564632885,48.71354705274043,81.3109035683086,50.62527792197975,956000000.0,419983670.2954898,10703000000.0,652000000.0,Basic Materials
2012-12-31,LYB,2012,Q4,USD,32656089492.84,34324089492.84,3.0930962866396325,25.846452931355422,34.496572354613065,27.02684212034646,1.3133858267716536,2.410910518053375,2.131621187800963,22.002334636302248,-8.067594178958995,0.6795698924731183,0.9262948207171314,7190000000.0,16515000000.0,0.026094137076796035,0.03888573513908037,0.027975742552343853,0.05673758865248227,0.03460524990769024,0.05014641288433382,0.01935320516985259,0.03046904927848628,0.2507530120481928,1.2518796992481203,0.030008110300081103,0,0.005136523384698567,0.003784806704514734,0.06725846407927333,4146000000.0,2868500000.0,5154500000.0,34.13625304136253,22.335231895850285,46.45545158665582,80.59170462801835,58.25647273216806,-673000000.0,2009322580.6451616,9550000000.0,-755000000.0,Basic Materials
2013-03-31,LYB,2013,Q1,USD,35444500000.0,36988500000.0,3.4669134876745713,46.29349186483104,90.65808823529412,23.307183364839318,0.9729048519218652,2.4779714117877423,0.8877777777777778,26.763130191985272,-7.969512195121951,0.7133808392715756,0.946776611694153,7548000000.0,16908000000.0,0.03651173157190907,0.051823220238460435,0.03901108417041912,0.07739884889614294,0.046168310406879694,0.06474195196729689,0.02542002285262876,0.011510953744586607,0.48936170212765956,1.5454545454545454,0.036648233198987724,0,0.003374261880213703,0.0,0.06406775539976496,4043500000.0,2460500000.0,5172500000.0,32.71346892867185,24.3952802359882,51.81907571288102,84.53254464155287,60.13726440556468,-1136000000.0,460931116.3895488,10099000000.0,-342000000.0,Basic Materials
2013-06-30,LYB,2013,Q2,USD,38044720000.0,39232720000.0,3.533524272719085,31.03854430379747,44.7351425313569,23.67695835847918,0.7169583584791792,2.5877680698967436,1.3635382955771305,27.628425462336878,-7.195557491289199,0.6969242310577645,0.9501069137562367,7996000000.0,17529000000.0,0.0370887895241137,0.05486173956762192,0.03954201072614284,0.07721077127659574,0.046925280284149135,0.06815910453727764,0.024418631547294865,0.02305181901719871,0.3061708860759494,1.5236220472440944,0.03485544447446636,0,0.0031523011798612987,0.0,0.06204088150750559,3950500000.0,2506000000.0,5233500000.0,32.610105376925155,23.987994945240104,49.255475989890485,81.86558136681563,57.87758642157553,-311000000.0,390469617.404351,10515000000.0,53000000.0,Basic Materials
2013-09-30,LYB,2013,Q3,USD,41228490000.0,42703490000.0,3.8292225609756096,37.75728558797525,60.31566384180791,27.801751302083332,0.9602864583333334,2.71941242097434,1.3290246768507639,26.813647892857155,-8.465808170515098,0.7150041911148366,0.9364207221350078,9247000000.0,19002000000.0,0.03181529969042557,0.04654929713260957,0.03374342339491277,0.07183762843186794,0.04009754008711481,0.05631502822749965,0.02068957655252472,0.01717259108931712,0.3740053050397878,1.6145038167938932,0.037930416068866574,0,0.0031384505021520804,0.0,0.05714072582149118,4032000000.0,2886000000.0,5289500000.0,32.61208751793401,30.102167182662537,49.987616099071204,82.59970361700522,52.49753643434268,-767000000.0,-500016764.4593463,10377000000.0,-277000000.0,Basic Materials
2013-12-31,LYB,2013,Q4,USD,44059601798.64,45444601798.64,4.080140222539056,27.693236927873247,35.47587962423107,29.394955885278137,0.8958602846054333,2.649546279491833,1.396595744680851,33.07993093890616,-8.512745115448986,0.9726594863297432,0.9327666151468316,9089000000.0,19055000000.0,0.04300681368598432,0.04672050860300504,0.04552328512156346,0.09408559063952557,0.05641887967646048,0.05801358545988618,0.02664572424792632,0.029074252778188772,0.21937842778793418,1.4285714285714286,0.03232178128927994,0,0.003950439935356437,0.0037708744837493266,0.055278775001831634,4035500000.0,3031500000.0,5330500000.0,32.564194648949545,26.453494427663784,49.485470263514216,82.04966491246375,55.59617048479997,-104000000.0,1311837613.918807,11005000000.0,-185000000.0,Basic Materials
2014-03-31,LYB,2014,Q1,USD,48383360000.0,52508360000.0,4.71561383026493,65.55350811485643,114.64707423580786,31.367001194743132,2.46415770609319,2.621153846153846,0.8485169491525424,29.106070925392732,-11.0234375,0.7126696832579186,0.9351198871650211,9273000000.0,19304000000.0,0.03395982319330147,0.04861678004535147,0.035860655737704916,0.0801458739716733,0.04298792220438685,0.060614285068077985,0.019531508353285095,0.009466064365930766,0.4282147315855181,1.33984375,0.030803771890435563,0,0.0028738212842388863,0.0,0.053006073238221874,4085500000.0,3232000000.0,5434000000.0,33.47013920071846,34.225749190769555,52.52271066095855,85.992849861677,51.767100670907446,-3667000000.0,737426847.6621418,10351000000.0,-1008000000.0,Basic Materials
2014-06-30,LYB,2014,Q2,USD,51070950000.0,55864950000.0,4.6104605100272344,31.08789649415693,40.42326338639653,28.678105749486654,2.4609856262833674,2.435145700071073,1.528061224489796,32.27951778687032,-12.768642447418738,0.737171464330413,0.9433293978748524,8077000000.0,18257000000.0,0.04419267707082833,0.05921113007727181,0.04671637055837564,0.10955082302613224,0.05615150518343319,0.07670724747955107,0.02306595040820662,0.027060393433057345,0.23094045631608237,1.6338582677165354,0.03424940166707931,0,0.0028059750763390276,0.0,0.05402160864345738,4202500000.0,3666000000.0,5457500000.0,31.671205743996037,32.384202827888835,46.742077035592395,78.41328277958843,46.02907995169959,-3412000000.0,2278468085.1063833,9348000000.0,-2163000000.0,Basic Materials
