date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,MAA,112.69,118.76,112.67,117.52,857532,4.83,4.29,115.41
2020-07-31,MAA,117.03,119.2,114.75,119.19,720420,2.16,1.85,117.5425
2020-08-03,MAA,118.56,118.56,115.4,116.88,537500,-1.68,-1.42,117.35
2020-08-04,MAA,116.44,117.74,115.0,116.92,603500,0.48,0.41223,116.525
2020-08-05,MAA,117.54,117.62,115.52,116.26,287247,-1.28,-1.09,116.735
2020-08-06,MAA,115.74,116.92,115.37,116.5,375743,0.76,0.65664,116.1325
2020-08-07,MAA,115.82,116.87,115.56,116.49,454228,0.67,0.57848,116.185
2020-08-10,MAA,116.94,118.39,116.35,117.05,575504,0.11,0.09406533,117.1825
2020-08-11,MAA,118.09,119.25,116.14,116.71,561903,-1.38,-1.17,117.5475
2020-08-12,MAA,117.13,117.52,116.05,117.09,260101,-0.04,-0.03415009,116.9475
2020-08-13,MAA,116.44,117.93,115.44,115.69,389710,-0.75,-0.64411,116.375
2020-08-14,MAA,115.55,116.22,114.31,114.86,765600,-0.69,-0.59714,115.235
2020-08-17,MAA,114.95,116.23,114.04,116.04,283900,1.09,0.94824,115.315
2020-08-18,MAA,116.28,116.52,114.43,116.07,320600,-0.21,-0.1806,115.825
2020-08-19,MAA,116.06,116.06,112.66,113.28,623438,-2.78,-2.4,114.515
2020-08-20,MAA,112.84,115.27,112.84,114.83,384400,1.99,1.76,113.945
2020-08-21,MAA,115.25,115.47,113.11,114.84,308000,-0.41,-0.35575,114.6675
2020-08-24,MAA,114.7,115.83,112.85,115.69,353600,0.99,0.86312,114.7675
2020-08-25,MAA,115.74,116.19,114.88,116.19,336800,0.45,0.3888,115.75
2020-08-26,MAA,115.49,116.32,113.26,113.65,394528,-1.84,-1.59,114.68
2020-08-27,MAA,114.33,116.56,114.23,116.38,331200,2.05,1.79,115.375
2020-08-28,MAA,116.62,117.19,115.19,117.16,392304,0.54,0.46304,116.54
2020-08-31,MAA,116.66,117.35,115.8,117.12,481200,0.46,0.39431,116.7325
2020-09-01,MAA,116.5,116.66,114.8,116.55,364800,0.05,0.04291845,116.1275
2020-09-02,MAA,116.44,118.88,115.25,118.67,872400,2.23,1.92,117.31
2020-09-03,MAA,119.3,120.83,117.03,117.83,520000,-1.47,-1.23,118.7475
2020-09-04,MAA,118.12,119.43,116.06,118.35,477500,0.23,0.19472,117.99
2020-09-08,MAA,117.97,118.25,115.01,115.68,639527,-2.29,-1.94,116.7275
2020-09-09,MAA,116.12,118.38,115.39,116.44,488714,0.32,0.27558,116.5825
2020-09-10,MAA,116.29,117.41,114.31,116.44,696935,0.15,0.12899,116.1125
2020-09-11,MAA,116.45,116.45,114.96,115.91,581506,-0.54,-0.46372,115.9425
2020-09-14,MAA,116.99,120.09,116.44,119.65,471500,2.66,2.27,118.2925
2020-09-15,MAA,119.61,120.84,118.05,118.57,308320,-1.04,-0.86949,119.2675
2020-09-16,MAA,119.44,120.55,117.95,118.19,551238,-1.25,-1.05,119.0325
2020-09-17,MAA,117.36,118.36,115.7,117.14,650400,-0.22,-0.18746,117.14
2020-09-18,MAA,116.32,117.38,114.68,114.93,1150826,-1.39,-1.19,115.8275
2020-09-21,MAA,113.38,114.3,111.19,113.17,752000,-0.21,-0.18522,113.01
2020-09-22,MAA,113.41,116.0,113.41,115.18,727400,1.77,1.56,114.5
2020-09-23,MAA,115.38,115.72,113.04,113.42,653936,-1.96,-1.7,114.39
2020-09-24,MAA,113.04,113.96,111.27,112.39,502739,-0.65,-0.57502,112.665
2020-09-25,MAA,111.89,115.52,111.22,115.38,693805,3.49,3.12,113.5025
2020-09-28,MAA,116.83,118.17,116.15,117.14,412900,0.31,0.26534,117.0725
2020-09-29,MAA,116.92,117.43,114.64,115.34,279912,-1.58,-1.35,116.0825
2020-09-30,MAA,116.07,116.63,114.44,115.95,761601,-0.12,-0.10339,115.7725
2020-10-01,MAA,116.0,120.33,115.56,120.29,740500,4.29,3.7,118.045
2020-10-02,MAA,118.81,124.33,117.42,123.71,852700,4.9,4.12,121.0675
2020-10-05,MAA,124.56,124.88,122.48,124.5,583841,-0.06,-0.04816956,124.105
2020-10-06,MAA,124.87,125.24,122.83,123.54,610589,-1.33,-1.07,124.12
2020-10-07,MAA,124.04,125.03,121.77,122.95,499300,-1.09,-0.87875,123.4475
2020-10-08,MAA,123.03,125.35,123.03,124.88,476600,1.85,1.5,124.0725
2020-10-09,MAA,125.64,125.64,123.01,123.66,368017,-1.98,-1.58,124.4875
