date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,MCD,1985,Q3,USD,5555750400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1985-12-31,MCD,1985,Q4,USD,6920616600.0,8533616600.0,9.317192488262911,0.0,0.0,-4.4401980331963165,-0.8392736354649045,0.5568284594513114,0.0,0.0,-1.6811508168217266,0.0,0.0,-294000000.0,4036600000.0,0.0,0.0,0.0,0.0,,-0.4388200105030025,0.0,,0.0,0.0,,0.0,0,,0.03299557811663461,,,,12.332132328856863,0.0,0.0,12.332132328856863,12.332132328856863,,,2020100000.0,-2487200000.0,Consumer Cyclical
1986-03-31,MCD,1986,Q1,USD,8243879199.999999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-06-30,MCD,1986,Q2,USD,9340111200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-09-30,MCD,1986,Q3,USD,7231077760.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-12-31,MCD,1986,Q4,USD,7699443960.0,9815143960.0,9.898289592577653,0.0,0.0,-4.4061518944155145,-0.9497665649129108,0.5912673589390717,0.0,0.0,-2.092316222274316,0.0,0.0,-326700000.0,4782900000.0,0.0,0.0,0.0,0.0,,-0.4309370889112435,0.0,,0.0,0.0,,0.0,0,,0.03887073804138393,,,,14.376764824526019,0.0,0.0,14.376764824526019,14.376764824526019,,,2216100000.0,-3047800000.0,Consumer Cyclical
1987-03-31,MCD,1987,Q1,USD,10086067200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-06-30,MCD,1987,Q2,USD,10070916960.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-09-30,MCD,1987,Q3,USD,10240074000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-12-31,MCD,1987,Q4,USD,8309664000.0,10910864000.0,8.619737715278875,0.0,0.0,-4.424698487367696,-1.0548684050448112,0.5648213034337771,0.0,0.0,-2.4618293832337867,0.0,0.0,-372600000.0,5708700000.0,0.0,0.0,0.0,0.0,,-0.4025696281059196,0.0,,0.0,0.0,,0.0,0,,0.03748424429930102,,,,13.082635487438774,0.0,0.0,13.082635487438774,13.082635487438774,,,2655000000.0,-3581300000.0,Consumer Cyclical
1988-03-31,MCD,1988,Q1,USD,8253611520.000001,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-06-30,MCD,1988,Q2,USD,8704852800.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-09-30,MCD,1988,Q3,USD,8941363200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-12-31,MCD,1988,Q4,USD,9041462080.0,12125862080.0,8.355172658995384,0.0,0.0,-4.282789559566277,-1.0893935647935578,0.5145476285372659,0.0,0.0,-2.9191279868753264,0.0,0.0,-487200000.0,6627900000.0,0.0,0.0,0.0,0.0,,-0.39570376374893435,0.0,,0.0,0.0,,0.0,0,,0.038584578425484455,,,,12.65072693447254,0.0,0.0,12.65072693447254,12.65072693447254,,,3098000000.0,-4229500000.0,Consumer Cyclical
1989-03-31,MCD,1989,Q1,USD,9657888480.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1989-06-30,MCD,1989,Q2,USD,10234000000.0,13520900000.0,8.733867321232479,0.0,0.0,27.2818805488297,6.632163034705408,0.4832806883781723,0.0,2.813089938128534,-3.148660714285714,0.6253988513082323,0.8106570098292809,-474400000.0,6759700000.0,0.023852697423665283,0.0,0.02481263925460806,0.05572773023229365,0.0318390260364722,0.05296615974791067,0.01915184678522572,,0.0,0.0,,0.0,0,,0.03868761485195507,,,,11.121374588204896,29.949238578680202,4.6091370558375635,15.730511644042458,-14.218726934637743,,,3199200000.0,-4256300000.0,Consumer Cyclical
1989-09-30,MCD,1989,Q3,USD,10807840002.480001,14233540002.480001,8.722600810442458,32.84915763323333,423.6172619785715,26.704577865816137,6.427204502814259,0.6653261402648357,1.9885268471776043,2.915448891722833,-3.2025068831568366,0.6308627678054429,0.8180956892468024,-341200000.0,7254500000.0,0.024652667782956963,0.04950779495658394,0.025591337232518264,0.05955992893262266,0.032758992026106076,0.05399460309746397,0.020161290317954373,0.00310885431245189,0.9224555735056543,3.607400722021661,0.2449442333619316,0.0,0,0.0,0.036679187219984616,197700000.0,300400000.0,44150000.0,11.25689422723373,29.460500963391137,4.132947976878612,15.389842204112341,-14.070658759278796,-3392100000.0,-155749739.43254197,3334300000.0,-4502000000.0,Consumer Cyclical
1989-12-31,MCD,1989,Q4,USD,12667253336.240002,16566253336.240002,10.482980026729104,42.95113646938035,-151.42827546837296,35.93547361440348,8.45770065075922,0.48672566371681414,2.250291715285881,2.547093415124678,-3.641234510408161,0.6322390261895979,0.7739080787896089,-522000000.0,7562000000.0,0.018681198910081742,0.038892404711943065,0.01936942027347723,0.048281690140845074,0.026706057020887033,0.042939445942633,0.013530952247527747,-0.00863644209964723,1.283640134819808,4.472448057813912,0.3132949439979751,0.0,0,0.0,0.03553133514986376,219050000.0,359400000.0,44450000.0,13.32658356008353,39.45441035983441,4.394437957753953,17.72102151783748,-21.73338884199693,-4008400000.0,17873330.8742162,3224000000.0,-5130000000.0,Consumer Cyclical
1990-03-31,MCD,1990,Q1,USD,11411945452.380001,15571145452.380001,10.156640435966343,100.91474693700584,-101.57302969589041,34.35822032740512,9.177405119152692,0.4456285566476979,0.9759645793801391,2.4726158667151727,-3.767987034238075,0.6329063250600481,0.736221632773357,-535800000.0,7711900000.0,0.01709078330054267,0.0368291941646405,0.017740125673249552,0.04453019378098243,0.025109339611439394,0.0409579797443295,0.013853904284744692,-0.013433292389951685,1.9935191186001295,2.700614574187884,0.20063922770856435,0.0,0,0.0,0.036603031154735906,222550000.0,365350000.0,43650000.0,12.392537994912269,31.476221928665783,4.091809775429326,16.484347770341593,-14.99187415832419,-4312500000.0,34845116.09287429,3211800000.0,-5269500000.0,Consumer Cyclical
1990-06-30,MCD,1990,Q2,USD,12775360002.960001,17097360002.960001,10.049585612743197,54.38091603994911,-273.99615389358974,31.15975943677784,7.876799708401677,0.5194432169686257,1.4569045412418906,2.9695263538267045,-3.88576807138884,0.6449491930663479,0.7830564006552774,-435000000.0,8149900000.0,0.022350881917328664,0.04520329847612096,0.02321528465080253,0.05741041262071351,0.030724535118316368,0.04883484382678659,0.016891891887978107,-0.004884402473632223,1.1984732824427482,3.103789126853377,0.2214776935284782,0.0,0,0.0,0.03723420782798728,216500000.0,314200000.0,40600000.0,11.738670428495857,28.938217944737662,3.7162371934181935,15.45490762191405,-13.483310322823613,-4384400000.0,-80613209.80274951,3399400000.0,-5426000000.0,Consumer Cyclical
1990-09-30,MCD,1990,Q3,USD,9616764703.5,14077964703.5,7.75132953611937,32.38547205774097,1315.6976358411214,23.581180407872697,7.472696817420435,0.5009723842862699,1.7947976878612717,3.2846197315271675,-4.083790256998462,0.6451784762919552,0.7934897484675544,-513200000.0,8508800000.0,0.02376863364704266,0.047679516250944826,0.024663448809596547,0.060271245489610555,0.032375601897954374,0.05164001528134039,0.025185185191424292,0.0011126403036673818,0.9753853232114101,3.4221146085552867,0.2334544653672503,0.0,0,0.0,0.03628102336627445,224350000.0,306000000.0,39150000.0,11.238850346878097,26.096622076797228,3.3259551534982195,14.564805500376316,-11.531816576420912,-4450500000.0,83333937.13372403,3648800000.0,-5656200000.0,Consumer Cyclical
1990-12-31,MCD,1990,Q4,USD,10371858820.960001,15021458820.960001,9.453403915015734,37.78032902655936,-232.17092458979909,38.01938451268034,11.768159959503922,0.4579961625093852,2.1353383458646618,2.938079013241227,-4.302431875549735,0.649912739965096,1.0977011494252873,-649700000.0,8781400000.0,0.01745488633700492,0.025027088707125528,0.018106675742694606,0.04452095736795543,0.017251688291979664,0.027564210882054747,0.01795242330369145,-0.006238033231733816,1.1627263581488934,3.447427293064877,0.2909376966645689,0.0,0,0.0,0.035997187719709396,240900000.0,328500000.0,40650000.0,14.443045940843298,-18.572257353367753,-2.239948947032546,12.203096993810751,30.775354347178506,-4714300000.0,-22072774.86910993,3798300000.0,-5936200000.0,Consumer Cyclical
1991-03-31,MCD,1991,Q1,USD,11893291669.490002,16390791669.490002,10.521756110855053,95.90866980392043,-163.90791669490002,36.11897679482151,9.91075363596298,0.4217763210488448,1.0142433234421364,2.855088849815971,-4.187056378827998,0.6597494126859828,0.7796092796092796,-723300000.0,8503500000.0,0.0161032904230817,0.031006284546074053,0.016703013481363996,0.039747128063595406,0.022183962269155474,0.03555922195206669,0.014167650527923653,-0.008408101203515522,1.5851375073142189,2.146592709984152,0.1738990884580819,0.0,0,0.0,0.03590508137656852,246250000.0,316000000.0,41100000.0,13.721273590961614,27.03816461889747,3.845819288898554,17.56709287986017,-9.4710717390373,-4597500000.0,145033907.59592795,3863600000.0,-5696800000.0,Consumer Cyclical
1991-06-30,MCD,1991,Q2,USD,12151000000.000002,16594500000.000002,9.93206847019392,45.714876033057855,495.3582089552239,32.00482160077146,8.569913211186114,0.5290158082610913,1.5646551724137931,3.26587370155105,-4.0407068965517245,0.6600284495021337,0.898287758752875,-461800000.0,8744600000.0,0.022111031689301883,0.037344556742157455,0.022909959907570162,0.054003724394785846,0.026463899284803718,0.041137510513036164,0.019093078758949878,0.002756974734589745,0.9077134986225895,2.5904088050314464,0.19721091692602347,0.0,0,0.0,0.03487252799618775,244200000.0,275100000.0,38850000.0,13.515082595163994,25.84233148128735,3.623021281056715,17.138103876220708,-8.704227605066642,-4410000000.0,-205530867.70981508,3930100000.0,-5677800000.0,Consumer Cyclical
1991-09-30,MCD,1991,Q3,USD,12575694442.5,16976694442.5,9.775823127087412,41.56879148506366,105.05380224319308,29.809823428446006,7.727831431079895,0.4734728189800112,1.5786625434866641,3.595883808934016,-4.09326053406931,0.6640143737166324,0.8848512377924143,-563700000.0,8972000000.0,0.023934644634827824,0.04134058804474886,0.024774947328098065,0.0563788519374101,0.029247081824200036,0.045214623125898544,0.020571428574609307,0.012850184992875394,0.604309500489716,1.910216718266254,0.142116779914776,0.0,0,0.0,0.03391743611568566,246500000.0,265200000.0,37600000.0,12.546930784291144,23.949579831932773,3.4360410830999064,15.98297186739105,-7.966607964541723,-4239400000.0,276665528.74743325,4222000000.0,-5713100000.0,Consumer Cyclical
