date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,MCO,285.25,288.6,280.08,283.77,760746,-1.48,-0.51884,284.425
2020-07-31,MCO,285.38,285.38,276.72,281.3,925639,-4.08,-1.43,282.195
2020-08-03,MCO,284.95,286.34,279.9,280.63,546521,-4.32,-1.52,282.955
2020-08-04,MCO,279.04,279.96,271.32,276.0,807124,-3.04,-1.09,276.58
2020-08-05,MCO,275.91,278.63,274.32,277.62,819915,1.71,0.61977,276.62
2020-08-06,MCO,276.55,279.34,274.41,279.32,574100,2.77,1.0,277.405
2020-08-07,MCO,277.61,277.82,272.7,275.52,548500,-2.09,-0.75285,275.9125
2020-08-10,MCO,273.55,274.98,270.55,271.15,486700,-2.4,-0.87735,272.5575
2020-08-11,MCO,272.76,276.61,268.19,274.53,825700,1.77,0.64892,273.0225
2020-08-12,MCO,277.12,282.15,277.12,278.84,579500,1.72,0.62067,278.8075
2020-08-13,MCO,278.44,282.87,277.81,281.97,506100,3.53,1.27,280.2725
2020-08-14,MCO,282.71,283.75,279.76,281.05,428335,-1.66,-0.58717,281.8175
2020-08-17,MCO,281.41,285.05,281.37,283.62,507740,2.21,0.78533,282.8625
2020-08-18,MCO,283.51,286.99,282.64,285.49,589921,1.98,0.69839,284.6575
2020-08-19,MCO,286.12,288.36,281.54,281.69,578800,-4.43,-1.55,284.4275
2020-08-20,MCO,279.8,284.84,279.02,283.46,581800,3.66,1.31,281.78
2020-08-21,MCO,284.48,285.27,281.07,284.47,906900,-0.01,-0.00351519,283.8225
2020-08-24,MCO,286.44,286.56,283.88,284.22,787427,-2.22,-0.77503,285.275
2020-08-25,MCO,286.02,286.02,283.48,285.38,589249,-0.64,-0.22376,285.225
2020-08-26,MCO,285.04,293.75,284.02,291.95,533000,6.91,2.42,288.69
2020-08-27,MCO,292.44,295.15,289.99,292.16,403000,-0.28,-0.09574614,292.435
2020-08-28,MCO,293.36,294.98,291.63,294.39,404103,1.03,0.3511,293.59
2020-08-31,MCO,294.77,297.16,292.69,294.64,543927,-0.13,-0.04410218,294.815
2020-09-01,MCO,294.0,297.04,292.82,296.07,425667,2.07,0.70408,294.9825
2020-09-02,MCO,297.67,305.96,297.67,304.49,568000,6.82,2.29,301.4475
2020-09-03,MCO,302.42,302.42,288.8,291.25,696300,-11.17,-3.69,296.2225
2020-09-04,MCO,292.53,292.67,277.48,282.47,601500,-10.06,-3.44,286.2875
2020-09-08,MCO,277.97,281.89,274.24,278.7,1030904,0.73,0.26262,278.2
2020-09-09,MCO,283.88,290.16,282.49,288.41,642100,4.53,1.6,286.235
2020-09-10,MCO,287.43,290.9,281.87,283.78,674117,-3.65,-1.27,285.995
2020-09-11,MCO,283.95,287.83,282.13,284.94,609000,0.99,0.34865,284.7125
2020-09-14,MCO,289.28,292.22,286.88,288.68,644308,-0.6,-0.20741,289.265
2020-09-15,MCO,289.54,293.0,286.76,286.95,682300,-2.59,-0.89452,289.0625
2020-09-16,MCO,287.0,290.07,285.67,286.82,624111,-0.18,-0.06271777,287.39
2020-09-17,MCO,282.96,285.51,279.68,282.71,495313,-0.25,-0.08835171,282.715
2020-09-18,MCO,280.9,284.81,278.6,280.82,864800,-0.08,-0.02847989,281.2825
2020-09-21,MCO,277.04,280.42,274.8,280.04,917000,3.0,1.08,278.075
