date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-10-31,MDT,1986,Q2,USD,585126208.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1986-01-31,MDT,1986,Q3,USD,671077655.04,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1986-04-30,MDT,1986,Q4,USD,928682880.0,839882880.0,7.559701890189019,0.0,0.0,-3.8991777158774372,0.41225626740947074,2.6676691729323307,0.0,0.0,0.09184459177281269,0.0,0.0,221800000.0,378700000.0,0.0,0.0,0.0,0.0,,-0.5461460446247465,0.0,,0.0,0.0,,0,0.0,,0.09158134243458475,,,,96.23762376237623,0.0,0.0,96.23762376237623,96.23762376237623,,,300400000.0,176100000.0,Healthcare
1986-07-31,MDT,1987,Q1,USD,1133016960.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1986-10-31,MDT,1987,Q2,USD,2041541120.0000002,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1987-01-31,MDT,1987,Q3,USD,1102394880.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1987-04-30,MDT,1987,Q4,USD,1245795840.0,1169495840.0,8.127142738012509,0.0,0.0,-4.6335017432646595,0.30229793977812996,2.913216560509554,0.0,0.0,0.10384867716366752,0.0,0.0,240300000.0,400700000.0,0.0,0.0,0.0,0.0,,-0.5814328495738309,0.0,,0.0,0.0,,0,0.0,,0.08093621582990888,,,,91.75121612230716,0.0,0.0,91.75121612230716,91.75121612230716,,,341700000.0,193200000.0,Healthcare
1987-07-31,MDT,1988,Q1,USD,1412849280.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1987-10-31,MDT,1988,Q2,USD,1072104320.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1988-01-31,MDT,1988,Q3,USD,1210158080.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1988-04-30,MDT,1988,Q4,USD,1014146560.0,995546560.0,5.26187399577167,0.0,0.0,-2.9806783233532936,0.05568862275449102,2.2299947005829357,0.0,0.0,0.04599729648543106,0.0,0.0,232100000.0,415800000.0,0.0,0.0,0.0,0.0,,-0.738774607387746,0.0,,0.0,0.0,,0,0.0,,0.08645443196004994,,,,96.37420718816068,0.0,0.0,96.37420718816068,96.37420718816068,,,340500000.0,175900000.0,Healthcare
1988-07-31,MDT,1989,Q1,USD,1055805440.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1988-10-31,MDT,1989,Q2,USD,1108307200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1989-01-31,MDT,1989,Q3,USD,1094287360.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1989-04-30,MDT,1989,Q4,USD,1256720640.0,1285320640.0,6.494798585144012,0.0,0.0,-3.1038894952909923,-0.06906544312967883,1.8186528497409327,0.0,0.0,-0.019387960398263213,0.0,0.0,189600000.0,490100000.0,0.0,0.0,0.0,0.0,,-0.784280303030303,0.0,,0.0,0.0,,0,0.0,,0.19628751974723538,,,,96.00303183425972,0.0,0.0,96.00303183425972,96.00303183425972,,,324500000.0,135200000.0,Healthcare
1989-07-31,MDT,1990,Q1,USD,1479883520.0,,,0.0,0.0,,,0.0,0.0,,,0.6809045226130653,0.20739968733715478,,,0.0,0.0,0.0,0.0,0.0,0.0,0.018312252034538505,,0.0,0.0,,0,0.0,,0.0,,,,,,,,,,,,,Healthcare
1989-10-31,MDT,1990,Q2,USD,1606932720.0,1577732720.0,7.8650683948155535,0.0,0.0,31.809127419354837,-0.5887096774193549,1.899956121105748,0.0,0.6324369141374058,-0.029914133555012806,0.6805194805194805,0.9600997506234414,205100000.0,516200000.0,0.0329476861167002,0.0,0.0404320987654321,0.050628019323671496,0.04810299871114255,0.07068570421293847,0.01630435404912285,,0.0,0.0,,0,0.0,,0.1851106639839034,,,,95.96709870388833,187.96028880866427,201.28158844765343,297.24868715154173,109.28839834287746,,,370300000.0,155300000.0,Healthcare
1990-01-31,MDT,1990,Q3,USD,1348225000.0,1323625000.0,6.381991321118611,65.5259900990099,210.09920634920636,25.503371868978807,-0.47398843930635837,1.8718710224862112,0.7453874538745388,0.8355920189543586,-0.03881918819188192,0.6809045226130653,0.9683698296836983,205500000.0,523200000.0,0.033337433878705865,0.05111622411541571,0.04064796760161992,0.051560121765601215,0.04848436569542097,0.07120582120582121,0.020100502512562814,0.00467281054720095,0.6881188118811881,1.2990654205607477,0.06702025072324011,0,0.0,0.0,0.17984992003936523,220950000.0,114500000.0,127350000.0,98.93924783027965,178.26923076923077,205.8041958041958,304.74344363447545,126.47421286524468,30900000.0,24385175.87939699,379400000.0,153900000.0,Healthcare
