date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
2011-03-31,META,2011,Q1,USD,0.771545827633379,0.5540355677154583,0.6238030095759234,0.53077975376197,0.5444596443228454,0.31874145006839943,0.31874145006839943,0.20930232558139536,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.7434342557618,0.0,0.0,0.0,128.44443327820792,489.02542044984375,272.1532774677391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4719562243502052,0.5565217391304348,0.0,55.42857142857143,0.0,0.0,2.2549019607843137,2.2549019607843137,0.0,0.0,0.0,0.29763843417950725,0.094869706106464,,,,,,0.1404723116168673,0.06229641645617593,0.07817589516069136,0.585427135678392,1.0257731958762886,0.0,,0.41457286432160806,,0.0,Communication Services
2011-06-30,META,2011,Q2,USD,0.7653631284916201,0.4558659217877095,0.535195530726257,0.4547486033519553,0.44581005586592176,0.2681564245810056,0.2681564245810056,0.1776536312849162,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,97.80508408996874,25.388569745021094,25.388569745021094,0.0,104.90824662164245,-31297.62690879,727.8517885765116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441340782122905,-0.023255813953488372,0.0,45.22222222222222,0.0,0.0,0.9772727272727273,0.9772727272727273,0.0,0.0,0.0,0.36441367796259777,0.09771986895086421,,,,,,0.05252442956108951,0.05374592792297531,-0.0012214983618858025,0.6015037593984962,0.9803439803439803,0.0,,0.39849624060150374,,0.0,Communication Services
2011-09-30,META,2011,Q3,USD,0.7526205450733753,0.4077568134171908,0.5094339622641509,0.4339622641509434,0.3972746331236897,0.2379454926624738,0.2379454926624738,0.15723270440251572,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,103.40625630657487,-18.58440217509834,-18.58440217509834,0.0,98.42021040499999,218.8645238376923,166.18208978118582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5922431865828093,0.7592920353982301,0.0,41.4,0.0,0.0,4.154411764705882,4.154411764705882,0.0,0.0,0.0,0.3884364790796852,0.0924267093826924,,,,,,0.2300488581551595,0.05537459240548972,0.17467426574966977,0.5989445910290238,0.9154589371980676,0.0,,0.40105540897097625,,0.0,Communication Services
2011-12-31,META,2011,Q4,USD,0.7816091954022989,0.47303271441202477,0.5641025641025641,0.48364279398762156,0.4588859416445623,0.26702033598585323,0.26702033598585323,0.1812555260831123,2.0676416819012795,3.9206349206349205,0,0.7667796610169492,0.17864476386036962,5.121245828698554,5.121245828698554,0.28282122905027934,1.681868743047831,77.72589464103477,2.1201125725746537,2.1201125725746537,19.165723765333738,83.01757800740053,288.9011714657538,184.10368769876467,0.1069341336281788,0.13819146764645845,0.12141319942611191,0.0,1.2923045519493774,0.0,0.5672969966629589,0.4509283819628647,0.6372549019607843,26.3125,34.1875,0.0,0.7533234859675036,2.7567567567567566,2.7567567567567566,0.0,0.0,0.0,0.46050488243094756,0.12296416842983746,0.2821661215956204,1.5912051994165721,1.9947068249595157,1.9287459134176823,1.9947068249595157,0.20765472152058645,0.07532573231629115,0.13232898920429528,0.581888246628131,0.9488117001828154,19.165723765333738,0.0,0.41811175337186895,145.85874722001566,0.0,Communication Services
2012-03-31,META,2012,Q1,USD,0.7381852551984878,0.3733459357277883,0.4773156899810964,0.3601134215500945,0.3610586011342155,0.1937618147448015,0.1937618147448015,0.1937618147448015,2.195020746887967,2.147286821705426,0,0.5703504043126685,0.147271714922049,4.83060635226179,4.83060635226179,0.19848771266540643,1.2338787295476419,99.68169629818291,5.740290786826398,5.740290786826398,14.604071996517778,77.25802548630435,-6811.582580375833,185.34918586056688,0.0982739420935412,0.12613900303734144,0.11201015389497065,0.0,1.2835447561193496,0.27534157449577096,0.424446583253128,0.4168241965973535,-0.027210884353741496,25.23076923076923,29.307692307692307,0.0,0.6246458923512748,0.9735099337748344,0.9735099337748344,0.0,0.0,0.0,0.49483532305361716,0.09588019019469898,0.3362822280487247,1.8287392373720635,2.617763046437708,2.5293661881606444,2.617763046437708,0.20625933597981586,0.21187183491804212,-0.005612498938226282,0.5366492146596858,1.0026246719160106,14.604071996517778,0.0,0.46335078534031415,160.7187939891287,0.0,Communication Services
2012-06-30,META,2012,Q2,USD,0.6900337837837838,-0.6368243243243243,-0.5202702702702703,-0.6275337837837838,-0.6461148648648649,-0.13260135135135134,-0.13260135135135134,-0.13260135135135134,1.034061135371179,8.534883720930232,0,0.5624703087885986,0.07931404072883172,11.573500967117988,11.573500967117988,-0.011117974058060531,2.0290135396518374,-93.05238927786624,0.5021549641646967,0.5021549641646967,4.390780709782853,49.355490258868244,-341.7362600380117,241.47479531611572,0.047293676312968914,0.05304681042903298,0.05037459864430967,0.0,1.1216470057855585,0.15878763494937304,0.23404255319148937,0.20439189189189189,-0.7066115702479339,-0.8,-74.3,0.0,0.34277620396600567,0.585956416464891,0.585956416464891,0.0,0.0,0.0,0.630122400504611,-0.08355508182366886,0.3810537489538019,5.42203295299069,7.083022827969483,6.6524746674895585,7.083022827969483,0.12879190956259784,0.219797763013855,-0.09100585345125715,0.20522875816993463,1.0296096904441454,4.390780709782853,0.0,0.7947712418300653,-92.60535790016233,0.0,Communication Services
2012-09-30,META,2012,Q3,USD,0.7448494453248812,0.303486529318542,0.4429477020602219,0.2987321711568938,0.294770206022187,-0.04675118858954041,-0.04675118858954041,-0.04675118858954041,1.0499168053244592,5.4576271186440675,0,0.5513324595893403,0.07868811572515276,11.375,11.375,0.06276824034334764,2.2944444444444443,-225.49067973648303,3.1842940584408757,3.1842940584408757,3.754465952999153,42.16782917417591,673.6177268077215,212.86320167123998,0.056241426611796985,0.06363764639480739,0.05983019368532767,0.0,1.1315083956540144,0.11401210588129009,0.23148148148148148,0.19809825673534073,0.316,11.636363636363637,34.27272727272727,0.0,0.2771618625277162,1.4619883040935673,1.4619883040935673,0.0,0.0,0.0,0.521487599211461,-0.024380165097841678,0.3772727243106687,4.319008230553242,5.857024747403525,5.269008223094564,5.857024747403525,0.10330578431288848,0.07066115647001571,0.03264462784287275,-0.1586021505376344,0.986737400530504,3.754465952999153,0.0,1.1586021505376345,92.37889162398926,0.0,Communication Services
2012-12-31,META,2012,Q4,USD,0.7488958990536277,0.32870662460567823,0.47003154574132494,0.3299684542586751,0.3186119873817035,0.04037854889589906,0.027129337539432176,0.027129337539432176,1.3547008547008548,6.123076923076923,0,0.6629025512337934,0.1049460372111501,10.710076045627376,10.710076045627376,0.07974910394265233,2.2661596958174903,411.79382460930236,-2.358631295884267,-2.358631295884267,6.025396668039133,44.68677465791799,146.6429354716356,104.00666348428783,0.15599549758326162,0.20042535091450447,0.1669619445822408,0.11316484345529988,1.2848149723521907,0.14799253034547152,0.6473384030418251,0.42965299684542585,0.7092511013215859,19.0,32.6875,0.0,0.2890492359932088,3.4393939393939394,3.4393939393939394,0.0,0.0,0.0,0.5957019767879632,0.016161000001187645,0.8914858605306302,3.617808977010053,4.417966395673506,3.8963043491235423,4.417966395673506,0.2559451395536927,0.07441576744732915,0.18152937210636355,0.08514851485148515,0.9655831739961759,6.025396668039133,0.02117790435743493,0.8732673267326733,95.03427897020134,0.0,Communication Services
2013-03-31,META,2013,Q1,USD,0.7167352537722909,0.33539094650205764,0.40877914951989025,0.2558299039780521,0.2421124828532236,0.15020576131687244,0.14883401920438957,0.15020576131687244,1.3437788018433179,5.506666666666667,0,0.5756020529016976,0.09615511442326716,10.38758231420508,10.38758231420508,0.1347708894878706,2.187206020696143,72.83049008322581,0.18461210578199305,0.18461210578199305,5.346487262537212,43.35861823884774,161.2675137557143,87.92331765262865,0.14891512233726836,0.19096752368064954,0.16034654168441984,0.11257880516361453,1.2823917456021652,0.14439932653263346,0.676387582314205,0.49314128943758573,0.545201668984701,0.0,0.0,0.0,0.3184233835252436,2.198776758409786,2.198776758409786,0.0,0.0,0.0,0.5888102766412896,0.08763500002137163,0.911888617733904,3.8252475585365535,4.77509788134884,4.1689221438738215,4.77509788134884,0.2903666590569871,0.1320582719216061,0.158308387135381,0.6147308781869688,0.9463806970509383,5.346487262537212,0.02372784526238354,0.37960339943342775,105.95614998697988,0.0,Communication Services
2013-06-30,META,2013,Q2,USD,0.7435190292333149,0.37506894649751793,0.468284611141754,0.3099834528405957,0.3006067291781577,0.1836734693877551,0.1836734693877551,0.1836734693877551,2.3184143222506393,8.454545454545455,0,0.7035312378734964,0.11530145001271941,10.575,10.575,0.1668148148148148,2.778703703703704,46.32285504554054,0.8338113908197294,0.8338113908197294,4.996521412313547,34.033117992642026,58.54083768563567,46.67325485677761,0.13781480539302976,0.17547979593489352,0.14928354918710388,0.10831106939129179,1.2733014819013686,0.1784448818897638,1.224074074074074,0.7291781577495863,0.7972768532526475,2.0158227848101267,0.0,4.1835443037974684,0.6100599907706507,4.932835820895522,4.932835820895522,0.0,0.0,0.0,0.7289957977216172,0.13389718733662356,0.871336951827217,4.122264157883078,4.965454553813707,4.309639801423217,4.965454553813707,0.5315678127898389,0.10776109971836371,0.4238067130714752,0.6110091743119266,0.9697508896797153,4.996521412313547,0.029431764558186774,0.3889908256880734,71.69380791597173,0.0,Communication Services
