date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,MGM,16.18,16.7,16.04,16.64,27025077,0.46,2.84,16.44
2020-07-31,MGM,15.99,16.49,15.58,16.09,32210254,0.1,0.62539,15.93
2020-08-03,MGM,15.98,16.51,15.84,16.32,16752379,0.34,2.13,16.25
2020-08-04,MGM,16.33,16.79,16.29,16.72,27832101,0.39,2.39,16.59
2020-08-05,MGM,17.03,17.31,16.31,16.72,19156617,-0.31,-1.82,16.73
2020-08-06,MGM,16.69,18.6,16.56,18.46,36064402,1.77,10.61,17.89
2020-08-07,MGM,18.29,19.39,18.25,19.03,34760952,0.74,4.05,18.9
2020-08-10,MGM,22.48,23.79,20.88,21.65,72317284,-0.83,-3.69,21.92
2020-08-11,MGM,22.42,22.48,21.19,21.5,34868662,-0.92,-4.1,21.82
2020-08-12,MGM,21.94,21.95,20.69,21.13,23376546,-0.81,-3.69,21.15
2020-08-13,MGM,20.87,21.68,20.72,21.34,14055865,0.47,2.25,21.35
2020-08-14,MGM,21.17,21.85,20.96,21.81,12615758,0.64,3.02,21.55
2020-08-17,MGM,21.72,21.88,20.9216,21.38,13252262,-0.34,-1.57,21.39
2020-08-18,MGM,21.19,21.32,20.73,20.95,13757062,-0.24,-1.13,20.93
2020-08-19,MGM,20.89,21.21,20.75,20.9,8992027,0.01,0.04786979,20.95
2020-08-20,MGM,20.59,21.0799,20.4,20.83,9012257,0.24,1.17,20.88
2020-08-21,MGM,20.98,21.7,20.9501,21.16,11882672,0.18,0.85796,21.32
2020-08-24,MGM,21.29,22.28,21.02,22.27,17145035,0.98,4.6,21.98
2020-08-25,MGM,22.5,22.65,21.78,22.09,11963604,-0.41,-1.82,22.11
2020-08-26,MGM,22.13,22.18,21.7916,21.99,8678961,-0.14,-0.63263,21.98
2020-08-27,MGM,22.16,23.43,22.13,22.81,17307637,0.65,2.93,22.98
2020-08-28,MGM,23.37,24.365,22.97,23.86,23443955,0.49,2.1,23.85
2020-08-31,MGM,23.63,23.65,22.5,22.5,16618656,-1.13,-4.78,22.84
2020-09-01,MGM,22.26,23.0147,21.86,22.77,10867287,0.51,2.29,22.6
2020-09-02,MGM,22.78,23.83,22.5,23.72,16152884,0.94,4.13,23.24
2020-09-03,MGM,23.62,24.42,22.59,23.07,20463803,-0.55,-2.33,23.42
2020-09-04,MGM,23.33,23.94,22.47,23.52,18108407,0.19,0.8144,23.31
2020-09-08,MGM,22.85,23.695,22.61,23.17,16536350,0.32,1.4,23.26
2020-09-09,MGM,23.25,23.35,22.6,23.11,11882382,-0.14,-0.60215,23.01
2020-09-10,MGM,23.5,24.13,22.82,22.84,18145087,-0.66,-2.81,23.49
2020-09-11,MGM,23.07,23.1199,21.915,22.73,17314061,-0.34,-1.47,22.53
2020-09-14,MGM,22.39,23.16,22.38,23.06,15407945,0.67,2.99,22.87
2020-09-15,MGM,23.08,24.245,22.89,23.74,17444887,0.66,2.86,23.65
2020-09-16,MGM,23.69,23.78,22.55,23.01,19937188,-0.68,-2.87,23.01
2020-09-17,MGM,22.5,22.88,21.96,22.52,16155308,0.02,0.08888889,22.45
2020-09-18,MGM,22.24,22.7,21.675,22.02,29945688,-0.22,-0.98921,22.07
2020-09-21,MGM,21.23,21.48,20.57,21.09,15348862,-0.14,-0.65944,20.99
2020-09-22,MGM,21.19,21.76,21.01,21.62,11933130,0.43,2.03,21.47
