date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-08-31,MKC,1985,Q3,USD,0.0,1.0,1.0,1.0,0.0,0.018473505104521146,0.018473505104521146,0.018473505104521146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.245347368421054,0.0,0.0,0.0,2.0132682547399123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7094071578947369,0.006509433962264151,0.6509433962264151,0.5265070849373413,0.009726431321156524,,,,,,,,,0.0,0.0,0.0,,0.0,,0.006900000000000001,Consumer Defensive
1985-11-30,MKC,1985,Q4,USD,0.0,-2.0404191616766467,-2.0404191616766467,-2.0404191616766467,0.0,0.06324850299401198,0.06324850299401198,0.06324850299401198,2.8096740273396423,0.0,0.0,1.6534653465346534,0.45879120879120877,1.3126760563380282,0.5225352112676056,0.05256609642301711,0.012206572769953052,6.415143195266273,0.0004560528337867018,0.0004560528337867018,1.662183518589498,1.6229928143712578,0.0,0.0,0.25978708791208793,0.5799156765044078,0.3670548277535177,0.26651672757942085,2.2322729014948255,0.0,,,0.0,-9.649557522123894,0.0,,,0.0,0.0,0.15951166863905328,0.006216216216216216,0.6216216216216216,0.6839216971086903,0.04325702350724875,0.3872655418134163,0.0066549266934228845,0.6677962978130887,0.5308583831599639,0.6677962978130887,,,,0.0,0.0,1.662183518589498,0.3488878755075822,0.0,-1.0681652237710932,0.006900000000000001,Consumer Defensive
1986-02-28,MKC,1986,Q1,USD,0.0,1.0,1.0,1.0,0.0,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.427695238095236,-0.27688290917317043,-0.27688290917317043,0.0,2.0644501792114696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415291428571428,0.005847457627118645,0.5847457627118644,0.571580758829796,0.010755551913463902,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0069,Consumer Defensive
1986-05-31,MKC,1986,Q2,USD,0.0,1.0,1.0,1.0,0.0,0.0174496644295302,0.0174496644295302,0.0174496644295302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.78910769230769,-1.231564307692307,-1.231564307692307,0.0,2.149038389261745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6908775384615384,0.005609756097560975,0.5609756097560975,0.5723490125379005,0.009987298205359338,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0069,Consumer Defensive
1986-08-31,MKC,1986,Q3,USD,0.0,1.0,1.0,1.0,0.0,0.012755102040816327,0.012755102040816327,0.012755102040816327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.380799999999994,1.331423999999999,1.331423999999999,0.0,2.2643265306122444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887616,0.005,0.5,0.6094527363184079,0.00777363184079602,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0069,Consumer Defensive
1986-11-30,MKC,1986,Q4,USD,0.0,-2.0932607215793055,-2.0932607215793055,-2.0932607215793055,0.0,0.07215793056501021,0.07215793056501021,0.07215793056501021,2.6806569343065694,0.0,0.0,1.6561443066516348,0.4671648910796629,1.3858301323090056,0.5842936406316688,0.0592841163310962,0.018779342723004695,6.098264150943397,0.0005469295202639819,0.0005469295202639819,1.9061290084777,1.7601524846834584,0.0,0.0,0.24503100651931944,0.5680058975304091,0.3622472966619652,0.27362784471218204,2.318098046443052,0.0,,,0.0,-11.84971098265896,0.0,,,0.0,0.0,0.12560603773584905,0.005149253731343283,0.5149253731343283,0.7612976782752903,0.054933665008291874,0.3993055555555556,0.011401326699834163,0.7029954394693201,0.5698072139303483,0.7029954394693201,,,,0.0,0.0,1.9061290084777,0.2979892205638474,0.0,-1.084280975609756,0.0069,Consumer Defensive
1987-02-28,MKC,1987,Q1,USD,0.0,1.0,1.0,1.0,0.0,0.01896551724137931,0.01896551724137931,0.01896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.707345454545457,-0.29973779046066046,-0.29973779046066046,0.0,2.2536606896551725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6826136363636364,0.005744485294117647,0.5744485294117647,0.6034626269352422,0.011444980855668387,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0078125,Consumer Defensive
1987-05-31,MKC,1987,Q2,USD,0.0,1.0,1.0,1.0,0.0,0.028374233128834355,0.028374233128834355,0.028374233128834355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.053470270270267,0.2888555243243244,0.2888555243243244,0.0,2.049013496932515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40587837837837837,0.005620503597122303,0.5620503597122303,0.6783752288996171,0.019248376893624106,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0078125,Consumer Defensive
1987-08-31,MKC,1987,Q3,USD,0.0,1.0,1.0,1.0,0.0,0.016079632465543645,0.016079632465543645,0.016079632465543645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.24106666666667,-0.9162677333333334,-0.9162677333333334,0.0,2.266653598774885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7151190476190477,0.005073051948051948,0.5073051948051948,0.6794156817046779,0.010924754453138006,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0078125,Consumer Defensive
1987-11-30,MKC,1987,Q4,USD,0.0,-2.129121725731895,-2.129121725731895,-2.129121725731895,0.0,0.045300462249614794,0.045300462249614794,0.045300462249614794,2.861552028218695,0.0,0.0,1.6347607052896724,0.451949860724234,1.3480176211453745,0.5447870778267254,0.033584647018505824,0.027165932452276064,6.793844897959184,0.0006862469593898166,0.0006862469593898166,1.425180449518373,1.2310572573189522,0.0,0.0,0.3002785515320334,0.7691758829825187,0.4347650736035491,0.33134541984732824,2.561541205850874,0.0,,,0.0,-9.007822685788787,0.0,,,0.0,0.0,0.19841836734693877,0.0073014018691588784,0.7301401869158878,0.8691715950972829,0.03937387503214194,0.5774835004714151,0.019820862261078254,0.7507821205108426,0.5895367275220708,0.7507821205108426,,,,0.0,0.0,1.425180449518373,0.5397042060480515,0.0,-0.8795456361267912,0.0078125,Consumer Defensive
