date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,MKC,96.68,97.05,95.75,96.92,799054,0.24,0.24824,96.6
2020-07-31,MKC,96.6,97.45,95.47,97.45,1286488,0.85,0.87992,96.7425
2020-08-03,MKC,97.85,98.59,97.24,98.15,881734,0.3,0.30659,97.9575
2020-08-04,MKC,98.01,99.41,97.97,99.13,736454,1.13,1.14,98.63
2020-08-05,MKC,99.35,99.38,97.82,98.63,987414,-0.725,-0.72471,98.795
2020-08-06,MKC,98.27,99.68,98.13,99.53,694344,1.26,1.28,98.9025
2020-08-07,MKC,99.07,100.92,99.07,100.78,1243472,1.71,1.73,99.96
2020-08-10,MKC,100.75,101.28,100.01,100.91,878000,0.165,0.15881,100.7375
2020-08-11,MKC,101.0,101.0,98.57,98.89,785600,-2.11,-2.09,99.865
2020-08-12,MKC,99.26,101.57,99.25,100.83,860264,1.58,1.58,100.2275
2020-08-13,MKC,100.74,101.49,99.37,101.02,999614,0.285,0.27794,100.655
2020-08-14,MKC,101.0,101.76,100.42,100.78,837492,-0.225,-0.21782,100.99
2020-08-17,MKC,100.25,101.7,100.04,101.15,916000,0.905,0.89776,100.785
2020-08-18,MKC,101.17,102.0,100.46,101.25,603600,0.08,0.07907482,101.22
2020-08-19,MKC,101.7,101.7,100.62,101.26,611800,-0.44,-0.43265,101.32
2020-08-20,MKC,100.4,102.07,100.24,101.45,734600,1.05,1.05,101.04
2020-08-21,MKC,101.57,101.99,101.25,101.58,714200,0.005,0.00984543,101.5975
2020-08-24,MKC,101.8,102.08,100.9,101.42,660800,-0.375,-0.37328,101.55
2020-08-25,MKC,102.13,102.13,100.82,101.39,583800,-0.74,-0.72457,101.6175
2020-08-26,MKC,101.21,103.29,100.44,102.75,828400,1.54,1.52,101.9225
2020-08-27,MKC,102.98,103.62,102.68,102.73,525426,-0.25,-0.24277,103.0025
2020-08-28,MKC,102.56,102.81,101.38,102.3,573600,-0.265,-0.25351,102.2625
2020-08-31,MKC,102.23,103.44,102.17,103.1,759276,0.875,0.85102,102.735
2020-09-01,MKC,102.69,103.1,101.7,102.97,650474,0.28,0.27267,102.615
2020-09-02,MKC,103.5,105.22,103.17,104.89,847800,1.39,1.34,104.195
2020-09-03,MKC,104.45,105.54,101.21,102.01,891504,-2.45,-2.34,103.3025
2020-09-04,MKC,102.2,102.69,99.4,100.93,1151068,-1.28,-1.24,101.305
2020-09-08,MKC,100.89,100.93,98.58,98.76,1175600,-2.12,-2.11,99.79
2020-09-09,MKC,99.51,102.92,99.51,101.35,1246806,1.83,1.85,100.8225
2020-09-10,MKC,100.93,101.36,98.44,99.1,792898,-1.83,-1.81,99.9575
2020-09-11,MKC,99.36,99.69,98.42,99.32,746496,-0.035,-0.04025765,99.1975
2020-09-14,MKC,100.0,101.41,99.49,100.05,1044670,0.05,0.05,100.2375
2020-09-15,MKC,100.37,101.58,99.82,100.18,1067270,-0.19,-0.1893,100.4875
2020-09-16,MKC,100.68,101.3,99.25,99.34,1057800,-1.34,-1.33,100.1425
2020-09-17,MKC,97.99,98.37,95.56,96.37,1771382,-1.62,-1.65,97.0725
2020-09-18,MKC,96.21,97.3,94.2,94.98,1790600,-1.23,-1.28,95.6725
2020-09-21,MKC,94.27,95.46,93.72,95.2,1185600,0.935,0.98653,94.6625
2020-09-22,MKC,95.03,96.47,94.86,96.2,1355468,1.17,1.23,95.64
2020-09-23,MKC,96.69,96.8,92.55,92.75,1410600,-3.94,-4.07,94.6975
2020-09-24,MKC,93.03,96.2,92.9,94.43,1240200,1.39,1.5,94.14
2020-09-25,MKC,94.5,96.09,94.16,95.79,1080678,1.28,1.37,95.135
2020-09-28,MKC,97.37,98.28,96.89,97.59,2829800,0.22,0.22594,97.5325
2020-09-29,MKC,96.4,96.58,91.61,94.95,4812466,-1.46,-1.5,94.885
2020-09-30,MKC,95.69,98.09,95.5,97.05,1861898,1.36,1.42,96.5825
2020-10-01,MKC,97.37,97.73,95.57,96.6,1524482,-0.77,-0.7908,96.8175
2020-10-02,MKC,95.39,96.96,95.08,96.42,1006000,1.03,1.08,95.9625
2020-10-05,MKC,96.67,97.67,96.41,97.54,816566,0.875,0.89997,97.0725
2020-10-06,MKC,97.89,97.89,95.62,95.82,1087104,-2.07,-2.11,96.805
2020-10-07,MKC,96.33,97.52,96.06,97.09,977014,0.76,0.78895,96.75
2020-10-08,MKC,97.46,97.63,96.84,97.17,695200,-0.295,-0.29756,97.275
2020-10-09,MKC,97.9,98.52,97.64,98.06,732748,0.16,0.16343,98.03
2020-10-12,MKC,98.06,100.61,98.0,100.45,1039688,2.39,2.44,99.28
2020-10-13,MKC,100.27,101.67,99.31,100.12,1297600,-0.15,-0.1496,100.3425
2020-10-14,MKC,99.87,100.77,98.87,99.01,635056,-0.865,-0.86112,99.63
2020-10-15,MKC,98.36,100.05,98.14,99.58,699200,1.22,1.24,99.0325
2020-10-16,MKC,100.07,100.99,99.69,99.7,809000,-0.37,-0.36974,100.1125
2020-10-19,MKC,99.98,100.71,98.56,98.77,681024,-1.21,-1.21,99.505
2020-10-20,MKC,98.9,99.37,97.85,97.97,533000,-0.93,-0.94034,98.5225
2020-10-21,MKC,97.95,98.68,97.55,97.67,398852,-0.275,-0.28586,97.9625
2020-10-22,MKC,97.5,97.82,96.86,97.32,554514,-0.185,-0.18462,97.375
2020-10-23,MKC,97.77,98.46,97.32,98.23,553902,0.465,0.47049,97.945
2020-10-26,MKC,97.42,97.97,96.37,97.03,535600,-0.385,-0.40033,97.1975
2020-10-27,MKC,97.25,97.64,96.02,96.11,1094800,-1.14,-1.17,96.755
2020-10-28,MKC,94.86,95.53,92.7,92.84,907878,-2.03,-2.13,93.9825
2020-10-29,MKC,92.8,93.5,91.93,91.95,863000,-0.845,-0.91595,92.545
2020-10-30,MKC,91.55,92.15,89.26,90.26,1375632,-1.3,-1.41,90.805
2020-11-02,MKC,91.69,93.29,91.57,92.59,1005124,0.895,0.98157,92.285
2020-11-03,MKC,93.59,94.71,93.01,93.84,698600,0.25,0.26712,93.7875
2020-11-04,MKC,94.42,96.28,94.18,94.49,787000,0.075,0.07413684,94.8425
2020-11-05,MKC,95.9,95.97,93.83,94.27,826432,-1.62,-1.7,94.9925
2020-11-06,MKC,94.38,95.94,93.5,94.33,718600,-0.05,-0.05297733,94.5375
2020-11-09,MKC,95.88,97.0,88.92,89.16,2137454,-6.72,-7.01,92.74
2020-11-10,MKC,89.5,91.93,89.08,90.97,1152800,1.47,1.64,90.37
2020-11-11,MKC,91.83,93.54,91.71,93.45,1027000,1.62,1.76,92.6325
2020-11-12,MKC,94.08,94.37,91.44,92.49,623006,-1.59,-1.69,93.095
2020-11-13,MKC,92.44,92.98,91.15,92.31,596200,-0.13,-0.14063,92.22
2020-11-16,MKC,92.6,92.92,90.77,92.09,1145400,-0.505,-0.55076,92.095
2020-11-17,MKC,91.62,92.37,90.91,91.33,1334304,-0.285,-0.31652,91.5575
2020-11-18,MKC,91.48,92.42,90.88,91.1,1097084,-0.385,-0.41539,91.47
2020-11-19,MKC,90.91,91.81,90.1,91.62,864450,0.71,0.78099,91.11
2020-11-20,MKC,92.03,92.66,91.44,91.84,957652,-0.19,-0.20645,91.9925
2020-11-23,MKC,92.12,92.51,90.92,91.5,1054290,-0.615,-0.67304,91.7625
2020-11-24,MKC,92.5,94.04,92.07,93.27,1804422,0.77,0.83243,92.97
2020-11-25,MKC,93.34,94.44,92.61,92.8,731834,-0.545,-0.57853,93.2975
2020-11-27,MKC,93.5,94.1,92.13,93.24,575200,-0.26,-0.27807,93.2425
2020-11-30,MKC,92.91,93.61,91.14,93.49,1792400,0.585,0.62426,92.7875
2020-12-01,MKC,95.02,95.02,92.34,93.64,1425651,-1.38,-1.45,94.005
2020-12-02,MKC,93.49,94.4,91.16,91.42,980953,-2.07,-2.21,92.6175
2020-12-03,MKC,91.4,92.91,91.26,92.65,837621,1.25,1.37,92.055
2020-12-04,MKC,92.51,93.95,92.01,93.95,838950,1.44,1.56,93.105
2020-12-07,MKC,93.89,94.31,92.17,92.64,816239,-1.25,-1.33,93.2525
2020-12-08,MKC,92.17,93.85,92.05,93.44,710844,1.27,1.38,92.8775
2020-12-09,MKC,93.33,93.41,91.76,93.12,827009,-0.21,-0.22501,92.905
2020-12-10,MKC,93.22,93.64,92.45,93.05,655855,-0.17,-0.18236,93.09
2020-12-11,MKC,92.9,93.72,92.8,93.42,828800,0.52,0.55974,93.21
2020-12-14,MKC,93.84,94.98,93.24,93.28,759203,-0.56,-0.59676,93.835
2020-12-15,MKC,93.3,93.81,91.58,91.77,1312853,-1.53,-1.64,92.615
2020-12-16,MKC,91.98,93.17,91.81,92.71,982927,0.73,0.79365,92.4175
2020-12-17,MKC,93.14,95.34,92.93,94.6,1182807,1.46,1.57,94.0025
2020-12-18,MKC,94.49,95.05,92.28,93.37,2191385,-1.12,-1.19,93.7975
2020-12-21,MKC,92.26,94.12,91.89,93.69,1221200,1.43,1.55,92.99
2020-12-22,MKC,93.61,93.82,92.36,92.96,808724,-0.65,-0.69437,93.1875
2020-12-23,MKC,93.3,93.59,92.58,92.98,650512,-0.32,-0.34298,93.1125
2020-12-24,MKC,92.98,93.59,92.46,93.47,217637,0.49,0.527,93.125
2020-12-28,MKC,93.68,94.03,92.9,93.42,460000,-0.26,-0.27754,93.5075
2020-12-29,MKC,93.42,95.69,93.28,94.82,1205600,1.4,1.5,94.3025
2020-12-30,MKC,95.42,95.49,94.24,94.56,1157844,-0.86,-0.90128,94.9275
2020-12-31,MKC,94.56,95.76,94.0,95.6,1190934,1.04,1.1,94.98
2021-01-04,MKC,95.78,95.96,93.18,93.99,987600,-1.79,-1.87,94.7275
2021-01-05,MKC,93.8,94.49,92.33,94.23,825200,0.43,0.45842,93.7125
2021-01-06,MKC,93.76,95.25,93.34,93.93,1199526,0.17,0.18131,94.07
2021-01-07,MKC,93.96,94.89,92.65,94.79,1090448,0.83,0.88335,94.0725
2021-01-08,MKC,95.02,95.4,94.05,95.21,842415,0.19,0.19996,94.92
2021-01-11,MKC,95.54,95.86,93.08,93.63,765000,-1.91,-2.0,94.5275
2021-01-12,MKC,93.68,93.95,91.96,92.45,1118615,-1.23,-1.31,93.01
2021-01-13,MKC,92.84,93.75,92.35,93.26,953700,0.42,0.45239,93.05
2021-01-14,MKC,93.04,93.04,90.92,91.62,2018709,-1.42,-1.53,92.155
2021-01-15,MKC,91.86,93.96,91.48,93.43,1893300,1.57,1.71,92.6825
2021-01-19,MKC,93.81,94.18,91.92,93.01,1442342,-0.8,-0.85279,93.23
2021-01-20,MKC,92.8,93.05,91.22,91.75,1143052,-1.05,-1.13,92.205
2021-01-21,MKC,91.75,91.84,90.56,91.46,878938,-0.29,-0.31608,91.4025
2021-01-22,MKC,91.51,92.32,90.49,91.87,1051972,0.36,0.3934,91.5475
2021-01-25,MKC,92.11,94.86,91.93,94.55,1513100,2.44,2.65,93.3625
2021-01-26,MKC,94.55,96.41,93.78,96.09,1613806,1.54,1.63,95.2075
2021-01-27,MKC,95.87,98.8,93.96,94.07,2608530,-1.8,-1.88,95.675
2021-01-28,MKC,91.0,94.99,89.66,91.02,1862724,0.02,0.02197802,91.6675
2021-01-29,MKC,90.65,91.2,88.38,89.54,2733544,-1.11,-1.22,89.9425
2021-02-01,MKC,89.26,90.03,87.39,89.18,1402800,-0.08,-0.08962581,88.965
2021-02-02,MKC,89.24,91.17,88.58,89.48,1132800,0.24,0.26894,89.6175
2021-02-03,MKC,89.37,89.91,87.66,88.72,1315956,-0.65,-0.72731,88.915
2021-02-04,MKC,88.76,89.63,88.5,88.88,835238,0.12,0.1352,88.9425
2021-02-05,MKC,89.25,90.99,88.6,90.29,1610417,1.04,1.17,89.7825
2021-02-08,MKC,90.91,91.2,89.71,90.83,858978,-0.08,-0.08799912,90.6625
2021-02-09,MKC,90.99,91.35,90.25,90.77,792661,-0.22,-0.24178,90.84
2021-02-10,MKC,91.49,91.49,90.12,90.8,710504,-0.69,-0.75418,90.975
2021-02-11,MKC,90.61,91.09,89.45,89.88,611428,-0.73,-0.80565,90.2575
2021-02-12,MKC,89.88,90.13,88.64,89.65,1062000,-0.23,-0.2559,89.575
2021-02-16,MKC,89.7,90.11,86.87,86.93,2056800,-2.77,-3.09,88.4025
2021-02-17,MKC,86.22,86.81,85.6,85.95,3036321,-0.27,-0.31315,86.145
2021-02-18,MKC,85.87,87.59,85.07,86.49,1917000,0.62,0.72202,86.255
2021-02-19,MKC,86.82,86.82,83.97,84.12,1446304,-2.7,-3.11,85.4325
2021-02-22,MKC,84.12,84.12,82.76,83.96,1404400,-0.16,-0.1902,83.74
2021-02-23,MKC,84.26,85.64,83.91,84.37,1376700,0.11,0.13055,84.545
2021-02-24,MKC,83.65,85.35,83.54,84.8,2024800,1.15,1.37,84.335
2021-02-25,MKC,84.89,85.84,83.92,84.41,767800,-0.48,-0.56544,84.765
2021-02-26,MKC,84.51,84.79,83.76,84.28,1377767,-0.23,-0.27216,84.335
2021-03-01,MKC,84.79,85.4,84.19,84.55,1287700,-0.24,-0.28305,84.7325
2021-03-02,MKC,84.69,85.51,84.11,84.9,866530,0.21,0.24796,84.8025
2021-03-03,MKC,84.65,84.9,83.14,83.19,1440550,-1.46,-1.72,83.97
2021-03-04,MKC,83.59,84.63,82.58,82.9,1665000,-0.69,-0.82546,83.425
2021-03-05,MKC,83.14,84.9,82.03,84.43,1162467,1.29,1.55,83.625
2021-03-08,MKC,84.53,84.75,83.66,84.15,1401823,-0.38,-0.44954,84.2725
2021-03-09,MKC,84.5,86.32,84.32,85.02,1351618,0.52,0.61538,85.04
2021-03-10,MKC,85.22,86.29,84.05,85.9,1034471,0.68,0.79793,85.365
2021-03-11,MKC,85.66,86.8,85.39,85.82,851711,0.16,0.18678,85.9175
2021-03-12,MKC,86.21,86.89,85.46,86.81,1097100,0.6,0.69597,86.3425
2021-03-15,MKC,87.17,88.05,86.93,87.34,1530737,0.17,0.19502,87.3725
2021-03-16,MKC,87.31,87.9,86.78,87.23,966500,-0.08,-0.09162753,87.305
