date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,MLM,212.79,213.46,207.68,209.2,634659,-3.59,-1.69,210.7825
2020-07-31,MLM,208.43,209.15,201.71,207.18,514645,-1.25,-0.59972,206.6175
2020-08-03,MLM,208.94,209.32,204.3,208.08,546300,-0.86,-0.4116,207.66
2020-08-04,MLM,208.37,212.73,207.33,212.28,456909,3.91,1.88,210.1775
2020-08-05,MLM,213.82,219.95,212.8,216.85,605414,3.03,1.42,215.855
2020-08-06,MLM,212.13,217.36,212.13,213.08,502200,0.95,0.44784,213.675
2020-08-07,MLM,213.38,220.52,212.74,220.0,387229,6.62,3.1,216.66
2020-08-10,MLM,221.81,224.48,220.06,223.41,380701,1.6,0.72134,222.44
2020-08-11,MLM,228.52,230.43,224.74,225.55,527527,-2.97,-1.3,227.31
2020-08-12,MLM,226.45,226.91,220.08,221.12,607604,-5.33,-2.35,223.64
2020-08-13,MLM,219.44,222.32,218.03,219.63,411900,0.19,0.08658403,219.855
2020-08-14,MLM,218.71,221.55,217.21,219.33,365943,0.62,0.28348,219.2
2020-08-17,MLM,220.87,221.13,216.16,216.42,674200,-4.45,-2.01,218.645
2020-08-18,MLM,217.6,218.13,213.81,214.89,408800,-2.71,-1.25,216.1075
2020-08-19,MLM,215.72,216.4,211.55,212.19,425300,-3.53,-1.64,213.965
2020-08-20,MLM,210.0,211.02,208.08,209.19,385356,-0.81,-0.38571,209.5725
2020-08-21,MLM,208.72,211.32,207.95,209.66,377476,0.94,0.45036,209.4125
2020-08-24,MLM,211.85,214.19,210.43,212.04,521927,0.19,0.0896861,212.1275
2020-08-25,MLM,212.14,213.19,208.28,211.3,322000,-0.84,-0.39596,211.2275
2020-08-26,MLM,210.37,210.37,205.72,208.47,468331,-1.9,-0.90317,208.7325
2020-08-27,MLM,209.36,212.55,208.48,209.08,434200,-0.28,-0.13374,209.8675
2020-08-28,MLM,209.73,209.73,204.57,207.32,579328,-2.41,-1.15,207.8375
2020-08-31,MLM,207.05,207.05,202.64,202.87,612021,-4.18,-2.02,204.9025
2020-09-01,MLM,203.03,207.89,201.29,207.86,529502,4.83,2.38,205.0175
2020-09-02,MLM,206.5,214.24,205.05,212.57,563223,6.07,2.94,209.59
2020-09-03,MLM,212.69,215.96,208.48,211.04,717900,-1.65,-0.77578,212.0425
2020-09-04,MLM,213.65,216.98,212.0,215.11,985020,1.46,0.68336,214.435
2020-09-08,MLM,211.65,212.17,205.14,206.93,842993,-4.72,-2.23,208.9725
2020-09-09,MLM,205.28,206.67,201.04,203.45,641700,-1.83,-0.89147,204.11
2020-09-10,MLM,203.55,209.27,202.22,207.33,453827,3.78,1.86,205.5925
2020-09-11,MLM,207.97,216.33,206.18,209.92,558600,1.95,0.93764,210.1
2020-09-14,MLM,210.54,217.58,210.15,216.48,545800,5.94,2.82,213.6875
