date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1989-09-30,MNST,1989,Q3,USD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92100104,0.0,0.0,0.0,43.68400416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0006557549050466898,0.0006557549050466898,,,,,,,,,1.0,1.0,0.0,,0.0,,,Consumer Defensive
1989-12-31,MNST,1989,Q4,USD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.445998439999999,0.0,0.0,0.0,29.78399376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0006557549050466898,0.0006557549050466898,,,,,,,,,1.0,1.0,0.0,,0.0,,,Consumer Defensive
1990-03-31,MNST,1990,Q1,USD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.87787604,0.0,0.0,0.0,67.51150415999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0006557549050466898,0.0006557549050466898,,,,,,,,,1.0,1.0,0.0,,0.0,,,Consumer Defensive
1990-06-30,MNST,1990,Q2,USD,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,-14.614090628962499,0.14614090628962498,0.14614090628962498,3.6535226572406247,58.456362515849996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0006905150827517764,-0.0006905150827517764,0.0,0.011048241324028422,0.011048241324028422,0.011048241324028422,0.011048241324028422,,,,1.0,1.0,3.6535226572406247,0.0,0.0,-42.456362515849996,,Consumer Defensive
1990-09-30,MNST,1990,Q3,USD,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.821485704055,0.0,0.0,0.0,39.28594281622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0007291666674262153,-0.0007291666674262153,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Defensive
1991-03-31,MNST,1991,Q1,USD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.90290864,0.0,0.0,0.0,67.61163456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00028887040118321316,0.00028887040118321316,,,,,,,,,1.0,1.0,0.0,,0.0,,,Consumer Defensive
1991-06-30,MNST,1991,Q2,USD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.776105759999998,0.0,0.0,0.0,63.10442303999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00028887040118321316,0.00028887040118321316,,,,,,,,,1.0,1.0,0.0,,0.0,,,Consumer Defensive
1991-09-30,MNST,1991,Q3,USD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.90290864,0.0,0.0,0.0,67.61163456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00028887040118321316,0.00028887040118321316,,,,,,,,,1.0,1.0,0.0,,0.0,,,Consumer Defensive
1991-12-31,MNST,1991,Q4,USD,1.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.0,0.04285714285714286,70.0,70.0,-1.0,70.0,-81.13673088,0.0,0.0,4.703578601739131,108.18230784,0.0,0.0,0.0,0.0,0.0,0.0,1.0144927536231885,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00021665280088740987,-7.221760029580329e-05,0.0,0.005055232020706231,0.004983014420410427,0.004983014420410427,0.004983014420410427,,,,1.0,1.0,4.703578601739131,0.0,0.0,-254.54692352,,Consumer Defensive
1992-03-31,MNST,1992,Q1,USD,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.7504,0.0,0.0,0.0,275.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00010416666666666667,-0.00010416666666666667,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Defensive
1992-06-30,MNST,1992,Q2,USD,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.014084507042253521,34.0,34.0,-0.3333333333333333,34.0,-37.5,0.0,0.0,2.2058823529411766,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0441176470588236,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00010416666666666667,-0.00010416666666666667,0.0,0.007083333333333333,0.007083333333333333,0.007083333333333333,0.007083333333333333,,,,0.0,0.0,2.2058823529411766,0.0,0.0,-82.0,,Consumer Defensive
1992-09-30,MNST,1992,Q3,USD,0.40476190476190477,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,7.0,2.0833333333333335,4.166666666666667,42.0,0.25925925925925924,1.1,0.9,0.0273972602739726,0.5666666666666667,37.5,-0.125,-0.125,3.3707865168539324,7.142857142857143,30.0,30.0,0.2777777777777778,0.5056179775280899,0.3358208955223881,0.32061068702290074,1.8202247191011236,1.2173913043478262,0.3333333333333333,0.23809523809523808,1.0,0.8,1.0,3.3333333333333335,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.004375,0.00020833333333333335,0.004895833333333334,0.0017708333333333332,0.009270833333333334,-0.003958333333333334,0.009270833333333334,0.0010416666666666667,0.0,0.0010416666666666667,0.0,0.0,3.3707865168539324,0.15,0.0,164.0,0.0,Consumer Defensive
1992-12-31,MNST,1992,Q4,USD,0.5185185185185185,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,4.5,2.3636363636363638,2.3636363636363638,54.0,0.3375,1.1071428571428572,0.7142857142857143,0.05263157894736842,0.32142857142857145,55.468799999999995,-0.554688,-0.554688,10.565485714285714,16.4352,-98.6112,-98.61120000000001,0.3125,0.5952380952380952,0.373134328358209,0.3333333333333333,1.9047619047619047,18.0,-0.32142857142857145,-0.16666666666666666,1.0,0.5,0.0,-1.125,-0.18,0.0,0.0,0.0,0.0,0.0,0.0028125,0.00020833333333333335,0.0026041666666666665,0.00046875,0.004375,-0.0021354166666666665,0.004375,-0.00046875,0.0,-0.00046875,1.0,1.0,10.565485714285714,0.056337977385485176,0.0,232.1252,0.0,Consumer Defensive
1993-03-31,MNST,1993,Q1,USD,0.4666666666666667,0.06666666666666667,0.1111111111111111,0.06666666666666667,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,5.0,2.6666666666666665,2.6666666666666665,22.5,0.28662420382165604,1.2608695652173914,0.8695652173913043,0.0410958904109589,0.4782608695652174,75.0,0.0,0.0,3.571428571428571,6.666666666666667,150.0,100.0,0.3184713375796178,0.5952380952380952,0.373134328358209,0.33858267716535434,1.869047619047619,10.0,0.13043478260869565,0.06666666666666667,0.6666666666666666,0.5,3.0,0.42857142857142855,0.06,3.0,3.0,0.0,0.0,0.0,0.0046875,0.00010416666666666667,0.0053125,0.0011458333333333333,0.00875,-0.004166666666666667,0.00875,0.0003125,0.00010416666666666667,0.00020833333333333335,0.0,0.0,3.571428571428571,0.16666666666666666,0.0,67.8,0.0,Consumer Defensive
1993-06-30,MNST,1993,Q2,USD,0.4375,0.09375,0.109375,0.09375,0.0625,0.03125,0.03125,0.03125,10.666666666666666,4.0,4.5,32.0,0.4155844155844156,1.0384615384615385,0.7307692307692307,0.04225352112676056,0.46153846153846156,35.937599999999996,0.359376,0.359376,3.4638650602409635,4.4922,41.07154285714286,41.07154285714285,0.2857142857142857,0.5301204819277109,0.3464566929133858,0.319672131147541,1.855421686746988,18.285714285714285,0.2692307692307692,0.109375,1.0,0.7142857142857143,3.0,1.4,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.00020833333333333335,0.004791666666666666,0.00125,0.008645833333333333,-0.004166666666666667,0.008645833333333333,0.0007291666666666667,0.0,0.0007291666666666667,0.5,0.6666666666666666,3.4638650602409635,0.15304305240194113,0.5,45.64297142857143,0.0,Consumer Defensive
1993-09-30,MNST,1993,Q3,USD,0.463768115942029,0.057971014492753624,0.08695652173913043,0.057971014492753624,0.07246376811594203,0.057971014492753624,0.057971014492753624,0.057971014492753624,11.5,3.3636363636363638,3.0833333333333335,34.5,0.46,1.4090909090909092,0.8636363636363636,0.08955223880597014,0.4090909090909091,16.796999999999997,0.16796999999999998,0.16796999999999998,3.2379759036144575,3.8949565217391307,-134.376,-134.37599999999998,0.26666666666666666,0.4819277108433735,0.3252032520325203,0.319672131147541,1.8072289156626506,13.8,-0.09090909090909091,-0.028985507246376812,1.0,5.0,0.0,-2.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0071875,0.0004166666666666667,0.004166666666666667,0.0009375,0.008645833333333333,-0.0033333333333333335,0.008645833333333333,-0.00020833333333333335,0.0,-0.00020833333333333335,0.8,1.25,3.2379759036144575,0.14883610168482467,0.2,49.958666666666666,0.0,Consumer Defensive
