date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,MO,1985,Q3,USD,2185059197.16,,,0.0,0.0,,,0.0,0.0,,,0.10839661054253329,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.18031548093163605,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1985-12-31,MO,1985,Q4,USD,2574718832.88,10427718832.880001,7.04290073813319,0.0,0.0,-1.2909746741377177,-0.9722187832718449,1.4855054197126292,0.0,1.9184909339628318,-3.240429208601222,-0.03502364622279446,1.0,1926000000.0,12067000000.0,0.016231568076194847,0.0,0.021808510638297873,0.0597213426219126,-0.5712446958981613,-0.6000148566334869,0.10987607516101357,,0.0,0.0,,0.0,0,,0.25572321992082164,,,,109.232743482372,0.0,0.0,109.232743482372,109.232743482372,,,280000000.0,-6799000000.0,Consumer Defensive
1986-03-31,MO,1986,Q1,USD,3440749200.0,,,0.0,0.0,,,0.0,0.0,,,0.053342336259284265,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.09184046311774191,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-06-30,MO,1986,Q2,USD,4369676240.0,,,0.0,0.0,,,0.0,0.0,,,0.057698194061830424,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.08627641484029032,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-09-30,MO,1986,Q3,USD,3880962450.0000005,,,0.0,0.0,,,0.0,0.0,,,0.0647077211628634,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.10667456986088591,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-12-31,MO,1986,Q4,USD,4171443380.0,11010443380.0,6.0331196602739725,0.0,0.0,-0.7219016115919223,-0.4484002098085497,1.3195002231146808,0.0,2.4047006518113703,-3.005614330069128,-0.024324678730658276,1.0,1432000000.0,11657000000.0,0.021029361750368437,0.0,0.027171524827889263,0.06560565870910698,-1.079634741983436,-1.158966565349544,0.08893804043434002,,0.0,0.0,,0.0,0,,0.22605146808751841,,,,92.613698630137,0.0,0.0,92.613698630137,92.613698630137,,,1667000000.0,-6073000000.0,Consumer Defensive
1987-03-31,MO,1987,Q1,USD,4942874690.0,,,0.0,0.0,,,0.0,0.0,,,0.05889533109551419,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07809220832179341,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-06-30,MO,1987,Q2,USD,5206184620.0,,,0.0,0.0,,,0.0,0.0,,,0.0669479606188467,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.09142971960145355,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-09-30,MO,1987,Q3,USD,6926373960.0,,,0.0,0.0,,,0.0,0.0,,,0.07205396870963111,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0724765949541656,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-12-31,MO,1987,Q4,USD,4945695960.0,11134695960.0,1.5762593374858438,0.0,0.0,-0.6699576389891697,-0.3723826714801444,1.269706336939722,0.0,3.0138020710471305,-2.988280136816174,-0.028760529482551145,1.0,1396000000.0,12030000000.0,0.024967354400626796,0.0,0.03167031074007818,0.0700571596072109,-1.0988429752066116,-1.189777364163505,0.09664969376726507,,0.0,0.0,,0.0,0,,0.21164794985635937,,,,26.538788221970552,0.0,0.0,26.538788221970552,26.538788221970552,,,2771000000.0,-5750000000.0,Consumer Defensive
1988-03-31,MO,1988,Q1,USD,5173084280.0,,,0.0,0.0,,,0.0,0.0,,,0.06937534549474848,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.09704075418620475,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-06-30,MO,1988,Q2,USD,4860425340.0,,,0.0,0.0,,,0.0,0.0,,,0.0801892825169459,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.12900105569773035,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-09-30,MO,1988,Q3,USD,5599437380.0,,,0.0,0.0,,,0.0,0.0,,,0.08466940506161388,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1141186081091597,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
