date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,MOS,13.6,13.67,13.32,13.5,3046380,-0.1,-0.73529,13.5225
2020-07-31,MOS,13.46,13.55,13.3,13.47,2514323,0.01,0.07429421,13.445
2020-08-03,MOS,13.39,13.97,13.22,13.68,4427209,0.29,2.17,13.565
2020-08-04,MOS,14.92,15.88,14.88,15.53,13703733,0.61,4.09,15.3025
2020-08-05,MOS,15.99,16.67,15.82,16.31,9649110,0.32,2.0,16.1975
2020-08-06,MOS,16.29,16.4,15.85,16.14,4537834,-0.15,-0.92081,16.17
2020-08-07,MOS,16.0,17.22,15.99,17.19,8039315,1.19,7.44,16.6
2020-08-10,MOS,17.46,18.57,17.46,18.4,9951400,0.94,5.38,17.9725
2020-08-11,MOS,18.79,18.89,17.61,17.64,6319413,-1.15,-6.12,18.2325
2020-08-12,MOS,18.01,18.15,17.36,17.41,5023614,-0.6,-3.33,17.7325
2020-08-13,MOS,17.29,17.7,17.06,17.46,4939612,0.17,0.98323,17.3775
2020-08-14,MOS,17.36,18.1,17.19,17.83,4313205,0.47,2.71,17.62
2020-08-17,MOS,18.09,18.35,17.75,17.85,4091800,-0.24,-1.33,18.01
2020-08-18,MOS,17.89,18.45,17.81,18.28,3805602,0.39,2.18,18.1075
2020-08-19,MOS,18.29,18.4,17.88,17.93,3102200,-0.36,-1.97,18.125
2020-08-20,MOS,17.62,17.88,17.41,17.81,2384314,0.19,1.08,17.68
2020-08-21,MOS,17.69,17.72,17.4,17.49,3072830,-0.2,-1.13,17.575
2020-08-24,MOS,17.8,18.67,17.73,18.5,3877395,0.7,3.93,18.175
2020-08-25,MOS,18.61,18.7,18.05,18.34,3678000,-0.27,-1.45,18.425
2020-08-26,MOS,18.2,18.63,18.2,18.47,3582033,0.27,1.48,18.375
2020-08-27,MOS,18.49,18.59,18.24,18.42,3017985,-0.07,-0.37858,18.435
2020-08-28,MOS,18.36,19.03,18.27,18.91,3670730,0.55,3.0,18.6425
2020-08-31,MOS,18.89,18.89,18.22,18.23,3348300,-0.66,-3.49,18.5575
2020-09-01,MOS,18.16,18.7,17.94,18.7,3879900,0.54,2.97,18.375
2020-09-02,MOS,18.41,18.91,18.33,18.89,3874300,0.48,2.61,18.635
2020-09-03,MOS,18.95,19.03,18.24,18.48,3469022,-0.47,-2.48,18.675
2020-09-04,MOS,18.67,18.78,18.14,18.53,3852785,-0.14,-0.74987,18.53
2020-09-08,MOS,17.88,17.92,17.22,17.49,4636100,-0.39,-2.18,17.6275
2020-09-09,MOS,17.62,18.09,17.48,17.97,3551310,0.35,1.99,17.79
2020-09-10,MOS,18.05,18.22,17.67,17.72,2722409,-0.33,-1.83,17.915
2020-09-11,MOS,17.95,18.44,17.69,18.31,3549377,0.36,2.01,18.0975
2020-09-14,MOS,18.44,18.45,17.88,18.13,3329351,-0.31,-1.68,18.225
2020-09-15,MOS,18.15,18.27,17.8,18.03,3664000,-0.12,-0.66116,18.0625
2020-09-16,MOS,18.09,18.43,17.74,18.1,4477700,0.01,0.05527916,18.09
2020-09-17,MOS,18.06,19.43,17.83,19.26,8280700,1.2,6.64,18.645
2020-09-18,MOS,19.37,20.03,19.07,19.26,18798500,-0.11,-0.56789,19.4325
2020-09-21,MOS,18.81,18.81,17.19,17.81,7586100,-1.0,-5.32,18.155
2020-09-22,MOS,17.76,18.12,17.55,18.05,4216228,0.29,1.63,17.87
2020-09-23,MOS,18.37,19.27,18.15,18.26,7171923,-0.11,-0.5988,18.5125
2020-09-24,MOS,18.26,19.18,17.74,18.82,5953000,0.56,3.07,18.5
2020-09-25,MOS,18.55,18.76,18.07,18.59,4086800,0.04,0.21563,18.4925
2020-09-28,MOS,18.87,19.29,18.45,18.47,4104400,-0.4,-2.12,18.77
