date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,MRNA,78.0,79.25,76.8,77.63,13101985,-0.37,-0.47436,77.85
2020-07-31,MRNA,78.2,78.44,73.6038,74.1,14223411,-4.1,-5.24,75.24
2020-08-03,MRNA,74.98,77.99,73.03,77.98,13382327,3.0,4.0,75.78
2020-08-04,MRNA,78.192,78.62,75.5,78.46,10126500,0.268,0.34275,77.4
2020-08-05,MRNA,77.49,77.49,73.69,75.8,19859902,-1.69,-2.18,75.22
2020-08-06,MRNA,75.79,76.25,73.12,73.76,11691503,-2.03,-2.68,73.93
2020-08-07,MRNA,74.38,75.39,73.01,74.1,8771437,-0.28,-0.37645,74.13
2020-08-10,MRNA,74.27,75.0,71.41,72.01,8678274,-2.26,-3.04,72.52
2020-08-11,MRNA,69.52,71.4,67.0,68.97,18118727,-0.55,-0.79114,70.72
2020-08-12,MRNA,75.67,75.75,68.3,69.52,50471491,-6.15,-8.13,70.66
2020-08-13,MRNA,69.09,69.18,67.05,67.83,15055934,-1.26,-1.82,67.91
2020-08-14,MRNA,68.06,70.36,67.86,69.15,12799582,1.09,1.6,69.13
2020-08-17,MRNA,69.14,70.78,68.38,69.76,8749112,0.62,0.89673,69.34
2020-08-18,MRNA,68.28,69.7,65.23,67.03,11329150,-1.25,-1.83,67.26
2020-08-19,MRNA,66.74,69.17,66.6,68.0,8558809,1.26,1.89,68.29
2020-08-20,MRNA,67.79,68.0,66.63,67.81,6346700,0.02,0.02950288,67.22
2020-08-21,MRNA,67.5,68.02,65.6,66.45,6935608,-1.05,-1.56,66.52
2020-08-24,MRNA,67.15,67.85,62.88,64.88,13143244,-2.27,-3.38,64.94
2020-08-25,MRNA,64.32,66.696,63.55,66.25,7798501,1.93,3.0,65.73
2020-08-26,MRNA,67.62,71.64,66.03,70.5,28768082,2.88,4.26,69.37
2020-08-27,MRNA,69.98,70.32,67.01,68.03,9262562,-1.95,-2.79,67.95
2020-08-28,MRNA,68.04,68.95,67.15,67.49,6383705,-0.55,-0.80835,67.75
2020-08-31,MRNA,67.14,67.2,62.54,64.89,15271802,-2.25,-3.35,64.0
2020-09-01,MRNA,63.54,64.5,62.5,63.32,8200671,-0.22,-0.34624,63.25
2020-09-02,MRNA,62.84,64.89,61.3805,64.72,9874614,1.88,2.99,63.11
2020-09-03,MRNA,65.65,69.35,64.3,64.84,14307317,-0.81,-1.23,66.59
2020-09-04,MRNA,64.99,65.0,59.01,62.6,11653287,-2.39,-3.68,61.68
2020-09-08,MRNA,57.75,58.6,54.21,54.34,17706208,-3.41,-5.9,55.95
2020-09-09,MRNA,56.03,57.19,54.51,56.9,9355441,0.87,1.55,56.08
2020-09-10,MRNA,57.0408,60.32,56.87,57.56,7985321,0.5192,0.91023,59.0
2020-09-11,MRNA,58.49,59.51,57.45,59.34,4821869,0.85,1.45,58.61
2020-09-14,MRNA,60.15,63.85,60.115,63.67,8926879,3.52,5.85,62.88
2020-09-15,MRNA,65.0274,68.41,64.2293,66.88,9101184,1.8526,2.85,66.54
2020-09-16,MRNA,67.64,70.04,66.73,68.84,11398006,1.2,1.77,68.85
2020-09-17,MRNA,68.5,70.9,64.6,67.89,13275199,-0.61,-0.89051,68.01
2020-09-18,MRNA,68.28,70.0,66.1,69.87,13206193,1.59,2.33,68.75
2020-09-21,MRNA,68.6,69.48,65.46,69.26,8223034,0.66,0.9621,67.61
2020-09-22,MRNA,67.5,69.19,66.67,68.72,6303612,1.22,1.81,68.23
2020-09-23,MRNA,67.865,68.62,65.77,67.16,6919352,-0.705,-1.04,67.21
2020-09-24,MRNA,65.5,66.77,63.64,65.17,5565191,-0.33,-0.50382,65.17
2020-09-25,MRNA,65.8865,69.73,65.67,69.47,9190629,3.5835,5.44,68.76
2020-09-28,MRNA,69.59,71.5,69.1,70.55,7337397,0.96,1.38,70.35
2020-09-29,MRNA,70.46,71.34,69.5851,70.52,6294318,0.06,0.0851547,70.74
2020-09-30,MRNA,72.51,75.39,70.16,70.75,15690706,-1.76,-2.43,72.53
2020-10-01,MRNA,69.57,70.2,68.16,70.03,6838969,0.46,0.6612,69.43
2020-10-02,MRNA,67.9,72.77,67.25,68.81,8004919,0.91,1.34,70.47
2020-10-05,MRNA,69.64,72.02,69.05,71.95,6518121,2.31,3.32,70.92
2020-10-06,MRNA,72.0,73.92,70.31,71.04,7285512,-0.96,-1.33,72.2
2020-10-07,MRNA,71.23,73.24,70.959,72.37,4190611,1.14,1.6,72.32
2020-10-08,MRNA,73.5,73.76,72.01,72.93,4023816,-0.57,-0.77551,72.77
2020-10-09,MRNA,73.42,73.67,72.39,73.0,4774015,-0.42,-0.57205,73.07
2020-10-12,MRNA,73.61,75.8514,72.92,75.31,7590764,1.7,2.31,74.79
2020-10-13,MRNA,75.93,81.37,75.52,78.29,13669187,2.36,3.11,78.64
2020-10-14,MRNA,80.01,80.01,76.3252,76.56,6643833,-3.45,-4.31,77.78
2020-10-15,MRNA,75.48,76.49,73.7101,75.58,5014595,0.1,0.13249,75.12
2020-10-16,MRNA,76.06,76.93,73.665,73.94,4693584,-2.12,-2.79,74.75
2020-10-19,MRNA,73.97,74.09,70.5,70.96,6931283,-3.01,-4.07,71.66
2020-10-20,MRNA,72.07,73.1,70.65,71.31,5441299,-0.76,-1.05,71.97
2020-10-21,MRNA,71.57,71.5784,68.06,68.37,4614813,-3.2,-4.47,69.66
2020-10-22,MRNA,68.5035,72.53,68.4,70.84,5212065,2.3365,3.41,70.94
2020-10-23,MRNA,72.3,72.3997,68.8,70.53,3735087,-1.77,-2.45,70.17
2020-10-26,MRNA,70.36,71.32,68.7,70.24,3872799,-0.12,-0.17055,69.94
2020-10-27,MRNA,70.45,71.35,68.81,70.67,3812879,0.22,0.31228,70.18
2020-10-28,MRNA,68.95,69.47,65.4899,65.74,6043991,-3.21,-4.66,66.73
2020-10-29,MRNA,68.35,74.539,66.23,71.28,13776433,2.93,4.29,71.31
2020-10-30,MRNA,70.8,71.49,66.85,67.47,7085797,-3.33,-4.7,68.02
2020-11-02,MRNA,68.02,68.6,66.55,67.11,4650268,-0.91,-1.34,67.21
2020-11-03,MRNA,66.75,69.25,66.59,69.08,4366542,2.33,3.49,67.97
2020-11-04,MRNA,68.97,71.55,68.9188,69.81,5442067,0.84,1.22,70.04
2020-11-05,MRNA,71.09,71.59,70.16,71.48,4449850,0.39,0.5486,70.92
2020-11-06,MRNA,71.42,74.16,70.87,72.45,5841047,1.03,1.44,72.53
2020-11-09,MRNA,77.75,80.25,75.42,77.74,20240413,-0.01,-0.01286174,78.06
2020-11-10,MRNA,80.0,80.38,73.52,76.05,10496595,-3.95,-4.94,76.31
2020-11-11,MRNA,77.05,83.98,76.13,82.44,18576496,5.39,7.0,81.52
2020-11-12,MRNA,85.18,87.93,83.83,87.81,21750394,2.63,3.09,86.38
2020-11-13,MRNA,86.62,90.53,85.22,89.39,14176721,2.77,3.2,88.9
2020-11-16,MRNA,100.31,103.2,93.3,97.95,70853055,-2.36,-2.35,97.77
2020-11-17,MRNA,97.23,97.8,91.6,93.15,26171963,-4.08,-4.2,93.54
2020-11-18,MRNA,93.87,94.0,88.6103,88.89,21823450,-4.98,-5.31,89.97
2020-11-19,MRNA,90.0,94.65,89.5114,92.77,16002015,2.77,3.08,92.65
2020-11-20,MRNA,95.0,98.43,94.82,97.61,15306303,2.61,2.75,97.2
