date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,MS,49.36,49.36,48.55,48.95,9410100,-0.41,-0.83063,49.055
2020-07-31,MS,49.02,49.03,48.27,48.88,9669900,-0.14,-0.2856,48.8
2020-08-03,MS,49.22,49.91,48.72,49.46,9913058,0.24,0.48761,49.3275
2020-08-04,MS,49.5,49.77,49.08,49.26,6445200,-0.24,-0.48485,49.4025
2020-08-05,MS,49.59,49.96,49.44,49.77,6701327,0.18,0.36298,49.69
2020-08-06,MS,49.83,49.98,49.24,49.45,5701120,-0.38,-0.76259,49.625
2020-08-07,MS,49.21,50.47,49.08,50.35,6225900,1.14,2.32,49.7775
2020-08-10,MS,50.5,50.83,50.26,50.58,6518312,0.08,0.15842,50.5425
2020-08-11,MS,51.64,52.87,51.57,51.78,11792644,0.14,0.27111,51.965
2020-08-12,MS,52.63,53.42,51.91,52.38,8950091,-0.25,-0.47501,52.585
2020-08-13,MS,51.93,52.46,51.71,52.18,5728700,0.25,0.48142,52.07
2020-08-14,MS,51.68,52.55,51.65,52.3,5782322,0.62,1.2,52.045
2020-08-17,MS,52.2,52.3,51.09,51.28,7333000,-0.92,-1.76,51.7175
2020-08-18,MS,51.17,51.37,50.65,50.92,6450000,-0.25,-0.48857,51.0275
2020-08-19,MS,51.19,52.03,51.14,51.37,5957612,0.18,0.35163,51.4325
2020-08-20,MS,50.73,51.07,50.5,50.8,5186346,0.07,0.13799,50.775
2020-08-21,MS,50.59,51.42,50.5,51.1,6408525,0.51,1.01,50.9025
2020-08-24,MS,51.31,52.47,51.16,52.37,7728500,1.06,2.07,51.8275
2020-08-25,MS,52.81,52.89,51.85,52.05,8425547,-0.76,-1.44,52.4
2020-08-26,MS,51.99,52.11,51.61,51.71,5920800,-0.28,-0.53857,51.855
2020-08-27,MS,51.76,52.87,51.68,52.61,8910127,0.85,1.64,52.23
2020-08-28,MS,53.0,53.0,52.45,52.89,8743821,-0.11,-0.20755,52.835
2020-08-31,MS,52.89,52.89,52.25,52.26,8026600,-0.63,-1.19,52.5725
2020-09-01,MS,51.92,52.82,51.69,52.58,5568878,0.66,1.27,52.2525
2020-09-02,MS,52.61,53.47,52.47,53.25,7547103,0.64,1.22,52.95
2020-09-03,MS,53.6,54.38,52.2,52.75,11029600,-0.85,-1.59,53.2325
2020-09-04,MS,53.44,53.76,51.76,52.71,9413215,-0.73,-1.37,52.9175
2020-09-08,MS,52.29,52.29,50.09,50.17,10946600,-2.12,-4.05,51.21
2020-09-09,MS,50.59,51.63,50.43,51.06,8808475,0.47,0.92904,50.9275
2020-09-10,MS,51.33,51.59,50.17,50.29,8609100,-1.04,-2.03,50.845
2020-09-11,MS,50.36,50.95,50.06,50.35,8969704,-0.01,-0.01985703,50.43
2020-09-14,MS,50.96,51.57,50.3,51.15,8812200,0.19,0.37284,50.995
2020-09-15,MS,51.16,51.34,50.27,50.39,7660121,-0.77,-1.51,50.79
2020-09-16,MS,50.48,51.91,50.31,51.15,8699746,0.67,1.33,50.9625
2020-09-17,MS,50.39,50.93,49.98,50.25,7533700,-0.14,-0.27783,50.3875
2020-09-18,MS,50.37,50.94,50.05,50.08,10743900,-0.29,-0.57574,50.36
2020-09-21,MS,48.86,49.09,47.51,48.36,12909900,-0.5,-1.02,48.455
2020-09-22,MS,48.24,48.59,46.93,47.63,11164792,-0.61,-1.26,47.8475
2020-09-23,MS,47.86,48.24,46.39,46.42,8248128,-1.44,-3.01,47.2275
2020-09-24,MS,46.54,47.42,45.86,46.61,9832700,0.07,0.15041,46.6075
2020-09-25,MS,46.28,47.33,45.92,47.04,9816000,0.76,1.64,46.6425
2020-09-28,MS,47.89,49.14,47.81,48.38,9466200,0.49,1.02,48.305
2020-09-29,MS,48.07,48.26,47.19,47.24,11360594,-0.83,-1.73,47.69
2020-09-30,MS,47.67,48.99,47.54,48.35,15047300,0.68,1.43,48.1375
2020-10-01,MS,48.75,49.07,46.9,47.26,25275400,-1.49,-3.06,47.995
2020-10-02,MS,46.49,48.34,46.42,47.97,12681800,1.48,3.18,47.305
2020-10-05,MS,48.43,48.89,47.78,48.6,19140147,0.17,0.35102,48.425
2020-10-06,MS,49.2,49.41,47.47,47.74,22980200,-1.46,-2.97,48.455
2020-10-07,MS,48.38,49.17,48.24,48.71,12019111,0.33,0.6821,48.625
2020-10-08,MS,47.98,49.49,47.26,49.0,23836623,1.02,2.13,48.4325
2020-10-09,MS,49.44,49.73,48.73,48.83,11381800,-0.61,-1.23,49.1825
2020-10-12,MS,49.27,51.01,49.03,50.74,17615010,1.47,2.98,50.0125
2020-10-13,MS,51.12,51.24,49.99,50.44,17448025,-0.68,-1.33,50.6975
2020-10-14,MS,50.91,51.39,50.38,50.65,20377839,-0.26,-0.51071,50.8325
2020-10-15,MS,49.93,51.87,49.92,51.33,21059700,1.4,2.8,50.7625
2020-10-16,MS,51.53,52.27,51.43,51.85,16923300,0.32,0.621,51.77
2020-10-19,MS,52.19,52.19,50.79,50.95,12677005,-1.24,-2.38,51.53
2020-10-20,MS,51.56,52.27,51.37,51.47,11177607,-0.09,-0.17455,51.6675
2020-10-21,MS,51.49,51.81,50.26,50.38,18583200,-1.11,-2.16,50.985
2020-10-22,MS,50.42,51.98,50.12,51.77,13266863,1.35,2.68,51.0725
2020-10-23,MS,52.25,52.61,51.54,51.87,11538513,-0.38,-0.72727,52.0675
2020-10-26,MS,51.15,51.28,49.8,50.32,15561400,-0.83,-1.62,50.6375
2020-10-27,MS,50.25,50.28,48.58,48.59,11593349,-1.66,-3.3,49.425
2020-10-28,MS,47.56,48.11,47.19,47.57,13622836,0.01,0.02102607,47.6075
2020-10-29,MS,47.05,48.43,46.55,48.12,10887800,1.07,2.27,47.5375
2020-10-30,MS,47.96,48.26,47.01,48.15,14909309,0.19,0.39616,47.845
2020-11-02,MS,48.88,49.84,48.44,49.38,16337826,0.505,1.02,49.135
2020-11-03,MS,50.41,51.46,50.41,51.18,13142230,0.77,1.53,50.865
2020-11-04,MS,50.53,52.32,50.51,51.43,17378000,0.9,1.78,51.1975
2020-11-05,MS,52.0,52.78,51.58,52.2,9444300,0.2,0.38462,52.14
2020-11-06,MS,52.58,52.62,51.51,51.7,6453900,-0.88,-1.67,52.1025
