date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,MTCH,101.99,104.33,100.58,102.35,3173454,0.36,0.35298,102.3125
2020-07-31,MTCH,103.63,103.97,101.55,102.7,3006743,-0.93,-0.89742,102.9625
2020-08-03,MTCH,103.78,110.86,103.07,110.41,4925314,6.63,6.39,107.03
2020-08-04,MTCH,110.2,110.47,105.99,107.57,3174821,-2.63,-2.39,108.5575
2020-08-05,MTCH,119.0,123.0,115.31,120.71,6658063,1.71,1.44,119.505
2020-08-06,MTCH,117.73,118.01,113.88,113.97,4489624,-3.76,-3.19,115.8975
2020-08-07,MTCH,114.44,116.25,113.03,115.88,2267025,1.44,1.26,114.9
2020-08-10,MTCH,117.01,119.49,112.69,115.65,4572400,-1.36,-1.16,116.21
2020-08-11,MTCH,115.38,118.39,114.87,115.5,2575340,0.12,0.104,116.035
2020-08-12,MTCH,115.85,118.0,115.42,115.92,2197740,0.07,0.06042296,116.2975
2020-08-13,MTCH,118.25,118.25,116.69,117.44,2065430,-0.81,-0.68499,117.6575
2020-08-14,MTCH,118.0,121.44,117.65,118.8,2220067,0.8,0.67797,118.9725
2020-08-17,MTCH,118.8,119.79,113.56,114.11,4508357,-4.69,-3.95,116.565
2020-08-18,MTCH,114.54,116.46,114.1,115.21,4318500,0.67,0.58495,115.0775
2020-08-19,MTCH,114.82,118.47,113.94,114.15,4237690,-0.67,-0.58352,115.345
2020-08-20,MTCH,113.99,115.53,112.16,113.08,1695367,-0.91,-0.79832,113.69
2020-08-21,MTCH,113.54,114.7,112.41,112.55,2096436,-0.99,-0.87194,113.3
2020-08-24,MTCH,113.64,114.96,111.01,111.9,1650501,-1.74,-1.53,112.8775
2020-08-25,MTCH,110.78,112.52,109.56,112.28,1808425,1.5,1.35,111.285
2020-08-26,MTCH,113.2,114.08,110.95,112.53,1651850,-0.67,-0.59187,112.69
2020-08-27,MTCH,112.45,113.27,111.34,111.53,2006112,-0.92,-0.81814,112.1475
2020-08-28,MTCH,112.18,113.56,109.87,111.5,1343364,-0.68,-0.60617,111.7775
2020-08-31,MTCH,111.49,112.25,110.44,111.68,2619506,0.19,0.17042,111.465
2020-09-01,MTCH,110.87,115.25,110.87,113.41,2799925,2.54,2.29,112.6
2020-09-02,MTCH,114.7,117.62,112.88,117.49,3026700,2.79,2.43,115.6725
2020-09-03,MTCH,114.23,114.82,108.81,110.54,2414849,-3.69,-3.23,112.1
2020-09-04,MTCH,108.51,110.95,102.08,105.94,3004026,-2.57,-2.37,106.87
2020-09-08,MTCH,102.01,105.55,100.25,102.06,3918400,0.055,0.0490148,102.4675
2020-09-09,MTCH,104.49,106.67,102.13,105.56,2711251,1.07,1.02,104.7125
2020-09-10,MTCH,106.29,108.37,104.17,105.46,2005407,-0.83,-0.78088,106.0725
2020-09-11,MTCH,106.86,106.86,101.65,103.65,2302418,-3.21,-3.0,104.755
2020-09-14,MTCH,105.74,109.27,105.74,108.26,3473949,2.52,2.38,107.2525
