date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,NCLH,13.97,14.32,13.78,14.17,24644059,0.2,1.43,14.08
2020-07-31,NCLH,13.99,14.1,13.46,13.64,28559683,-0.35,-2.5,13.64
2020-08-03,NCLH,13.31,13.38,12.56,13.06,40815006,-0.25,-1.88,12.93
2020-08-04,NCLH,13.04,13.91,13.0099,13.56,28996036,0.52,3.99,13.63
2020-08-05,NCLH,13.97,14.2,13.43,13.72,34282561,-0.25,-1.79,13.73
2020-08-06,NCLH,13.34,14.42,13.27,14.24,40095519,0.9,6.75,14.09
2020-08-07,NCLH,14.09,14.18,13.47,13.99,31224827,-0.1,-0.70972,13.85
2020-08-10,NCLH,13.99,15.38,13.98,15.13,44456420,1.14,8.15,14.97
2020-08-11,NCLH,16.47,16.58,15.55,15.64,55282066,-0.83,-5.04,16.1
2020-08-12,NCLH,16.11,16.19,14.72,15.23,36784298,-0.88,-5.46,15.28
2020-08-13,NCLH,14.95,15.91,14.93,15.34,24683531,0.39,2.61,15.44
2020-08-14,NCLH,15.1,15.885,14.91,15.75,25022483,0.65,4.3,15.53
2020-08-17,NCLH,15.85,15.86,15.0411,15.39,20755261,-0.46,-2.9,15.35
2020-08-18,NCLH,15.39,15.5377,15.045,15.2,14320745,-0.19,-1.23,15.22
2020-08-19,NCLH,15.21,16.37,15.0639,15.68,30604007,0.47,3.09,15.89
2020-08-20,NCLH,15.41,15.7,15.085,15.58,17449228,0.17,1.1,15.44
2020-08-21,NCLH,15.5,15.865,15.45,15.56,16083156,0.06,0.3871,15.65
2020-08-24,NCLH,15.94,17.21,15.41,16.74,48718815,0.8,5.02,16.62
2020-08-25,NCLH,16.84,17.1,16.19,16.75,27103908,-0.09,-0.53444,16.57
2020-08-26,NCLH,16.57,16.64,15.45,15.72,35911852,-0.85,-5.13,15.86
2020-08-27,NCLH,16.22,17.3,16.14,16.65,45673713,0.43,2.65,16.79
2020-08-28,NCLH,17.16,17.78,16.86,17.69,43445322,0.53,3.09,17.44
