date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,NEE,1985,Q3,USD,2740268960.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0502140490618118,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
1985-12-31,NEE,1985,Q4,USD,3382220080.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014457959223043817,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
1986-03-31,NEE,1986,Q1,USD,3845283840.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01973846487233567,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
1986-06-30,NEE,1986,Q2,USD,3988516080.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.019004561716597115,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
1986-09-30,NEE,1986,Q3,USD,3865216320.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03942858235680843,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
1986-12-31,NEE,1986,Q4,USD,4039048800.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.015176840646243243,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
1987-03-31,NEE,1987,Q1,USD,4140187040.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02185891582328126,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
1987-06-30,NEE,1987,Q2,USD,4098577120.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021836846637156848,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
1987-09-30,NEE,1987,Q3,USD,4098577120.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.036939648948218405,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
1987-12-31,NEE,1987,Q4,USD,3724087840.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.019199332312204536,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Utilities
