date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,NEE,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.10894695170229612,0.10894695170229612,0.10894695170229612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.978686337209302,0.0,0.0,0.0,2.1696507996832937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264958575581395,0.021416083916083916,2.1416083916083917,1.3181844748553442,0.14361218031678175,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06125,Utilities
1985-12-31,NEE,1985,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.04736995059575705,0.04736995059575705,0.04736995059575705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.291513701431494,0.09705385129843283,0.09705385129843283,0.0,3.2763925990506637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2001192229038855,0.017351274787535412,1.7351274787535411,1.077404460327135,0.051036596057344674,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06125,Utilities
1986-03-31,NEE,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.08048780487804878,0.08048780487804878,0.08048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.665625296442686,-0.15714175305760156,-0.15714175305760156,0.0,4.077713510074231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808093280632411,0.015950520833333332,1.5950520833333335,0.9417042150001598,0.07579570510976896,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06125,Utilities
1986-06-30,NEE,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.07586828145330797,0.07586828145330797,0.07586828145330797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1547364116095,-3.926182867464977,-3.926182867464977,0.0,3.9921089780802723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8449515831134564,0.01605793450881612,1.605793450881612,0.9944618300247645,0.07544811001489055,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06375,Utilities
1986-09-30,NEE,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.1302230197385286,0.1302230197385286,0.1302230197385286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.340577952755905,0.06443676781256001,0.06443676781256001,0.0,3.302756831581646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42773740157480317,0.016865079365079368,1.6865079365079365,1.1444984274515326,0.14904004130873585,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06375,Utilities
1986-12-31,NEE,1986,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.06260851802675926,0.06260851802675926,0.06260851802675926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.47246655791191,0.06979222732964956,0.06979222732964956,0.0,4.125266877744868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0634123980424144,0.016139240506329113,1.6139240506329113,0.9575138086967406,0.05994852055266081,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06375,Utilities
1987-03-31,NEE,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.09346276980274708,0.09346276980274708,0.09346276980274708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.436980773480663,-0.1386636854204736,-0.1386636854204736,0.0,4.2757276050810695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7327713812154696,0.016017587939698492,1.6017587939698492,0.9308357237889426,0.08699848497665941,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06375,Utilities
1987-06-30,NEE,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.08425115315824155,0.08425115315824155,0.08425115315824155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.448539441340781,-7.163514679010363,-7.163514679010363,0.0,3.8582105996422857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7700159776536313,0.016814720812182743,1.6814720812182742,1.021198791057517,0.08603717575039799,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06625,Utilities
1987-09-30,NEE,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.11571384897584837,0.11571384897584837,0.11571384897584837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.767795772787317,0.09921496524052158,0.09921496524052158,0.0,3.1325107918067867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4551943857331572,0.016814720812182743,1.6814720812182742,1.2577769916404549,0.1455422168559805,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06625,Utilities
1987-12-31,NEE,1987,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.06499409144623217,0.06499409144623217,0.06499409144623217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.021286153846155,0.04340428717948718,0.04340428717948718,0.0,3.3852266521225345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9638661538461538,0.018505586592178772,1.850558659217877,1.057536279810199,0.06873360967769224,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06625,Utilities
