date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,NI,24.33,24.5,24.08,24.49,1880907,0.16,0.65762,24.35
2020-07-31,NI,24.44,24.57,24.04,24.45,2575703,0.01,0.04091653,24.375
2020-08-03,NI,24.36,24.39,23.77,23.98,2249538,-0.38,-1.56,24.125
2020-08-04,NI,23.86,24.35,23.86,24.15,3290600,0.29,1.22,24.055
2020-08-05,NI,24.6,25.13,23.98,24.36,4103734,-0.24,-0.97561,24.5175
2020-08-06,NI,24.19,24.42,23.91,24.34,2846448,0.15,0.62009,24.215
2020-08-07,NI,24.18,25.08,24.18,24.75,3434000,0.57,2.36,24.5475
2020-08-10,NI,24.83,24.94,24.53,24.81,2771913,-0.02,-0.08054772,24.7775
2020-08-11,NI,24.95,24.95,24.17,24.29,2918443,-0.66,-2.65,24.59
2020-08-12,NI,24.48,24.78,24.32,24.75,2890300,0.27,1.1,24.5825
2020-08-13,NI,24.56,24.7,24.23,24.35,2311139,-0.21,-0.85505,24.46
2020-08-14,NI,24.33,24.34,24.06,24.12,1504119,-0.21,-0.86313,24.2125
2020-08-17,NI,24.13,24.29,23.95,23.96,1886845,-0.17,-0.70452,24.0825
2020-08-18,NI,23.95,24.02,23.44,23.58,2159945,-0.37,-1.54,23.7475
2020-08-19,NI,23.62,23.62,23.34,23.44,1960100,-0.18,-0.76207,23.505
2020-08-20,NI,23.28,23.38,22.89,22.97,3243320,-0.31,-1.33,23.13
2020-08-21,NI,23.08,23.08,22.59,22.72,2795100,-0.36,-1.56,22.8675
2020-08-24,NI,22.74,23.05,22.49,23.03,3208434,0.29,1.28,22.8275
2020-08-25,NI,23.04,23.04,22.66,22.74,2197009,-0.3,-1.3,22.87
2020-08-26,NI,22.59,22.61,22.09,22.19,2776806,-0.4,-1.77,22.37
2020-08-27,NI,22.29,22.42,21.95,22.18,3324600,-0.11,-0.49349,22.21
2020-08-28,NI,22.25,22.39,21.86,22.35,2719900,0.1,0.44944,22.2125
2020-08-31,NI,22.25,22.42,22.0,22.16,3110200,-0.09,-0.40449,22.2075
2020-09-01,NI,22.05,22.05,21.31,21.39,3275200,-0.66,-2.99,21.7
2020-09-02,NI,21.4,22.38,21.38,22.27,4552200,0.87,4.07,21.8575
