date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,NOC,314.0,329.46,313.01,326.01,1493821,12.01,3.82,320.62
2020-07-31,NOC,326.01,326.58,318.2,325.01,1161532,-1.0,-0.30674,323.95
2020-08-03,NOC,324.58,326.19,321.83,323.59,603100,-0.99,-0.30501,324.0475
2020-08-04,NOC,324.6,325.29,320.86,325.01,538368,0.41,0.12631,323.94
2020-08-05,NOC,325.92,330.93,325.01,329.71,566418,3.79,1.16,327.8925
2020-08-06,NOC,327.99,329.65,325.45,326.34,720301,-1.65,-0.50306,327.3575
2020-08-07,NOC,326.83,332.0,325.48,329.27,1470286,2.44,0.74657,328.395
2020-08-10,NOC,330.36,336.27,330.36,335.73,1016000,5.37,1.63,333.18
2020-08-11,NOC,339.19,345.41,338.46,341.85,1527100,2.66,0.78422,341.2275
2020-08-12,NOC,343.18,343.99,337.55,339.4,636809,-3.78,-1.1,341.03
2020-08-13,NOC,336.79,340.82,335.46,338.62,493043,1.83,0.54337,337.9225
2020-08-14,NOC,337.28,343.84,336.86,342.06,396518,4.78,1.42,340.01
2020-08-17,NOC,341.77,344.0,338.52,339.76,628227,-2.01,-0.58811,341.0125
2020-08-18,NOC,339.72,339.92,337.27,337.6,499013,-2.12,-0.62404,338.6275
2020-08-19,NOC,337.0,340.32,336.2,337.91,488044,0.91,0.27003,337.8575
2020-08-20,NOC,337.58,338.44,336.03,336.67,338626,-0.91,-0.26957,337.18
2020-08-21,NOC,337.3,339.13,336.44,337.86,440800,0.56,0.16602,337.6825
2020-08-24,NOC,338.7,344.51,338.41,344.42,416752,5.72,1.69,341.51
2020-08-25,NOC,345.0,345.07,341.45,343.0,454612,-2.0,-0.57971,343.63
2020-08-26,NOC,341.5,342.88,338.02,341.41,607246,-0.09,-0.02635432,340.9525
2020-08-27,NOC,343.46,349.23,342.06,348.99,669269,5.53,1.61,345.935
2020-08-28,NOC,347.78,348.55,342.27,344.75,513503,-3.03,-0.87124,345.8375
2020-08-31,NOC,343.2,344.46,341.57,342.61,558000,-0.59,-0.17191,342.96
2020-09-01,NOC,340.16,342.87,337.11,340.38,538800,0.22,0.06467545,340.13
2020-09-02,NOC,338.82,350.25,338.02,348.36,660838,9.54,2.82,343.8625
2020-09-03,NOC,350.65,352.12,339.92,342.23,791969,-8.42,-2.4,346.23
2020-09-04,NOC,343.99,347.06,337.34,339.03,584400,-4.96,-1.44,341.855
2020-09-08,NOC,339.89,339.89,334.21,334.56,661800,-5.33,-1.57,337.1375
2020-09-09,NOC,342.68,342.76,336.66,339.41,608800,-3.27,-0.95424,340.3775
2020-09-10,NOC,339.77,341.04,329.41,330.02,558353,-9.75,-2.87,335.06
2020-09-11,NOC,333.06,340.17,331.7,338.88,489346,5.82,1.75,335.9525
2020-09-14,NOC,340.75,341.66,337.66,338.45,552900,-2.3,-0.67498,339.63
2020-09-15,NOC,337.55,339.95,334.73,338.02,523500,0.47,0.13924,337.5625
2020-09-16,NOC,337.25,346.89,335.74,343.47,750229,6.22,1.84,340.8375
2020-09-17,NOC,341.13,345.47,338.08,343.84,361300,2.71,0.79442,342.13
2020-09-18,NOC,341.16,345.89,341.16,341.5,689911,0.34,0.09965998,342.4275
2020-09-21,NOC,337.93,338.56,324.41,325.89,715106,-12.04,-3.56,331.6975
2020-09-22,NOC,327.32,333.46,326.91,332.8,651972,5.48,1.67,330.1225
2020-09-23,NOC,334.45,337.33,326.52,328.06,790871,-6.39,-1.91,331.59
2020-09-24,NOC,327.48,328.7,321.17,324.72,575345,-2.76,-0.8428,325.5175
2020-09-25,NOC,324.13,329.58,322.94,328.0,646300,3.87,1.19,326.1625
2020-09-28,NOC,330.54,333.56,328.72,329.52,567028,-1.02,-0.30859,330.585
2020-09-29,NOC,328.78,330.42,324.43,325.28,488403,-3.5,-1.06,327.2275
2020-09-30,NOC,326.2,326.73,312.25,315.49,1183800,-10.71,-3.28,320.1675
2020-10-01,NOC,317.35,321.05,309.36,311.81,1687900,-5.54,-1.75,314.8925
2020-10-02,NOC,309.11,315.14,307.12,313.95,1380900,4.84,1.57,311.33
2020-10-05,NOC,315.85,317.23,311.3,312.18,881937,-3.67,-1.16,314.14
2020-10-06,NOC,320.33,320.33,308.89,308.97,1149243,-11.36,-3.55,314.63
2020-10-07,NOC,310.4,315.57,310.4,313.89,1019500,3.49,1.12,312.565
2020-10-08,NOC,314.22,319.82,314.22,319.68,596869,5.46,1.74,316.985
2020-10-09,NOC,320.0,322.47,313.63,315.28,1210606,-4.72,-1.48,317.845
